ProductKey,OrderDateKey,variable,value
384,20200206,DueDateKey,20200218
484,20200527,DueDateKey,20200608
529,20200403,DueDateKey,20200415
540,20210110,DueDateKey,20210122
573,20200616,DueDateKey,20200628
536,20201114,DueDateKey,20201126
485,20201204,DueDateKey,20201216
478,20200605,DueDateKey,20200617
355,20200120,DueDateKey,20200201
477,20200919,DueDateKey,20201001
537,20200517,DueDateKey,20200529
605,20201013,DueDateKey,20201025
485,20200610,DueDateKey,20200622
476,20200216,DueDateKey,20200228
225,20201213,DueDateKey,20201225
541,20200601,DueDateKey,20200613
363,20200723,DueDateKey,20200804
480,20201117,DueDateKey,20201129
586,20200226,DueDateKey,20200310
477,20200502,DueDateKey,20200514
478,20200708,DueDateKey,20200720
541,20200602,DueDateKey,20200614
479,20200208,DueDateKey,20200220
480,20201005,DueDateKey,20201017
530,20200714,DueDateKey,20200726
480,20200819,DueDateKey,20200831
476,20200802,DueDateKey,20200814
529,20200313,DueDateKey,20200325
467,20201227,DueDateKey,20210108
535,20201219,DueDateKey,20201231
606,20191229,DueDateKey,20200110
491,20201128,DueDateKey,20201210
478,20200910,DueDateKey,20200922
480,20201209,DueDateKey,20201221
480,20200313,DueDateKey,20200325
214,20200312,DueDateKey,20200324
477,20201018,DueDateKey,20201030
541,20201130,DueDateKey,20201212
225,20200719,DueDateKey,20200731
369,20190409,DueDateKey,20190421
477,20200617,DueDateKey,20200629
480,20200608,DueDateKey,20200620
529,20200905,DueDateKey,20200917
362,20190913,DueDateKey,20190925
582,20200724,DueDateKey,20200805
337,20191218,DueDateKey,20191230
361,20200613,DueDateKey,20200625
353,20201216,DueDateKey,20201228
363,20200624,DueDateKey,20200706
539,20200829,DueDateKey,20200910
530,20200403,DueDateKey,20200415
386,20200819,DueDateKey,20200831
485,20201225,DueDateKey,20210106
480,20201211,DueDateKey,20201223
214,20210122,DueDateKey,20210203
587,20201001,DueDateKey,20201013
231,20200709,DueDateKey,20200721
480,20201012,DueDateKey,20201024
588,20200714,DueDateKey,20200726
480,20200321,DueDateKey,20200402
479,20201226,DueDateKey,20210107
478,20200601,DueDateKey,20200613
217,20201204,DueDateKey,20201216
562,20201025,DueDateKey,20201106
323,20191018,DueDateKey,20191030
217,20201031,DueDateKey,20201112
