Year,variable,value
1913,Bottom 90%,
1914,Bottom 90%,
1915,Bottom 90%,
1916,Bottom 90%,
1917,Bottom 90%,0.2
1918,Bottom 90%,0.22
1919,Bottom 90%,0.21
1920,Bottom 90%,0.23
1921,Bottom 90%,0.23
1922,Bottom 90%,0.21
1923,Bottom 90%,0.21
1924,Bottom 90%,0.19
1925,Bottom 90%,0.18
1926,Bottom 90%,0.17
1927,Bottom 90%,0.16
1928,Bottom 90%,0.16
1929,Bottom 90%,0.16
1930,Bottom 90%,0.16
1931,Bottom 90%,0.16
1932,Bottom 90%,0.16
1933,Bottom 90%,0.16
1934,Bottom 90%,0.17
1935,Bottom 90%,0.19
1936,Bottom 90%,0.18
1937,Bottom 90%,0.2
1938,Bottom 90%,0.2
1939,Bottom 90%,0.2
1940,Bottom 90%,0.22
1941,Bottom 90%,0.24
1942,Bottom 90%,0.25
1943,Bottom 90%,0.25
1944,Bottom 90%,0.25
1945,Bottom 90%,0.25
1946,Bottom 90%,0.25
1947,Bottom 90%,0.27
1948,Bottom 90%,0.28
1949,Bottom 90%,0.29
1950,Bottom 90%,0.28
1951,Bottom 90%,0.29
1952,Bottom 90%,0.29
1953,Bottom 90%,0.3
1954,Bottom 90%,0.29
1955,Bottom 90%,0.29
1956,Bottom 90%,0.29
1957,Bottom 90%,0.28
1958,Bottom 90%,0.28
1959,Bottom 90%,0.28
1960,Bottom 90%,0.27
1961,Bottom 90%,0.27
1962,Bottom 90%,0.26
1963,Bottom 90%,0.27
1964,Bottom 90%,0.27
1965,Bottom 90%,0.28
1966,Bottom 90%,0.28
1967,Bottom 90%,0.29
1968,Bottom 90%,0.3
1969,Bottom 90%,0.3
1970,Bottom 90%,0.3
1971,Bottom 90%,0.3
1972,Bottom 90%,0.3
1973,Bottom 90%,0.31
1974,Bottom 90%,0.31
1975,Bottom 90%,0.32
1976,Bottom 90%,0.32
1977,Bottom 90%,0.33
1978,Bottom 90%,0.33
1979,Bottom 90%,0.33
1980,Bottom 90%,0.33
1981,Bottom 90%,0.33
1982,Bottom 90%,0.34
1983,Bottom 90%,0.35
1984,Bottom 90%,0.36
1985,Bottom 90%,0.36
1986,Bottom 90%,0.36
1987,Bottom 90%,0.36
1988,Bottom 90%,0.35
1989,Bottom 90%,0.35
1990,Bottom 90%,0.34
1991,Bottom 90%,0.35
1992,Bottom 90%,0.33
1993,Bottom 90%,0.33
1994,Bottom 90%,0.33
1995,Bottom 90%,0.32
1996,Bottom 90%,0.32
1997,Bottom 90%,0.31
1998,Bottom 90%,0.31
1999,Bottom 90%,0.3
2000,Bottom 90%,0.3
2001,Bottom 90%,0.31
2002,Bottom 90%,0.31
2003,Bottom 90%,0.31
2004,Bottom 90%,0.3
2005,Bottom 90%,0.3
2006,Bottom 90%,0.29
2007,Bottom 90%,0.28
2008,Bottom 90%,0.25
2009,Bottom 90%,0.25
2010,Bottom 90%,0.24
2011,Bottom 90%,0.24
2012,Bottom 90%,0.23
1913,Top 0.01%,0.09
1914,Top 0.01%,0.09
1915,Top 0.01%,0.11
1916,Top 0.01%,0.11
1917,Top 0.01%,0.09
1918,Top 0.01%,0.07
1919,Top 0.01%,0.07
1920,Top 0.01%,0.05
1921,Top 0.01%,0.05
1922,Top 0.01%,0.06
1923,Top 0.01%,0.05
1924,Top 0.01%,0.06
1925,Top 0.01%,0.07
1926,Top 0.01%,0.08
1927,Top 0.01%,0.09
1928,Top 0.01%,0.1
1929,Top 0.01%,0.1
1930,Top 0.01%,0.09
1931,Top 0.01%,0.08
1932,Top 0.01%,0.08
1933,Top 0.01%,0.08
1934,Top 0.01%,0.07
1935,Top 0.01%,0.07
1936,Top 0.01%,0.07
1937,Top 0.01%,0.07
1938,Top 0.01%,0.06
1939,Top 0.01%,0.06
1940,Top 0.01%,0.05
1941,Top 0.01%,0.04
1942,Top 0.01%,0.04
1943,Top 0.01%,0.04
1944,Top 0.01%,0.04
1945,Top 0.01%,0.04
1946,Top 0.01%,0.03
1947,Top 0.01%,0.03
1948,Top 0.01%,0.03
1949,Top 0.01%,0.03
1950,Top 0.01%,0.03
1951,Top 0.01%,0.03
1952,Top 0.01%,0.03
1953,Top 0.01%,0.03
1954,Top 0.01%,0.03
1955,Top 0.01%,0.03
1956,Top 0.01%,0.03
1957,Top 0.01%,0.03
1958,Top 0.01%,0.03
1959,Top 0.01%,0.03
1960,Top 0.01%,0.03
1961,Top 0.01%,0.03
1962,Top 0.01%,0.03
1963,Top 0.01%,0.03
1964,Top 0.01%,0.03
1965,Top 0.01%,0.03
1966,Top 0.01%,0.03
1967,Top 0.01%,0.03
1968,Top 0.01%,0.03
1969,Top 0.01%,0.03
1970,Top 0.01%,0.03
1971,Top 0.01%,0.03
1972,Top 0.01%,0.03
1973,Top 0.01%,0.02
1974,Top 0.01%,0.02
1975,Top 0.01%,0.02
1976,Top 0.01%,0.02
1977,Top 0.01%,0.02
1978,Top 0.01%,0.02
1979,Top 0.01%,0.03
1980,Top 0.01%,0.03
1981,Top 0.01%,0.03
1982,Top 0.01%,0.03
1983,Top 0.01%,0.03
1984,Top 0.01%,0.03
1985,Top 0.01%,0.04
1986,Top 0.01%,0.03
1987,Top 0.01%,0.04
1988,Top 0.01%,0.04
1989,Top 0.01%,0.04
1990,Top 0.01%,0.04
1991,Top 0.01%,0.04
1992,Top 0.01%,0.05
1993,Top 0.01%,0.05
1994,Top 0.01%,0.05
1995,Top 0.01%,0.05
1996,Top 0.01%,0.05
1997,Top 0.01%,0.06
1998,Top 0.01%,0.06
1999,Top 0.01%,0.06
2000,Top 0.01%,0.07
2001,Top 0.01%,0.07
2002,Top 0.01%,0.06
2003,Top 0.01%,0.07
2004,Top 0.01%,0.07
2005,Top 0.01%,0.07
2006,Top 0.01%,0.08
2007,Top 0.01%,0.08
2008,Top 0.01%,0.09
2009,Top 0.01%,0.1
2010,Top 0.01%,0.11
2011,Top 0.01%,0.1
2012,Top 0.01%,0.11
1913,Type,a
1914,Type,a
1915,Type,a
1916,Type,a
1917,Type,a
1918,Type,a
1919,Type,a
1920,Type,a
1921,Type,a
1922,Type,a
1923,Type,a
1924,Type,a
1925,Type,a
1926,Type,a
1927,Type,a
1928,Type,a
1929,Type,a
1930,Type,a
1931,Type,a
1932,Type,a
1933,Type,a
1934,Type,a
1935,Type,a
1936,Type,a
1937,Type,a
1938,Type,a
1939,Type,a
1940,Type,a
1941,Type,a
1942,Type,a
1943,Type,a
1944,Type,a
1945,Type,a
1946,Type,a
1947,Type,a
1948,Type,a
1949,Type,a
1950,Type,a
1951,Type,a
1952,Type,a
1953,Type,a
1954,Type,a
1955,Type,a
1956,Type,a
1957,Type,a
1958,Type,a
1959,Type,a
1960,Type,a
1961,Type,a
1962,Type,a
1963,Type,a
1964,Type,a
1965,Type,a
1966,Type,a
1967,Type,a
1968,Type,a
1969,Type,a
1970,Type,a
1971,Type,a
1972,Type,a
1973,Type,a
1974,Type,a
1975,Type,a
1976,Type,a
1977,Type,a
1978,Type,a
1979,Type,a
1980,Type,a
1981,Type,a
1982,Type,a
1983,Type,a
1984,Type,a
1985,Type,a
1986,Type,a
1987,Type,a
1988,Type,a
1989,Type,a
1990,Type,a
1991,Type,a
1992,Type,a
1993,Type,a
1994,Type,a
1995,Type,a
1996,Type,a
1997,Type,a
1998,Type,a
1999,Type,a
2000,Type,a
2001,Type,a
2002,Type,a
2003,Type,a
2004,Type,a
2005,Type,a
2006,Type,a
2007,Type,a
2008,Type,a
2009,Type,a
2010,Type,a
2011,Type,a
2012,Type,a
1913,LabelVisibility,0
1914,LabelVisibility,0
1915,LabelVisibility,0
1916,LabelVisibility,0
1917,LabelVisibility,0
1918,LabelVisibility,0
1919,LabelVisibility,0
1920,LabelVisibility,0
1921,LabelVisibility,0
1922,LabelVisibility,0
1923,LabelVisibility,0
1924,LabelVisibility,0
1925,LabelVisibility,0
1926,LabelVisibility,0
1927,LabelVisibility,0
1928,LabelVisibility,0
1929,LabelVisibility,0
1930,LabelVisibility,0
1931,LabelVisibility,0
1932,LabelVisibility,0
1933,LabelVisibility,0
1934,LabelVisibility,0
1935,LabelVisibility,0
1936,LabelVisibility,0
1937,LabelVisibility,0
1938,LabelVisibility,0
1939,LabelVisibility,0
1940,LabelVisibility,0
1941,LabelVisibility,0
1942,LabelVisibility,0
1943,LabelVisibility,0
1944,LabelVisibility,0
1945,LabelVisibility,0
1946,LabelVisibility,0
1947,LabelVisibility,0
1948,LabelVisibility,0
1949,LabelVisibility,0
1950,LabelVisibility,0
1951,LabelVisibility,0
1952,LabelVisibility,0
1953,LabelVisibility,0
1954,LabelVisibility,0
1955,LabelVisibility,0
1956,LabelVisibility,0
1957,LabelVisibility,0
1958,LabelVisibility,0
1959,LabelVisibility,0
1960,LabelVisibility,0
1961,LabelVisibility,0
1962,LabelVisibility,0
1963,LabelVisibility,0
1964,LabelVisibility,0
1965,LabelVisibility,0
1966,LabelVisibility,0
1967,LabelVisibility,0
1968,LabelVisibility,0
1969,LabelVisibility,0
1970,LabelVisibility,0
1971,LabelVisibility,0
1972,LabelVisibility,0
1973,LabelVisibility,0
1974,LabelVisibility,0
1975,LabelVisibility,0
1976,LabelVisibility,0
1977,LabelVisibility,0
1978,LabelVisibility,0
1979,LabelVisibility,0
1980,LabelVisibility,0
