Seat,Party,ID
1,"JxSi",1
2,"JxSi",1
3,"JxSi",1
4,"JxSi",1
5,"JxSi",1
6,"JxSi",1
7,"JxSi",1
8,"JxSi",1
9,"JxSi",1
10,"JxSi",1
11,"JxSi",1
12,"JxSi",1
13,"JxSi",1
14,"JxSi",1
15,"JxSi",1
16,"JxSi",1
17,"JxSi",1
18,"JxSi",1
19,"JxSi",1
20,"JxSi",1
21,"JxSi",1
22,"JxSi",1
23,"JxSi",1
24,"JxSi",1
25,"JxSi",1
26,"JxSi",1
27,"JxSi",1
28,"JxSi",1
29,"JxSi",1
30,"JxSi",1
31,"JxSi",1
32,"JxSi",1
33,"JxSi",1
34,"JxSi",1
35,"JxSi",1
36,"JxSi",1
37,"JxSi",1
38,"JxSi",1
39,"JxSi",1
40,"JxSi",1
41,"JxSi",1
42,"JxSi",1
43,"JxSi",1
44,"JxSi",1
45,"JxSi",1
46,"JxSi",1
47,"JxSi",1
48,"JxSi",1
49,"JxSi",1
50,"JxSi",1
51,"JxSi",1
52,"JxSi",1
53,"JxSi",1
54,"JxSi",1
55,"JxSi",1
56,"JxSi",1
57,"JxSi",1
58,"JxSi",1
59,"JxSi",1
60,"JxSi",1
61,"JxSi",1
62,"JxSi",1
63,"CUP",2
64,"CUP",2
65,"CUP",2
66,"CUP",2
67,"CUP",2
68,"CUP",2
69,"CUP",2
70,"CUP",2
71,"CUP",2
72,"CUP",2
73,"CSQP",3
74,"CSQP",3
75,"CSQP",3
76,"CSQP",3
77,"CSQP",3
78,"CSQP",3
79,"CSQP",3
80,"CSQP",3
81,"CSQP",3
82,"CSQP",3
83,"CSQP",3
84,"CSQP",3
85,"CSQP",3
86,"CSQP",3
87,"CSQP",3
88,"CSQP",3
89,"CSQP",3
90,"CSQP",3
91,"CSQP",3
92,"CSQP",3
93,"CSQP",3
94,"CSQP",3
95,"CSQP",3
96,"CSQP",3
97,"CSQP",3
98,"CSQP",3
99,"CSQP",3
100,"CSQP",3
101,"CSQP",3
102,"CSQP",3
103,"CSQP",3
104,"CSQP",3
105,"CSQP",3
106,"CSQP",3
107,"CSQP",3
108,"CSQP",3
109,"CSQP",3
110,"CSQP",3
111,"CSQP",3
112,"CSQP",3
113,"CSQP",3
114,"CSQP",3
115,"CSQP",3
116,"CSQP",3
117,"CSQP",3
118,"CSQP",3
119,"CSQP",3
120,"CSQP",3
121,"CSQP",3
122,"CSQP",3
123,"CSQP",3
124,"CSQP",3
125,"CSQP",3
126,"CSQP",3
127,"CSQP",3
128,"CSQP",3
129,"PSC",4
130,"PSC",4
131,"PSC",4
132,"PSC",4
133,"PSC",4
134,"PSC",4
135,"JxSi",1
