State,Burglary Rate,Murder Rate,Population Size
"California",693.3,6.9,3420.52776205
"Florida",926.3,5,2415.386474115
"Illinois",606.9,6,2026.498223568
"Michigan",696.8,6.1,1784.429353678
"Georgia",931,6.2,1755.866757543
"Arizona",948.4,7.5,1438.426764203
"Massachusetts",541.1,2.7,1438.181885645
"Indiana",697.6,5.7,1424.709070561
"Missouri",738.3,6.9,1371.758839853
"Maryland",641.4,9.9,1339.115237713
"Minnesota",578.9,2.2,1289.070479712
"Colorado",744.8,3.7,1243.972783597
"Alabama",953.8,8.2,1213.709489575
"Louisiana",870.6,9.9,1184.905047985
"Kentucky",634,4.6,1165.737058706
"Connecticut",437.1,2.9,1055.690828614
"Iowa",606.4,1.3,977.621061716
"Mississippi",919.7,7.3,967.156223739
"Arkansas",1084.6,6.7,953.361875633
"Kansas",689.2,3.7,944.429433368
"Idaho",564.4,2.4,696.452221997
"Maine",478.5,1.4,647.333731182
"Hawaii",767.9,1.9,640.348466667
"Delaware",688.9,4.4,527.175317279
"Alaska",622.5,4.8,467.390464942
