DATE,PRODUCT ID,QUANTITY,SALE TYPE,PAYMENT MODE,DISCOUNT %,Day,Year,Month Name,Master Data.PRODUCT,Master Data.CATEGORY,Master Data.UOM,Master Data.BUYING PRIZE,Master Data.SELLING PRICE,Total Buying Value,Total Selling Value
2021-08-03 00:00:00.000,P0022,13,Online,Online,0,3,2021,Aug,Product22,Catagory03,Kg,121,141.57,1573,1840.41
2021-08-03 00:00:00.000,P0034,12,Online,Online,0,3,2021,Aug,Product34,Catagory04,Kg,55,58.3,660,699.5999999999999
2021-01-11 00:00:00.000,P0037,3,Direct Sales,Cash,0,11,2021,Jan,Product37,Catagory04,Kg,67,85.76,201,257.28000000000003
2022-02-12 00:00:00.000,P0010,13,Direct Sales,Cash,0,12,2022,Feb,Product10,Catagory02,Kg,148,164.28,1924,2135.64
2022-01-02 00:00:00.000,P0033,1,Direct Sales,Cash,0,2,2022,Jan,Product33,Catagory04,Kg,95,119.7,95,119.7
2021-05-09 00:00:00.000,P0016,6,Online,Online,0,9,2021,May,Product16,Catagory02,Kg,13,16.64,78,99.84
2022-12-29 00:00:00.000,P0042,1,Wholesaler,Cash,0,29,2022,Dec,Product42,Catagory04,Kg,120,162.0,120,162.0
2022-01-01 00:00:00.000,P0022,1,Wholesaler,Cash,0,1,2022,Jan,Product22,Catagory03,Kg,121,141.57,121,141.57
2022-08-28 00:00:00.000,P0039,5,Direct Sales,Online,0,28,2022,Aug,Product39,Catagory04,Kg,37,42.55,185,212.75
2022-11-18 00:00:00.000,P0034,8,Direct Sales,Cash,0,18,2022,Nov,Product34,Catagory04,Kg,55,58.3,440,466.4
2021-01-20 00:00:00.000,P0034,4,Direct Sales,Cash,0,20,2021,Jan,Product34,Catagory04,Kg,55,58.3,220,233.2
2022-09-06 00:00:00.000,P0005,12,Wholesaler,Online,0,6,2022,Sep,Product05,Catagory01,Kg,133,155.61,1596,1867.32
2021-12-14 00:00:00.000,P0042,4,Direct Sales,Online,0,14,2021,Dec,Product42,Catagory04,Kg,120,162.0,480,648.0
2022-09-15 00:00:00.000,P0037,15,Online,Online,0,15,2022,Sep,Product37,Catagory04,Kg,67,85.76,1005,1286.4
2021-09-21 00:00:00.000,P0020,7,Wholesaler,Cash,0,21,2021,Sep,Product20,Catagory03,Kg,61,76.25,427,533.75
2022-11-28 00:00:00.000,P0031,8,Direct Sales,Cash,0,28,2022,Nov,Product31,Catagory04,Kg,93,104.16,744,833.28
2021-02-06 00:00:00.000,P0035,1,Direct Sales,Cash,0,6,2021,Feb,Product35,Catagory04,Kg,5,6.7,5,6.7
2021-04-18 00:00:00.000,P0019,13,Direct Sales,Cash,0,18,2021,Apr,Product19,Catagory02,Kg,150,210.0,1950,2730.0
2021-01-12 00:00:00.000,P0042,10,Online,Cash,0,12,2021,Jan,Product42,Catagory04,Kg,120,162.0,1200,1620.0
