Invoice #,Date,Operation Type (purchase / relocation),Product,Quantity,Cost Price,Supplier Type,Store
708259,2017-07-01 00:00:00.000,Purchase,"Speakers Type 7, Samsung",18,99,C,5
686016,2018-09-01 00:00:00.000,Purchase,"Phone Type 12, Huawei",19,304,C,8
644538,2018-06-01 00:00:00.000,Purchase,"Phone Type 11, Samsung",34,355,C,5
650394,2018-05-01 00:00:00.000,Purchase,"Desktop Type 6, Dell",17,477,B,8
907789,2017-01-04 00:00:00.000,Purchase,"Speakers Type 1, Huawei",10,160,A,10
593200,2017-02-01 00:00:00.000,Purchase,"Headphones Type 6, HP",15,59,C,8
700215,2017-11-01 00:00:00.000,Purchase,"Smart Watch Type 1, Samsung",18,180,C,3
572579,2017-01-01 00:00:00.000,Purchase,"Keyboard Type 1, HP",35,69,C,3
650413,2018-05-01 00:00:00.000,Purchase,"Memory Type 4, HP",26,59,B,8
923301,2018-01-12 00:00:00.000,Purchase,"Phone Type 1, Samsung",10,441,B,11
573253,2017-01-01 00:00:00.000,Purchase,"Laptop Type 2, HP",18,1437,B,5
610941,2018-02-01 00:00:00.000,Purchase,"Smart Watch Type 2, Huawei",24,138,A,3
736283,2019-09-01 00:00:00.000,Purchase,"Hard Drive Type 7, Huawei",26,118,C,1
636697,2018-07-01 00:00:00.000,Purchase,"Monitor Type 1, Dell",22,95,A,2
678666,2019-05-01 00:00:00.000,Purchase,"Headphones Type 3, Dell",30,92,A,6
910950,2019-01-05 00:00:00.000,Purchase,"Memory Type 4, Huawei",12,88,C,11
749821,2019-11-01 00:00:00.000,Purchase,"Mouse Type 2, Dell",43,9,C,6
699023,2017-09-01 00:00:00.000,Purchase,"Speakers Type 7, Huawei",33,58,C,3
684626,2017-06-01 00:00:00.000,Purchase,"Tablet Type 6, Samsung",15,246,A,8
685476,2018-07-01 00:00:00.000,Purchase,"Laptop Type 3, Dell",40,1599,A,8
750995,2019-10-01 00:00:00.000,Purchase,"Memory Type 3, HP",16,39,A,7
739405,2019-12-01 00:00:00.000,Purchase,"Hard Drive Type 4, HP",37,59,C,1
682653,2019-04-01 00:00:00.000,Purchase,"Speakers Type 2, Samsung",26,64,C,7
634919,2019-01-01 00:00:00.000,Purchase,"Charger Type 1, Huawei",30,7,A,1
672953,2019-03-01 00:00:00.000,Purchase,"Phone Type 10, Huawei",30,234,C,5
636632,2018-07-01 00:00:00.000,Purchase,"Smart Watch Type 2, HP",15,120,C,2
714091,2017-10-01 00:00:00.000,Purchase,"Phone Type 4, Huawei",40,364,C,6
734369,2018-11-01 00:00:00.000,Purchase,"Keyboard Type 2, Huawei",18,51,B,8
587493,2017-06-01 00:00:00.000,Purchase,"Phone Type 3, Samsung",18,407,B,9
696798,2017-11-01 00:00:00.000,Purchase,"Desktop Type 7, Dell",16,649,C,2
745806,2019-09-01 00:00:00.000,Purchase,"Desktop Type 8, Huawei",38,592,C,5
627530,2017-04-01 00:00:00.000,Purchase,"Phone Type 8, Samsung",27,331,B,7
924197,2018-01-08 00:00:00.000,Purchase,"Hard Drive Type 1, Dell",17,100,C,10
910129,2019-01-03 00:00:00.000,Purchase,"Speakers Type 6, Huawei",11,192,C,11
920900,2018-01-07 00:00:00.000,Purchase,"Speakers Type 3, Huawei",14,113,C,11
912704,2019-01-09 00:00:00.000,Purchase,"Mouse Type 4, Samsung",6,1199,C,11
925959,2019-01-01 00:00:00.000,Purchase,"Tablet Type 7, Huawei",6,688,C,10
694192,2017-11-01 00:00:00.000,Purchase,"Headphones Type 3, HP",37,35,A,1
705177,2017-10-01 00:00:00.000,Purchase,"Phone Type 2, HP",20,237,C,4
743789,2019-12-01 00:00:00.000,Purchase,"Monitor Type 1, Huawei",39,82,C,3
741848,2019-11-01 00:00:00.000,Purchase,"Speakers Type 5, Dell",16,58,C,2
576988,2017-01-01 00:00:00.000,Purchase,"Laptop Type 2, HP",38,1437,B,5
743470,2019-12-01 00:00:00.000,Purchase,"Hard Drive Type 5, Dell",40,77,C,3
641614,2018-08-01 00:00:00.000,Purchase,"Speakers Type 5, Samsung",36,91,C,3
930634,2019-01-09 00:00:00.000,Purchase,"Tablet Type 7, Dell",19,159,C,10
913553,2019-01-12 00:00:00.000,Purchase,"Mouse Type 4, Huawei",24,31,A,11
644598,2018-06-01 00:00:00.000,Purchase,"Desktop Type 8, Samsung",25,511,C,5
971216,2019-01-01 00:00:00.000,Purchase,"Laptop Type 4, HP",30,312,C,12
647120,2018-03-01 00:00:00.000,Purchase,"Phone Type 7, Samsung",43,336,B,6
615551,2018-02-01 00:00:00.000,Purchase,"Headphones Type 2, Samsung",18,68,C,4
602024,2017-04-01 00:00:00.000,Purchase,"Mouse Type 4, Samsung",33,20,B,2
579022,2017-04-01 00:00:00.000,Purchase,"Laptop Type 1, Huawei",35,622,C,5
704850,2017-10-01 00:00:00.000,Purchase,"Desktop Type 1, Samsung",38,615,C,4
904197,2017-01-03 00:00:00.000,Purchase,"Hard Drive Type 3, Samsung",6,101,C,10
605501,2017-01-01 00:00:00.000,Purchase,"Hard Drive Type 4, HP",15,59,B,3
696941,2017-11-01 00:00:00.000,Purchase,"Mouse Type 1, Dell",43,4,B,2
704275,2017-09-01 00:00:00.000,Purchase,"Desktop Type 1, Dell",18,421,A,4
608398,2017-05-01 00:00:00.000,Purchase,"Hard Drive Type 3, HP",22,43,B,3
927368,2019-01-03 00:00:00.000,Purchase,"Memory Type 2, Huawei",6,530,C,10
742944,2019-10-01 00:00:00.000,Purchase,"Headphones Type 6, Dell",29,56,B,3
971681,2019-01-02 00:00:00.000,Purchase,"Desktop Type 7, Samsung",14,11,C,12
744124,2019-09-01 00:00:00.000,Purchase,"Speakers Type 3, Huawei",20,58,C,4
911859,2017-01-08 00:00:00.000,Purchase,"Phone Type 1, HP",10,154,A,10
633539,2017-05-01 00:00:00.000,Purchase,"Microphone Type 2, Samsung",16,32,C,1
573529,2017-01-01 00:00:00.000,Purchase,"Speakers Type 6, HP",35,57,A,6
923303,2018-01-12 00:00:00.000,Purchase,"Keyboard Type 3, HP",10,98,C,11
714034,2017-10-01 00:00:00.000,Purchase,"Keyboard Type 3, Huawei",44,66,C,6
906603,2017-01-04 00:00:00.000,Purchase,"Phone Type 10, Dell",20,358,C,10
925201,2018-01-12 00:00:00.000,Purchase,"Hard Drive Type 7, Dell",20,67,C,10
929390,2019-01-06 00:00:00.000,Purchase,"Desktop Type 10, Samsung",7,160,B,10
968421,2018-01-08 00:00:00.000,Purchase,"Laptop Type 2, Huawei",30,1053,A,12
695431,2017-10-01 00:00:00.000,Purchase,"Smart Watch Type 1, HP",42,224,C,2
692981,2017-09-01 00:00:00.000,Purchase,"Desktop Type 3, HP",23,499,C,1
583065,2017-01-01 00:00:00.000,Purchase,"Tablet Type 1, HP",29,341,A,8
704360,2017-09-01 00:00:00.000,Purchase,"Desktop Type 1, Dell",17,421,C,4
630575,2017-06-01 00:00:00.000,Purchase,"Phone Type 7, Samsung",33,336,A,8
709559,2017-08-01 00:00:00.000,Purchase,"Laptop Type 4, HP",37,1158,C,5
570875,2017-01-01 00:00:00.000,Purchase,"Speakers Type 7, Samsung",34,99,B,6
708996,2017-07-01 00:00:00.000,Purchase,"Desktop Type 10, Huawei",36,406,C,5
710303,2017-09-01 00:00:00.000,Purchase,"Tablet Type 1, HP",43,341,A,5
911804,2017-01-08 00:00:00.000,Purchase,"Phone Type 10, Dell",19,73,A,10
721683,2017-10-01 00:00:00.000,Purchase,"Desktop Type 3, Huawei",22,555,B,8
632602,2018-03-01 00:00:00.000,Purchase,"Speakers Type 4, Samsung",23,62,C,9
690463,2019-02-01 00:00:00.000,Purchase,"Monitor Type 3, Samsung",24,83,C,9
705303,2017-10-01 00:00:00.000,Purchase,"Desktop Type 3, Samsung",17,692,A,4
706522,2017-11-01 00:00:00.000,Purchase,"Phone Type 4, Huawei",33,364,B,4
693874,2017-11-01 00:00:00.000,Purchase,"Monitor Type 3, Dell",23,77,C,1
966146,2018-01-03 00:00:00.000,Purchase,"Phone Type 11, Dell",20,164,C,12
745518,2019-12-01 00:00:00.000,Purchase,"Tablet Type 3, Samsung",24,232,C,4
718483,2017-09-01 00:00:00.000,Purchase,"Hard Drive Type 1, Huawei",18,35,C,7
588293,2018-01-01 00:00:00.000,Purchase,"Hard Drive Type 7, HP",39,121,B,1
634732,2018-05-01 00:00:00.000,Purchase,"Monitor Type 4, Huawei",38,83,B,1
902814,2017-01-02 00:00:00.000,Purchase,"Hard Drive Type 5, Huawei",8,119,C,10
914824,2017-01-10 00:00:00.000,Purchase,"Memory Type 3, Dell",5,1503,B,10
965353,2018-01-01 00:00:00.000,Purchase,"Tablet Type 7, Huawei",14,572,A,12
657693,2019-01-01 00:00:00.000,Purchase,"Headphones Type 4, Dell",45,50,C,1
917982,2018-01-02 00:00:00.000,Purchase,"Desktop Type 7, Dell",13,254,C,10
682050,2019-02-01 00:00:00.000,Purchase,"Tablet Type 1, Samsung",24,436,C,7
579241,2017-04-01 00:00:00.000,Purchase,"Tablet Type 6, Dell",21,217,A,5
598665,2017-04-01 00:00:00.000,Purchase,"Desktop Type 4, Huawei",15,400,C,1
