Store,Month,SalesPlan
1,2016-01-01 00:00:00.000,18176000
1,2016-02-01 00:00:00.000,121200
1,2016-03-01 00:00:00.000,152800
1,2016-04-01 00:00:00.000,168270
1,2016-05-01 00:00:00.000,157880
1,2016-06-01 00:00:00.000,199020
1,2016-07-01 00:00:00.000,117180
1,2016-08-01 00:00:00.000,141010
1,2016-09-01 00:00:00.000,141750
1,2016-10-01 00:00:00.000,180750
1,2016-11-01 00:00:00.000,177480
1,2016-12-01 00:00:00.000,144840
1,2017-01-01 00:00:00.000,1051119
1,2017-02-01 00:00:00.000,1077825
1,2017-03-01 00:00:00.000,1043120
1,2017-04-01 00:00:00.000,1068380
1,2017-05-01 00:00:00.000,1061702
1,2017-06-01 00:00:00.000,1008552
1,2017-07-01 00:00:00.000,1049537
1,2017-08-01 00:00:00.000,1080950
1,2017-09-01 00:00:00.000,1046015
1,2017-10-01 00:00:00.000,1020606
1,2017-11-01 00:00:00.000,1033587
1,2017-12-01 00:00:00.000,1052942
1,2018-01-01 00:00:00.000,211940
1,2018-02-01 00:00:00.000,282780
1,2018-03-01 00:00:00.000,3315420
1,2018-04-01 00:00:00.000,389000
1,2018-05-01 00:00:00.000,307700
1,2018-06-01 00:00:00.000,324250
1,2018-07-01 00:00:00.000,393440
1,2018-08-01 00:00:00.000,325660
1,2018-09-01 00:00:00.000,323650
1,2018-10-01 00:00:00.000,358710
1,2018-11-01 00:00:00.000,382490
1,2018-12-01 00:00:00.000,318560
1,2019-01-01 00:00:00.000,16190290
1,2019-02-01 00:00:00.000,1174713
1,2019-03-01 00:00:00.000,11758125
1,2019-04-01 00:00:00.000,1849310
1,2019-05-01 00:00:00.000,1851550
1,2019-06-01 00:00:00.000,1857705
1,2019-07-01 00:00:00.000,1863112
1,2019-08-01 00:00:00.000,18969641
1,2019-09-01 00:00:00.000,18988508
1,2019-10-01 00:00:00.000,18934903
1,2019-11-01 00:00:00.000,20017163
1,2019-12-01 00:00:00.000,20016188
1,2020-01-01 00:00:00.000,12313400
1,2020-02-01 00:00:00.000,15040800
1,2020-03-01 00:00:00.000,17313000
1,2020-04-01 00:00:00.000,16089000
1,2020-05-01 00:00:00.000,13470100
1,2020-06-01 00:00:00.000,11528000
1,2020-07-01 00:00:00.000,17409600
1,2020-08-01 00:00:00.000,13068600
1,2020-09-01 00:00:00.000,13994800
1,2020-10-01 00:00:00.000,12060600
1,2020-11-01 00:00:00.000,14453600
1,2020-12-01 00:00:00.000,16005600
2,2016-01-01 00:00:00.000,23030000
2,2016-02-01 00:00:00.000,12352000
2,2016-03-01 00:00:00.000,17360000
2,2016-04-01 00:00:00.000,17748000
2,2016-05-01 00:00:00.000,14012000
2,2016-06-01 00:00:00.000,17325000
2,2016-07-01 00:00:00.000,14592000
2,2016-08-01 00:00:00.000,11285000
2,2016-09-01 00:00:00.000,17136000
2,2016-10-01 00:00:00.000,20640000
2,2016-11-01 00:00:00.000,13671000
2,2016-12-01 00:00:00.000,15142000
2,2017-01-01 00:00:00.000,10057360
2,2017-02-01 00:00:00.000,14897600
2,2017-03-01 00:00:00.000,29595650
2,2017-04-01 00:00:00.000,24735000
2,2017-05-01 00:00:00.000,21084500
2,2017-06-01 00:00:00.000,25268500
2,2017-07-01 00:00:00.000,23362560
2,2017-08-01 00:00:00.000,27756160
2,2017-09-01 00:00:00.000,33309580
2,2017-10-01 00:00:00.000,35428760
2,2017-11-01 00:00:00.000,37325800
2,2017-12-01 00:00:00.000,33153480
2,2018-01-01 00:00:00.000,21624000
2,2018-02-01 00:00:00.000,23940000
2,2018-03-01 00:00:00.000,31289000
2,2018-04-01 00:00:00.000,35500000
2,2018-05-01 00:00:00.000,37030000
2,2018-06-01 00:00:00.000,33050000
2,2018-07-01 00:00:00.000,34336000
2,2018-08-01 00:00:00.000,33056000
2,2018-09-01 00:00:00.000,58354000
2,2018-10-01 00:00:00.000,51514000
2,2018-11-01 00:00:00.000,69380000
2,2018-12-01 00:00:00.000,65308000
2,2019-01-01 00:00:00.000,30706080
2,2019-02-01 00:00:00.000,3046000
2,2019-03-01 00:00:00.000,30950330
2,2019-04-01 00:00:00.000,31975000
2,2019-05-01 00:00:00.000,32137900
2,2019-06-01 00:00:00.000,33877000
2,2019-07-01 00:00:00.000,33849280
2,2019-08-01 00:00:00.000,4492160
2,2019-09-01 00:00:00.000,44233820
2,2019-10-01 00:00:00.000,45701660
2,2019-11-01 00:00:00.000,47907200
2,2019-12-01 00:00:00.000,59993320
2,2020-01-01 00:00:00.000,32003520
2,2020-02-01 00:00:00.000,36388800
2,2020-03-01 00:00:00.000,36369050
2,2020-04-01 00:00:00.000,51620000
2,2020-05-01 00:00:00.000,50814200
2,2020-06-01 00:00:00.000,56182000
2,2020-07-01 00:00:00.000,55552800
2,2020-08-01 00:00:00.000,55928320
2,2020-09-01 00:00:00.000,51841260
2,2020-10-01 00:00:00.000,57718000
2,2020-11-01 00:00:00.000,65775400
2,2020-12-01 00:00:00.000,70499480
3,2016-01-01 00:00:00.000,12288000
3,2016-02-01 00:00:00.000,25795000
3,2016-03-01 00:00:00.000,14950000
3,2016-04-01 00:00:00.000,18212000
3,2016-05-01 00:00:00.000,18984000
3,2016-06-01 00:00:00.000,22644000
3,2016-07-01 00:00:00.000,18620000
3,2016-08-01 00:00:00.000,18816000
3,2016-09-01 00:00:00.000,19470000
3,2016-10-01 00:00:00.000,11130000
3,2016-11-01 00:00:00.000,18270000
3,2016-12-01 00:00:00.000,10441000
3,2017-01-01 00:00:00.000,78304640
3,2017-02-01 00:00:00.000,62635840
3,2017-03-01 00:00:00.000,67051320
3,2017-04-01 00:00:00.000,66307200
3,2017-05-01 00:00:00.000,64229080
3,2017-06-01 00:00:00.000,68265300
3,2017-07-01 00:00:00.000,82044160
3,2017-08-01 00:00:00.000,67307110
3,2017-09-01 00:00:00.000,60420000
3,2017-10-01 00:00:00.000,84644800
3,2017-11-01 00:00:00.000,83417720
3,2017-12-01 00:00:00.000,82409300
3,2018-01-01 00:00:00.000,29656000
3,2018-02-01 00:00:00.000,25504000
3,2018-03-01 00:00:00.000,34092000
3,2018-04-01 00:00:00.000,34560000
3,2018-05-01 00:00:00.000,32644000
3,2018-06-01 00:00:00.000,38970000
3,2018-07-01 00:00:00.000,35792000
3,2018-08-01 00:00:00.000,34601000
3,2018-09-01 00:00:00.000,33400000
3,2018-10-01 00:00:00.000,46880000
3,2018-11-01 00:00:00.000,45602000
3,2018-12-01 00:00:00.000,43485000
3,2019-01-01 00:00:00.000,49658000
3,2019-02-01 00:00:00.000,51938080
3,2019-03-01 00:00:00.000,57896840
3,2019-04-01 00:00:00.000,61548800
3,2019-05-01 00:00:00.000,64229080
3,2019-06-01 00:00:00.000,66937400
3,2019-07-01 00:00:00.000,7421120
3,2019-08-01 00:00:00.000,81402870
3,2019-09-01 00:00:00.000,83930000
3,2019-10-01 00:00:00.000,85192000
3,2019-11-01 00:00:00.000,85445980
3,2019-12-01 00:00:00.000,93719850
3,2020-01-01 00:00:00.000,14938560
3,2020-02-01 00:00:00.000,22170720
3,2020-03-01 00:00:00.000,17755920
3,2020-04-01 00:00:00.000,17617600
3,2020-05-01 00:00:00.000,20379600
3,2020-06-01 00:00:00.000,19159700
3,2020-07-01 00:00:00.000,8225280
3,2020-08-01 00:00:00.000,22632920
3,2020-09-01 00:00:00.000,23868000
3,2020-10-01 00:00:00.000,21944000
3,2020-11-01 00:00:00.000,12949660
3,2020-12-01 00:00:00.000,18788000
4,2016-01-01 00:00:00.000,17784000
4,2016-02-01 00:00:00.000,17352000
4,2016-03-01 00:00:00.000,21372000
4,2016-04-01 00:00:00.000,14840000
4,2016-05-01 00:00:00.000,23800000
4,2016-06-01 00:00:00.000,16200000
4,2016-07-01 00:00:00.000,21328000
4,2016-08-01 00:00:00.000,15028000
4,2016-09-01 00:00:00.000,12025000
4,2016-10-01 00:00:00.000,18172000
4,2016-11-01 00:00:00.000,18850000
4,2016-12-01 00:00:00.000,23944000
4,2017-01-01 00:00:00.000,22717100
4,2017-02-01 00:00:00.000,25648740
4,2017-03-01 00:00:00.000,28791180
4,2017-04-01 00:00:00.000,22096800
4,2017-05-01 00:00:00.000,23105680
4,2017-06-01 00:00:00.000,26339050
4,2017-07-01 00:00:00.000,26205280
4,2017-08-01 00:00:00.000,25115870
4,2017-09-01 00:00:00.000,31728840
4,2017-10-01 00:00:00.000,37556000
4,2017-11-01 00:00:00.000,33926120
4,2017-12-01 00:00:00.000,38020880
4,2018-01-01 00:00:00.000,27370000
4,2018-02-01 00:00:00.000,26442000
4,2018-03-01 00:00:00.000,31978000
4,2018-04-01 00:00:00.000,38414000
4,2018-05-01 00:00:00.000,35064000
4,2018-06-01 00:00:00.000,32285000
4,2018-07-01 00:00:00.000,35288000
4,2018-08-01 00:00:00.000,39631000
4,2018-09-01 00:00:00.000,44596000
4,2018-10-01 00:00:00.000,43100000
4,2018-11-01 00:00:00.000,41542000
4,2018-12-01 00:00:00.000,42248000
4,2019-01-01 00:00:00.000,26548900
4,2019-02-01 00:00:00.000,32259240
4,2019-03-01 00:00:00.000,32747220
4,2019-04-01 00:00:00.000,28598140
4,2019-05-01 00:00:00.000,26118480
4,2019-06-01 00:00:00.000,21179350
4,2019-07-01 00:00:00.000,26511040
4,2019-08-01 00:00:00.000,28649450
4,2019-09-01 00:00:00.000,36402080
4,2019-10-01 00:00:00.000,26565000
4,2019-11-01 00:00:00.000,21542000
4,2019-12-01 00:00:00.000,28910800
4,2020-01-01 00:00:00.000,27096300
