CustomerID,AddressID,AddressType,rowguid,ModifiedDate
29738,610,Main Office,6360A3D7-3B1B-415C-B743-0098C6B55227,2007-09-01 00:00:00.000
30108,550,Main Office,1CAE94D5-5527-4EAC-A1EE-61B828784DD1,2006-08-01 00:00:00.000
29816,297,Shipping,C33E7580-8404-43F7-A783-21B927020B98,2006-08-01 00:00:00.000
29638,989,Main Office,3DB4D2FF-611F-416C-A6E4-41292B13E04B,2007-09-01 00:00:00.000
29600,797,Main Office,979ABDF5-114C-4324-9B43-0E9F090A6174,2006-09-01 00:00:00.000
29954,25,Shipping,85666565-49E8-427A-8A2A-C7960C7E665A,2006-09-01 00:00:00.000
30094,1031,Main Office,D54C6FB8-9B5C-48D3-BBD7-45F522DD6678,2006-08-01 00:00:00.000
29847,1092,Main Office,54E22612-0521-4EA6-B7B0-29D081E054C4,2006-09-01 00:00:00.000
29554,776,Main Office,316172FC-BA5F-4A48-86E0-5213A7F59059,2005-11-01 00:00:00.000
29577,471,Main Office,79195F71-4929-4C90-BE50-D9DFD1767268,2005-09-01 00:00:00.000
30030,667,Main Office,C1A1B046-3EE3-4366-9CB6-B25C4C261B11,2006-08-01 00:00:00.000
29860,668,Main Office,CC407427-8A5C-4543-89FC-07FBCF32E609,2007-08-01 00:00:00.000
30113,653,Main Office,B3D67684-4F0A-4F71-B5E2-2E5E93CCC91C,2006-09-01 00:00:00.000
29536,786,Main Office,EFA08457-C8D8-4DAF-A27F-BF6DFAF76863,2006-12-01 00:00:00.000
30115,499,Main Office,A02A45B2-673D-4FF6-9C60-EE59A8C2BB4B,2006-08-01 00:00:00.000
29934,451,Main Office,BF9679DA-39E6-4E84-8476-4DA4A30C330F,2006-12-01 00:00:00.000
29663,575,Main Office,4821E5CB-21A0-453E-8862-64964817EB4C,2006-09-01 00:00:00.000
29851,657,Main Office,50BD7F7E-8937-4B35-8391-A217EB60ABAF,2006-08-01 00:00:00.000
29988,478,Main Office,74DBDB0B-0110-44FA-941C-98BCD90C7D86,2005-08-01 00:00:00.000
29603,518,Main Office,04A7A4FF-6708-4C08-A502-4DAEAA666D55,2007-09-01 00:00:00.000
29622,863,Main Office,347CA34C-5205-464E-83F7-BEB956DFDF7D,2005-09-01 00:00:00.000
29942,854,Main Office,A82C76B8-4C10-406C-81A8-66BE5AAE5788,2007-08-01 00:00:00.000
29921,842,Main Office,2B812294-50AC-4525-92F2-6D29760A0A63,2005-09-01 00:00:00.000
29992,1024,Main Office,06B02E3B-F6C6-4BAD-BECB-7B9FD91B7F64,2005-07-01 00:00:00.000
29971,549,Main Office,752E7532-C545-4F14-A0FE-941409090492,2006-09-01 00:00:00.000
29632,843,Main Office,6897A92D-B5F7-467C-8D61-F89E28D0D908,2005-09-01 00:00:00.000
29502,893,Main Office,8ACB1C6A-7CDF-417B-AFD5-9F4C642F3C7E,2007-07-01 00:00:00.000
29653,1019,Main Office,1D45CB08-2542-4FD1-BDAC-8994EF616BA2,2007-09-01 00:00:00.000
29967,565,Main Office,3DA21168-1DA5-4FF2-8716-55EFC98633B6,2005-09-01 00:00:00.000
29611,862,Main Office,EA3C1ACA-7D46-4842-8A52-4A5E04DE9E13,2005-11-01 00:00:00.000
29783,1075,Main Office,23C7CBFA-D379-4D31-A50A-41390F428850,2006-07-01 00:00:00.000
29612,649,Main Office,56DC2277-C288-484C-AFB3-52624182ABA6,2007-09-01 00:00:00.000
29579,1012,Main Office,1D926304-E5CD-401C-B40A-C68C9CA545C8,2006-09-01 00:00:00.000
29827,631,Main Office,A9B3CBA7-2F99-4914-A083-F5E6BADAD4F1,2005-07-01 00:00:00.000
