ID Produto,Produto,Grupo,Imposto
1,"Produto 1","A",0.1
2,"Produto 2","A",0.1
3,"Produto 3","A",0.1
4,"Produto 4","A",0.1
5,"Produto 5","A",0.1
6,"Produto 6","A",0.1
7,"Produto 7","B",0.11
8,"Produto 8","B",0.11
9,"Produto 9","B",0.11
10,"Produto 10","B",0.11
11,"Produto 11","B",0.11
12,"Produto 12","B",0.11
13,"Produto 13","C",0.21
14,"Produto 14","C",0.21
15,"Produto 15","C",0.21
16,"Produto 16","C",0.21
17,"Produto 17","C",0.21
18,"Produto 18","C",0.21
19,"Produto 19","C",0.21
20,"Produto 20","D",0.15
21,"Produto 21","D",0.15
22,"Produto 22","D",0.15
23,"Produto 23","D",0.15
24,"Produto 24","D",0.15
25,"Produto 25","D",0.15
26,"Produto 26","D",0.15
27,"Produto 27","D",0.15
28,"Produto 28","D",0.15
29,"Produto 29","D",0.15
30,"Produto 30","D",0.15
