Order Number,SO - 0009334,SO - 0001970,SO - 0004258,SO - 0007884,SO - 0009947,SO - 0002295,SO - 0004085,SO - 0003507,SO - 0009263,SO - 0005175,SO - 0002549,SO - 0009598,SO - 0002811,SO - 0006503,SO - 0005413,SO - 0006260,SO - 0008661,SO - 0006821,SO - 0009674,SO - 0003251,SO - 0005808,SO - 0006767,SO - 0009206,SO - 0004037,SO - 0005057,SO - 0010228,SO - 0006531,SO - 0006094,SO - 0005765,SO - 0009408,SO - 0004668,SO - 0010351,SO - 0010302,SO - 0005045,SO - 0005640,SO - 0007424,SO - 0010135,SO - 0006283,SO - 000242,SO - 0002939,SO - 000239,SO - 0002890,SO - 0009298,SO - 0007958,SO - 0001109,SO - 0001690,SO - 0008959,SO - 0006714,SO - 0003768,SO - 0004489,SO - 0009204,SO - 0002280,SO - 0003434,SO - 0006898,SO - 0001115,SO - 0009404,SO - 0007970,SO - 0006679,SO - 0002082,SO - 000696,SO - 0003160,SO - 0007578,SO - 0002878,SO - 0002641,SO - 0003739,SO - 0003986,SO - 0006259,SO - 0008485,SO - 0008717,SO - 0002697,SO - 0010200,SO - 0003349,SO - 0004213,SO - 0007654,SO - 0005020,SO - 0007871,SO - 0004998,SO - 0007780,SO - 000852,SO - 000378,SO - 0005686,SO - 000489,SO - 0008150,SO - 0005238,SO - 0010134,SO - 0001193,SO - 0006517,SO - 0010476,SO - 0003133,SO - 0007447,SO - 0002987,SO - 0008635,SO - 0003966,SO - 0009878,SO - 0005845,SO - 0003815,SO - 0010614,SO - 0003281,SO - 0006341,SO - 0007071
Order Date,2017-12-14 00:00:00.000,2016-05-17 00:00:00.000,2016-08-12 00:00:00.000,2016-12-23 00:00:00.000,2017-09-09 00:00:00.000,2015-06-02 00:00:00.000,2015-10-03 00:00:00.000,2018-04-04 00:00:00.000,2017-02-23 00:00:00.000,2016-01-01 00:00:00.000,2017-06-27 00:00:00.000,2017-05-11 00:00:00.000,2018-03-19 00:00:00.000,2016-03-12 00:00:00.000,2015-09-15 00:00:00.000,2017-11-09 00:00:00.000,2016-04-01 00:00:00.000,2017-09-24 00:00:00.000,2016-08-31 00:00:00.000,2016-06-15 00:00:00.000,2016-08-18 00:00:00.000,2017-02-23 00:00:00.000,2015-09-25 00:00:00.000,2017-05-20 00:00:00.000,2018-04-12 00:00:00.000,2017-11-20 00:00:00.000,2015-09-28 00:00:00.000,2016-06-16 00:00:00.000,2015-12-01 00:00:00.000,2016-05-14 00:00:00.000,2018-06-29 00:00:00.000,2015-02-17 00:00:00.000,2015-03-30 00:00:00.000,2018-05-08 00:00:00.000,2017-02-10 00:00:00.000,2015-02-25 00:00:00.000,2015-02-25 00:00:00.000,2016-04-07 00:00:00.000,2016-09-05 00:00:00.000,2015-07-02 00:00:00.000,2015-04-30 00:00:00.000,2018-05-01 00:00:00.000,2015-12-17 00:00:00.000,2015-09-27 00:00:00.000,2016-02-14 00:00:00.000,2016-10-05 00:00:00.000,2015-02-19 00:00:00.000,2018-08-04 00:00:00.000,2017-01-07 00:00:00.000,2017-11-07 00:00:00.000,2016-09-26 00:00:00.000,2015-03-28 00:00:00.000,2016-09-30 00:00:00.000,2015-10-28 00:00:00.000,2017-10-16 00:00:00.000,2015-05-31 00:00:00.000,2016-04-19 00:00:00.000,2016-08-26 00:00:00.000,2018-05-08 00:00:00.000,2017-08-06 00:00:00.000,2018-08-05 00:00:00.000,2017-05-23 00:00:00.000,2015-01-21 00:00:00.000,2016-04-03 00:00:00.000,2017-12-24 00:00:00.000,2016-07-26 00:00:00.000,2017-08-19 00:00:00.000,2016-08-05 00:00:00.000,2016-11-16 00:00:00.000,2018-03-10 00:00:00.000,2015-07-19 00:00:00.000,2018-06-20 00:00:00.000,2016-09-21 00:00:00.000,2015-02-09 00:00:00.000,2015-03-09 00:00:00.000,2016-02-16 00:00:00.000,2015-12-11 00:00:00.000,2016-02-15 00:00:00.000,2018-07-26 00:00:00.000,2016-12-20 00:00:00.000,2017-02-05 00:00:00.000,2018-04-04 00:00:00.000,2018-07-31 00:00:00.000,2015-11-06 00:00:00.000,2018-01-08 00:00:00.000,2016-07-16 00:00:00.000,2016-05-24 00:00:00.000,2015-06-01 00:00:00.000,2015-10-18 00:00:00.000,2015-02-23 00:00:00.000,2017-05-19 00:00:00.000,2015-09-02 00:00:00.000,2016-03-25 00:00:00.000,2018-02-26 00:00:00.000,2017-11-06 00:00:00.000,2018-08-04 00:00:00.000,2017-01-08 00:00:00.000,2016-12-02 00:00:00.000,2016-06-02 00:00:00.000,2018-04-14 00:00:00.000
Customer Name Index,127,17,26,8,166,128,136,124,135,54,24,50,38,133,154,65,118,16,79,59,141,105,131,128,119,25,35,94,113,22,124,146,162,7,109,143,123,101,100,68,124,55,22,93,48,57,119,45,102,4,100,98,173,40,50,10,35,14,144,71,170,153,117,57,1,111,99,152,104,28,108,147,68,107,166,33,74,51,146,130,106,5,118,86,82,24,171,125,58,78,3,108,69,96,160,137,50,118,29,134
Channel,Distributor,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Distributor,Wholesale,Distributor,Wholesale,Wholesale,Distributor,Wholesale,Export,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Export,Distributor,Distributor,Distributor,Distributor,Distributor,Wholesale,Wholesale,Distributor,Wholesale,Export,Distributor,Wholesale,Distributor,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Export,Wholesale,Distributor,Distributor,Distributor,Distributor,Distributor,Distributor,Distributor,Export,Wholesale,Distributor,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Export,Wholesale,Wholesale,Distributor,Distributor,Distributor,Distributor,Wholesale,Wholesale,Distributor,Distributor,Wholesale,Wholesale,Wholesale,Distributor,Export,Distributor,Distributor,Distributor,Wholesale,Distributor,Wholesale,Wholesale,Wholesale,Wholesale,Distributor,Distributor,Export,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Distributor,Wholesale,Export,Wholesale,Distributor,Wholesale,Wholesale,Distributor,Wholesale,Export,Export
Currency Code,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
Warehouse Code,NXH382,AXW291,AXW291,GUT930,AXW291,AXW291,AXW291,NXH382,AXW291,AXW291,GUT930,AXW291,NXH382,AXW291,AXW291,NXH382,GUT930,NXH382,AXW291,AXW291,AXW291,GUT930,FLR025,GUT930,FLR025,AXW291,AXW291,AXW291,AXW291,FLR025,FLR025,FLR025,AXW291,FLR025,GUT930,AXW291,NXH382,AXW291,AXW291,AXW291,AXW291,FLR025,GUT930,AXW291,AXW291,GUT930,NXH382,FLR025,GUT930,NXH382,NXH382,AXW291,GUT930,AXW291,NXH382,AXW291,AXW291,AXW291,FLR025,NXH382,FLR025,GUT930,AXW291,AXW291,NXH382,AXW291,NXH382,NXH382,NXH382,NXH382,NXH382,FLR025,GUT930,AXW291,AXW291,AXW291,AXW291,AXW291,FLR025,GUT930,GUT930,NXH382,AXW291,AXW291,GUT930,AXW291,AXW291,FLR025,AXW291,AXW291,GUT930,FLR025,AXW291,FLR025,NXH382,FLR025,FLR025,GUT930,AXW291,FLR025
Delivery Region Index,46,36,21,29,41,7,84,64,45,64,39,22,53,74,65,16,20,65,21,29,26,6,80,73,22,83,14,83,28,61,7,13,41,41,52,9,8,21,44,8,31,79,36,36,15,5,84,57,76,24,24,37,24,59,37,61,9,50,42,72,29,82,2,71,19,4,30,49,61,60,29,69,19,67,9,20,6,60,4,19,26,16,3,27,4,76,13,37,13,54,39,50,79,57,41,65,15,70,51,14
Product Description Index,16,7,19,20,13,16,25,5,2,5,26,6,28,13,6,25,25,3,5,5,8,16,12,26,10,15,2,30,13,17,15,9,15,5,25,23,4,28,17,4,9,19,12,4,6,13,3,25,26,4,13,26,2,26,10,25,11,23,26,26,21,26,12,15,2,2,29,3,5,4,29,20,11,27,26,1,6,13,4,13,12,25,13,26,26,25,25,16,26,3,13,25,25,1,24,14,15,1,26,25
Order Quantity,6,7,9,11,8,5,10,6,8,7,10,9,10,9,9,12,8,11,10,11,5,10,8,11,5,12,7,5,7,5,5,11,10,11,5,7,10,6,9,5,9,11,10,11,11,8,12,11,12,8,9,11,6,5,12,7,11,8,6,11,11,9,11,10,10,5,5,11,7,10,5,12,11,11,8,12,12,10,6,11,8,6,10,5,6,6,11,7,9,9,6,6,12,9,11,11,10,6,10,8
Unit Price,5453.8,5165.7,1976.5,6123.8,5326.5,2331.6,3886.0,1112.2,3999.9,1212.7,3872.6,1768.8,254.6,716.9,3115.5,261.3,3517.5,2720.2000000000003,1058.6,1072.0,5902.7,1983.2,877.7,2298.1,3805.6,1159.1,1172.5,1199.3,5688.3,241.2,2003.3,1011.7,167.5,5460.5,1125.6,730.3,777.2,1688.4,3946.3,1045.2,1219.4,1031.8,3979.8,187.6,1072.0,2552.7000000000003,1889.4,830.8,1018.4,2405.3,3852.5,3959.7,1065.3,5212.6,3993.2,1031.8,3993.2,1929.6,1058.6,3906.1,1078.7,951.4,1025.1,2613.0,167.5,5768.7,1058.6,227.8,810.7,710.2,2499.1,2814.0,1842.5,2606.3,884.4,1058.6,911.2,3966.4,3564.4,924.6,3819.0,1165.8,2619.7000000000003,938.0,2619.7000000000003,1072.0,227.8,3618.0,3946.3,5071.9000000000015,710.2,194.3,6478.9000000000015,5025.0,2412.0,3798.9,931.3,5775.4000000000015,3926.2,897.8
Revenue,32722.800000000003,36159.9,17788.5,67361.8,42612.0,11658.0,38860.0,6673.200000000001,31999.2,8488.9,38726.0,15919.2,2546.0,6452.1,28039.5,3135.6000000000004,28140.0,29922.200000000004,10586.000000000002,11792.0,29513.5,19832.0,7021.6,25279.1,19028.0,13909.2,8207.5,5996.5,39818.1,1206.0,10016.5,11128.7,1675.0,60065.5,5628.000000000001,5112.1,7772.0,10130.4,35516.700000000004,5226.0,10974.6,11349.8,39798.0,2063.6,11792.0,20421.6,22672.800000000003,9138.8,12220.8,19242.4,34672.5,43556.7,6391.799999999999,26063.0,47918.4,7222.5999999999985,43925.2,15436.8,6351.6,42967.1,11865.7,8562.6,11276.100000000002,26130.0,1675.0,28843.5,5293.000000000001,2505.8,5674.9000000000015,7102.0,12495.5,33768.0,20267.5,28669.300000000003,7075.2,12703.2,10934.4,39664.0,21386.4,10170.6,30552.0,6994.799999999999,26197.000000000004,4690.0,15718.2,6432.0,2505.8,25326.0,35516.700000000004,45647.100000000006,4261.200000000001,1165.8000000000002,77746.8,45225.0,26532.0,41787.9,9313.0,34652.4,39262.0,7182.4000000000015
Total Unit Cost,2890.514,2066.28,1067.3100000000002,3123.138,2929.5750000000003,1468.908,2137.3,556.1,2199.945,715.493,2323.56,1149.72,150.214,379.957,1682.37,193.362,2743.65,2176.1600000000003,624.5740000000001,450.24,4958.268,1269.248,351.08000000000004,1034.145,1636.408,707.051,621.4250000000001,791.538,2502.8520000000003,159.192,1161.914,789.1260000000002,137.35,2348.015,630.3360000000001,496.6040000000001,512.952,1435.14,1657.446,606.216,695.058,680.988,3303.234,148.204,707.52,1276.35,906.912,548.3280000000001,672.144,1635.6040000000005,1541.0,1861.059,724.404,3283.938,3034.8320000000003,474.628,2954.9680000000003,1234.9440000000002,730.434,1835.867,647.22,704.036,635.5620000000001,1620.06,110.55,4384.212,709.2620000000002,95.676,567.49,553.956,1299.532,1885.38,1123.925,1668.0320000000002,548.328,846.8800000000001,537.608,2181.5200000000004,1497.048,536.268,2253.21,664.506,1938.578,534.66,2121.9570000000003,911.2,134.402,2026.08,2999.188,4311.115000000001,333.794,101.03600000000002,4664.808,3567.75,1688.4,2887.164,530.841,3580.7480000000005,2826.864,763.13
