Balance Sheet Type,Category,Sub Category,Year,Balance Sheet Values
"Assets","Current Assets","Cash","2014",11874
"Assets","Current Assets","Cash","2015",11875.15
"Assets","Current Assets","Cash","2016",11876.3
"Assets","Current Assets","Cash","2017",11877.449999999999
"Assets","Current Assets","Cash","2018",11878.599999999999
"Assets","Current Assets","Accounts receivable","2014",4215
"Assets","Current Assets","Accounts receivable","2015",4216.15
"Assets","Current Assets","Accounts receivable","2016",4217.2999999999993
"Assets","Current Assets","Accounts receivable","2017",4218.4499999999989
"Assets","Current Assets","Accounts receivable","2018",4219.5999999999985
"Assets","Current Assets","Inventory","2014",2145
"Assets","Current Assets","Inventory","2015",2146.15
"Assets","Current Assets","Inventory","2016",2147.3
"Assets","Current Assets","Inventory","2017",2148.4500000000003
"Assets","Current Assets","Inventory","2018",2149.6000000000004
"Assets","Current Assets","Prepaid expenses","2014",354
"Assets","Current Assets","Prepaid expenses","2015",355.15
"Assets","Current Assets","Prepaid expenses","2016",356.29999999999995
"Assets","Current Assets","Prepaid expenses","2017",357.44999999999993
"Assets","Current Assets","Prepaid expenses","2018",358.59999999999991
"Assets","Current Assets","Short-term investments","2014",254
"Assets","Current Assets","Short-term investments","2015",255.15
"Assets","Current Assets","Short-term investments","2016",256.3
"Assets","Current Assets","Short-term investments","2017",257.45
"Assets","Current Assets","Short-term investments","2018",258.59999999999997
"Assets","Fixed (Long-Term) Assets","Long-term investments","2014",1208
"Assets","Fixed (Long-Term) Assets","Long-term investments","2015",1209.15
"Assets","Fixed (Long-Term) Assets","Long-term investments","2016",1210.3000000000002
"Assets","Fixed (Long-Term) Assets","Long-term investments","2017",1211.4500000000003
"Assets","Fixed (Long-Term) Assets","Long-term investments","2018",1212.6000000000004
"Assets","Fixed (Long-Term) Assets","Property, plant, and equipment","2014",15340
"Assets","Fixed (Long-Term) Assets","Property, plant, and equipment","2015",15341.15
"Assets","Fixed (Long-Term) Assets","Property, plant, and equipment","2016",15342.3
"Assets","Fixed (Long-Term) Assets","Property, plant, and equipment","2017",15343.449999999999
"Assets","Fixed (Long-Term) Assets","Property, plant, and equipment","2018",15344.599999999999
"Assets","Fixed (Long-Term) Assets","(Less accumulated depreciation)","2014",-2200
"Assets","Fixed (Long-Term) Assets","(Less accumulated depreciation)","2015",-2198.85
"Assets","Fixed (Long-Term) Assets","(Less accumulated depreciation)","2016",-2197.7
"Assets","Fixed (Long-Term) Assets","(Less accumulated depreciation)","2017",-2196.5499999999997
"Assets","Fixed (Long-Term) Assets","(Less accumulated depreciation)","2018",-2195.3999999999996
"Assets","Fixed (Long-Term) Assets","Intangible assets","2014",2215
"Assets","Fixed (Long-Term) Assets","Intangible assets","2015",2216.15
"Assets","Fixed (Long-Term) Assets","Intangible assets","2016",2217.3
"Assets","Fixed (Long-Term) Assets","Intangible assets","2017",2218.4500000000003
"Assets","Fixed (Long-Term) Assets","Intangible assets","2018",2219.6000000000004
"Assets","Other Assets","Deferred income tax","2014",134
"Assets","Other Assets","Deferred income tax","2015",135.15
"Assets","Other Assets","Deferred income tax","2016",136.3
"Assets","Other Assets","Deferred income tax","2017",137.45000000000002
"Assets","Other Assets","Deferred income tax","2018",138.60000000000002
"Assets","Other Assets","Other","2014",324
"Assets","Other Assets","Other","2015",325.15
"Assets","Other Assets","Other","2016",326.29999999999995
"Assets","Other Assets","Other","2017",327.44999999999993
"Assets","Other Assets","Other","2018",328.59999999999991
"Liabilities","Current Liabilities","Accounts payable","2014",8060
"Liabilities","Current Liabilities","Accounts payable","2015",8061.15
"Liabilities","Current Liabilities","Accounts payable","2016",8062.2999999999993
"Liabilities","Current Liabilities","Accounts payable","2017",8063.4499999999989
"Liabilities","Current Liabilities","Accounts payable","2018",8064.5999999999985
"Liabilities","Current Liabilities","Short-term loans","2014",200
"Liabilities","Current Liabilities","Short-term loans","2015",201.15
"Liabilities","Current Liabilities","Short-term loans","2016",202.3
"Liabilities","Current Liabilities","Short-term loans","2017",203.45000000000002
"Liabilities","Current Liabilities","Short-term loans","2018",204.60000000000002
"Liabilities","Current Liabilities","Income taxes payable","2014",3145
"Liabilities","Current Liabilities","Income taxes payable","2015",3146.15
"Liabilities","Current Liabilities","Income taxes payable","2016",3147.3
"Liabilities","Current Liabilities","Income taxes payable","2017",3148.4500000000003
"Liabilities","Current Liabilities","Income taxes payable","2018",3149.6000000000004
"Liabilities","Current Liabilities","Accrued salaries and wages","2014",50
"Liabilities","Current Liabilities","Accrued salaries and wages","2015",51.15
"Liabilities","Current Liabilities","Accrued salaries and wages","2016",52.3
"Liabilities","Current Liabilities","Accrued salaries and wages","2017",53.449999999999996
"Liabilities","Current Liabilities","Accrued salaries and wages","2018",54.599999999999994
"Liabilities","Current Liabilities","Unearned revenue","2014",333
"Liabilities","Current Liabilities","Unearned revenue","2015",334.15
"Liabilities","Current Liabilities","Unearned revenue","2016",335.29999999999995
"Liabilities","Current Liabilities","Unearned revenue","2017",336.44999999999993
"Liabilities","Current Liabilities","Unearned revenue","2018",337.59999999999991
"Liabilities","Current Liabilities","Current portion of long-term debt","2014",0
"Liabilities","Current Liabilities","Current portion of long-term debt","2015",1.15
"Liabilities","Current Liabilities","Current portion of long-term debt","2016",2.3
"Liabilities","Current Liabilities","Current portion of long-term debt","2017",3.4499999999999997
"Liabilities","Current Liabilities","Current portion of long-term debt","2018",4.6
"Liabilities","Long-Term Liabilities","Long-term debt","2014",3450
"Liabilities","Long-Term Liabilities","Long-term debt","2015",3451.15
"Liabilities","Long-Term Liabilities","Long-term debt","2016",3452.3
"Liabilities","Long-Term Liabilities","Long-term debt","2017",3453.4500000000003
"Liabilities","Long-Term Liabilities","Long-term debt","2018",3454.6000000000004
"Liabilities","Long-Term Liabilities","Deferred income tax","2014",252
"Liabilities","Long-Term Liabilities","Deferred income tax","2015",253.15
"Liabilities","Long-Term Liabilities","Deferred income tax","2016",254.3
"Liabilities","Long-Term Liabilities","Deferred income tax","2017",255.45000000000002
"Liabilities","Long-Term Liabilities","Deferred income tax","2018",256.6
"Liabilities","Long-Term Liabilities","Other","2014",111
"Liabilities","Long-Term Liabilities","Other","2015",112.15
"Liabilities","Long-Term Liabilities","Other","2016",113.30000000000001
"Liabilities","Long-Term Liabilities","Other","2017",114.45000000000002
"Liabilities","Long-Term Liabilities","Other","2018",115.60000000000002
"Owner's Equity","Owner's Equity","Owner's investment","2014",7178
"Owner's Equity","Owner's Equity","Owner's investment","2015",7179.15
"Owner's Equity","Owner's Equity","Owner's investment","2016",7180.2999999999993
"Owner's Equity","Owner's Equity","Owner's investment","2017",7181.4499999999989
"Owner's Equity","Owner's Equity","Owner's investment","2018",7182.5999999999985
"Owner's Equity","Owner's Equity","Retained earnings","2014",4389
"Owner's Equity","Owner's Equity","Retained earnings","2015",4390.15
"Owner's Equity","Owner's Equity","Retained earnings","2016",4391.2999999999993
"Owner's Equity","Owner's Equity","Retained earnings","2017",4392.4499999999989
"Owner's Equity","Owner's Equity","Retained earnings","2018",4393.5999999999985
"Owner's Equity","Owner's Equity","Other","2014",0
"Owner's Equity","Owner's Equity","Other","2015",1.15
"Owner's Equity","Owner's Equity","Other","2016",2.3
"Owner's Equity","Owner's Equity","Other","2017",3.4499999999999997
"Owner's Equity","Owner's Equity","Other","2018",4.6
