State,Burglary Rate,Murder Rate,Population Size
"California",693.3,6.9,3420.52776205
"Texas",961.6,6.2,2782.717435374
"New York",353.3,4.5,2490.77381947
"Florida",926.3,5,2415.386474115
"Illinois",606.9,6,2026.498223568
"Pennsylvania",451.6,6.1,1990.580385635
"Ohio",872.8,5.1,1912.087525407
"Michigan",696.8,6.1,1784.429353678
"Georgia",931,6.2,1755.866757543
"North Carolina",1201.1,6.7,1713.355056805
"New Jersey",447.1,4.8,1662.461077644
"Virginia",392.1,6.1,1572.57045481
"Washington",959.7,3.3,1443.843047576
"Arizona",948.4,7.5,1438.426764203
"Massachusetts",541.1,2.7,1438.181885645
"Indiana",697.6,5.7,1424.709070561
"Tennessee",1026.9,7.2,1406.506413752
"Missouri",738.3,6.9,1371.758839853
"Maryland",641.4,9.9,1339.115237713
"Wisconsin",440.8,3.5,1338.445940341
"Minnesota",578.9,2.2,1289.070479712
"Colorado",744.8,3.7,1243.972783597
"Alabama",953.8,8.2,1213.709489575
"South Carolina",1000.9,7.4,1194.137608539
"Louisiana",870.6,9.9,1184.905047985
"Kentucky",634,4.6,1165.737058706
"Oregon",758.6,2.2,1098.368593519
"Oklahoma",1006,5.3,1076.754157341
"Connecticut",437.1,2.9,1055.690828614
"Iowa",606.4,1.3,977.621061716
"Mississippi",919.7,7.3,967.156223739
"Arkansas",1084.6,6.7,953.361875633
"Kansas",689.2,3.7,944.429433368
"Utah",606.2,2.3,933.290314956
"Nevada",972.4,8.5,909.757584101
"New Mexico",1093.9,7.4,794.757908113
"West Virginia",621.2,4.4,759.975724983
"Nebraska",532.4,2.5,753.448098369
"Idaho",564.4,2.4,696.452221997
"Maine",478.5,1.4,647.333731182
"New Hampshire",317,1.4,647.174638741
"Hawaii",767.9,1.9,640.348466667
"Rhode Island",494.2,3.2,578.339181349
"Montana",389.2,1.9,554.928568637
"Delaware",688.9,4.4,527.175317279
"South Dakota",324.4,2.3,505.947527526
"Alaska",622.5,4.8,467.390464942
"North Dakota",311.9,1.1,451.873593053
"Vermont",491.8,1.3,444.698080713
"Wyoming",476.3,2.7,411.768734187
