Type,Item,Amount
"Net Profit","Add'l expense items",62344000
"Net Profit","Sales, General and Admin.",-37042000
"Net Profit","Research and Development",-18387000
"Net Profit","Income Tax",-523000
"Net Profit","Add'l income items",0
"Net Profit","Cost of Revenue",-3013000
"Total Revenue","Add'l expense items",62360000
"Total Revenue","Sales, General and Admin.",0
"Total Revenue","Research and Development",0
"Total Revenue","Income Tax",0
"Total Revenue","Add'l income items",0
"Total Revenue","Cost of Revenue",0
