Fin Yr,Month,Wk Start,Fy Week,Cal Week,Department,Sub Department,Class,Sub Class,Products,Status,Supplier,State,Store,Sales Value,Units Sold,Cost,GP Dollar,Stock on Hand,Value of Stock on hand,Load Date
2020,202005,20200511,46,19,Department 1,Sub Department 1,Class 6,Sub Class 10,Product 1986,Status 4,Supplier 1,Location 5,Store 202,64664.36,0,0.0,0.0,1,40.73,2020-05-11 00:00:00.000
2019,201904,20190408,42,14,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 3894,Status 1,Supplier 4,Location 5,Store 215,2220.0,14,30.37,78.55,79,171.37,2019-04-08 00:00:00.000
2019,201808,20180827,10,34,Department 1,Sub Department 1,Class 5,Sub Class 6,Product 3167,Status 1,Supplier 1,Location 1,Store 175,38853.0,0,0.0,0.0,3,144.12,2018-08-27 00:00:00.000
2019,201812,20181231,28,52,Department 4,Sub Department 11,Class 33,Sub Class 85,Product 3902,Status 1,Supplier 4,Location 2,Store 225,3057.0,1,7.68,8.67,2,15.36,2018-12-31 00:00:00.000
2020,201907,20190708,2,27,Department 1,Sub Department 1,Class 4,Sub Class 5,Product 1757,Status 2,Supplier 1,Location 2,Store 147,55247.36,0,0.0,0.0,3,216.19,2019-07-08 00:00:00.000
2020,202002,20200217,34,7,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 4152,Status 1,Supplier 4,Location 2,Store 142,57220.0,5,15.9,28.55,24,76.31,2020-02-17 00:00:00.000
2019,201810,20181008,16,40,Department 1,Sub Department 1,Class 5,Sub Class 6,Product 86,Status 1,Supplier 1,Location 2,Store 236,3783.45,0,0.0,0.0,11,640.94,2018-10-08 00:00:00.000
2020,202005,20200525,48,21,Department 1,Sub Department 1,Class 2,Sub Class 2,Product 1896,Status 2,Supplier 1,Location 5,Store 212,60832.36,0,0.0,0.0,4,66.57,2020-05-25 00:00:00.000
2019,201901,20190114,30,2,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 4108,Status 1,Supplier 4,Location 1,Store 96,47364.0,3,16.8,34.1,18,100.78,2019-01-14 00:00:00.000
2020,201910,20191028,18,43,Department 1,Sub Department 1,Class 1,Sub Class 7,Product 135,Status 3,Supplier 1,Location 2,Store 136,5543.45,0,0.0,0.0,1,130.02,2019-10-28 00:00:00.000
2020,201911,20191104,19,44,Department 1,Sub Department 1,Class 4,Sub Class 5,Product 1629,Status 4,Supplier 1,Location 2,Store 13,48874.36,1,12.77,7.79,0,0.0,2019-11-04 00:00:00.000
2019,201811,20181105,20,44,Department 1,Sub Department 1,Class 4,Sub Class 5,Product 323,Status 2,Supplier 1,Location 5,Store 260,14011.45,2,14.76,8.18,9,66.42,2018-11-05 00:00:00.000
2019,201903,20190318,39,11,Department 4,Sub Department 11,Class 33,Sub Class 54,Product 3894,Status 1,Supplier 4,Location 2,Store 125,1365.0,11,23.87,62.31,102,221.34,2019-03-18 00:00:00.000
2021,202008,20200824,9,34,Department 4,Sub Department 11,Class 54,Sub Class 82,Product 3936,Status 1,Supplier 4,Location 4,Store 195,11239.0,2,7.14,17.0,12,42.86,2020-08-24 00:00:00.000
