iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
"AFG","Asia","Afghanistan",2022-02-15 00:00:00.000,171422,176,526.143,7504,3,7.143,4303.255,4.418,13.208,188.375,0.075,0.179,1.52,,,,,,,,,,,,,,,,,"",5321308,4723416,4043580,,,14901,13.36,11.86,10.15,,374,12733,0.032,,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,"","","",""
"DZA","Africa","Algeria",2022-02-15 00:00:00.000,262570,405,497.429,6753,9,12.286,5885.026,9.077,11.149,151.356,0.202,0.275,0.54,27,0.605,,,,,,,,,,,,,,,"",13461201,7403900,6003539,,,16222,30.17,16.59,13.46,,364,5204,0.012,54.63,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,"","","",""
"ATG","North America","Antigua and Barbuda",2022-02-15 00:00:00.000,7342,11,69.857,134,0,0.429,74365.935,111.417,707.572,1357.264,0,4.341,0.8,,,,,,,,,,,,,,,,,"",123736,63244,60492,,,18,125.33,64.06,61.27,,182,5,0.005,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,"","","",""
"ABW","North America","Aruba",2022-02-15 00:00:00.000,33531,18,22,198,0,0.286,312803.769,167.918,205.233,1847.101,0,2.665,,,,,,,,,,,,,,,,,,"",167315,87115,80200,,48,54,156.08,81.27,74.82,,504,29,0.027,,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,"","","",""
"BRB","North America","Barbados",2022-02-15 00:00:00.000,52310,415,419.714,302,3,2,181816.286,1442.435,1458.82,1049.675,10.427,6.951,1.04,,,,,,,,,,,,,,,,,"",307913,159507,148406,,105,160,107.02,55.44,51.58,,556,62,0.022,,287708,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,"","","",""
"BLZ","North America","Belize",2022-02-15 00:00:00.000,55653,135,162.429,632,0,0.143,137443.661,333.403,401.142,1560.821,0,0.353,0.9,,,,,,,,,,,,,,,,,"",453359,233554,205264,,,484,111.96,57.68,50.69,,1195,72,0.018,77.78,404915,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,"","","",""
"BES","North America","Bonaire Sint Eustatius and Saba",2022-02-15 00:00:00.000,7444,20,24.714,31,0,0,281489.885,756.287,934.554,1172.244,0,0,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,26445,,,,,,,,,,,,,77.79,,"","","",""
"BIH","Europe","Bosnia and Herzegovina",2022-02-15 00:00:00.000,365589,979,1027.286,15127,31,38.714,112025.002,299.988,314.784,4635.266,9.499,11.863,0.91,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,41.67,3263459,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,"","","",""
"VGB","North America","British Virgin Islands",2022-02-15 00:00:00.000,5997,0,9.857,61,0,1.429,197120.6,0,324.003,2005.062,0,46.957,,,,,,,,,,,,,,,,,,"",36384,18786,17236,,,8,119.59,61.75,56.65,,263,5,0.016,,30423,207.973,,,,,,,13.67,,,,,79.07,,"","","",""
"BRN","Asia","Brunei",2022-02-15 00:00:00.000,24659,667,893.571,98,0,0,55848.727,1510.649,2023.798,221.954,0,0,2.31,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,57.41,441532,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,"","","",""
"CMR","Africa","Cameroon",2022-02-15 00:00:00.000,118675,999,279.571,1915,0,1.143,4359.163,36.695,10.269,70.342,0,0.042,0.6,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,30.56,27224262,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,"","","",""
"CYM","North America","Cayman Islands",2022-02-15 00:00:00.000,17687,1753,250.429,16,0,0,265977.924,26361.695,3765.956,240.609,0,0,,,,,,,,,,,,,,,,,,"",138037,59441,57627,,,87,207.58,89.39,86.66,,1308,19,0.029,,66498,256.496,,,,49903.029,,,13.22,,,,,83.92,,"","","",""
"COM","Africa","Comoros",2022-02-15 00:00:00.000,8005,0,5.714,160,0,0,9010.013,0,6.432,180.088,0,0,0.9,,,,,,,,,,,,,,,,,"",637961,341102,296859,,,4995,71.81,38.39,33.41,,5622,0,0,,888456,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,"","","",""
