SKFact,variable,value
23562,SKAccident_Severity,3
19169,SKAccident_Severity,3
17170,SKAccident_Severity,2
12758,SKAccident_Severity,2
13398,SKAccident_Severity,2
12897,SKAccident_Severity,2
18881,SKAccident_Severity,3
12262,SKAccident_Severity,2
10345,SKAccident_Severity,1
14527,SKAccident_Severity,2
17881,SKAccident_Severity,3
17692,SKAccident_Severity,2
22843,SKAccident_Severity,3
21455,SKAccident_Severity,3
23207,SKAccident_Severity,3
14130,SKAccident_Severity,2
16629,SKAccident_Severity,2
14064,SKAccident_Severity,2
17289,SKAccident_Severity,2
20843,SKAccident_Severity,3
19568,SKAccident_Severity,3
19540,SKAccident_Severity,3
15427,SKAccident_Severity,2
10312,SKAccident_Severity,1
12276,SKAccident_Severity,2
19902,SKAccident_Severity,3
20085,SKAccident_Severity,3
18083,SKAccident_Severity,3
10343,SKAccident_Severity,1
12195,SKAccident_Severity,2
22957,SKAccident_Severity,3
20694,SKAccident_Severity,3
14555,SKAccident_Severity,2
22456,SKAccident_Severity,3
19963,SKAccident_Severity,3
15257,SKAccident_Severity,2
23150,SKAccident_Severity,3
20928,SKAccident_Severity,3
22380,SKAccident_Severity,3
23125,SKAccident_Severity,3
14076,SKAccident_Severity,2
21716,SKAccident_Severity,3
19419,SKAccident_Severity,3
16552,SKAccident_Severity,2
16240,SKAccident_Severity,2
15755,SKAccident_Severity,2
21921,SKAccident_Severity,3
21305,SKAccident_Severity,3
12128,SKAccident_Severity,1
16290,SKAccident_Severity,2
21367,SKAccident_Severity,3
17924,SKAccident_Severity,3
13534,SKAccident_Severity,2
15626,SKAccident_Severity,2
13722,SKAccident_Severity,2
19742,SKAccident_Severity,3
11905,SKAccident_Severity,1
21946,SKAccident_Severity,3
12526,SKAccident_Severity,2
12312,SKAccident_Severity,2
21416,SKAccident_Severity,3
21850,SKAccident_Severity,3
16818,SKAccident_Severity,2
14926,SKAccident_Severity,2
22889,SKAccident_Severity,3
22025,SKAccident_Severity,3
14272,SKAccident_Severity,2
22429,SKAccident_Severity,3
21063,SKAccident_Severity,3
13496,SKAccident_Severity,2
18356,SKAccident_Severity,3
22998,SKAccident_Severity,3
20739,SKAccident_Severity,3
18272,SKAccident_Severity,3
22223,SKAccident_Severity,3
17664,SKAccident_Severity,2
10965,SKAccident_Severity,1
19378,SKAccident_Severity,3
12730,SKAccident_Severity,2
17710,SKAccident_Severity,2
20461,SKAccident_Severity,3
