SKDate,Year_,Quarter_,Month_,Day_,create_date,update_date
3104,2011,3,7,2011-07-01 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3105,2011,3,7,2011-07-02 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3106,2011,3,7,2011-07-03 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3107,2011,3,7,2011-07-04 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3108,2011,3,7,2011-07-05 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3109,2011,3,7,2011-07-06 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3110,2011,3,7,2011-07-07 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3111,2011,3,7,2011-07-08 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3112,2011,3,7,2011-07-09 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3113,2011,3,7,2011-07-10 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3114,2011,3,7,2011-07-11 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3115,2011,3,7,2011-07-12 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3116,2011,3,7,2011-07-13 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3117,2011,3,7,2011-07-14 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3118,2011,3,7,2011-07-15 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3119,2011,3,7,2011-07-16 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3120,2011,3,7,2011-07-17 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3121,2011,3,7,2011-07-18 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3122,2011,3,7,2011-07-19 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3123,2011,3,7,2011-07-20 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3124,2011,3,7,2011-07-21 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3125,2011,3,7,2011-07-22 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3126,2011,3,7,2011-07-23 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3127,2011,3,7,2011-07-24 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3128,2011,3,7,2011-07-25 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3129,2011,3,7,2011-07-26 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3130,2011,3,7,2011-07-27 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3131,2011,3,7,2011-07-28 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3132,2011,3,7,2011-07-29 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3133,2011,3,7,2011-07-30 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3134,2011,3,7,2011-07-31 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3470,2012,3,7,2012-07-01 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3471,2012,3,7,2012-07-02 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3472,2012,3,7,2012-07-03 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3473,2012,3,7,2012-07-04 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3474,2012,3,7,2012-07-05 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3475,2012,3,7,2012-07-06 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3476,2012,3,7,2012-07-07 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3477,2012,3,7,2012-07-08 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3478,2012,3,7,2012-07-09 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3479,2012,3,7,2012-07-10 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3480,2012,3,7,2012-07-11 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3481,2012,3,7,2012-07-12 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3482,2012,3,7,2012-07-13 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3483,2012,3,7,2012-07-14 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3484,2012,3,7,2012-07-15 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3485,2012,3,7,2012-07-16 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3486,2012,3,7,2012-07-17 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3487,2012,3,7,2012-07-18 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3488,2012,3,7,2012-07-19 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3489,2012,3,7,2012-07-20 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3490,2012,3,7,2012-07-21 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3491,2012,3,7,2012-07-22 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3492,2012,3,7,2012-07-23 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3493,2012,3,7,2012-07-24 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3494,2012,3,7,2012-07-25 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3495,2012,3,7,2012-07-26 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3496,2012,3,7,2012-07-27 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3497,2012,3,7,2012-07-28 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3498,2012,3,7,2012-07-29 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3499,2012,3,7,2012-07-30 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3500,2012,3,7,2012-07-31 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3835,2013,3,7,2013-07-01 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3836,2013,3,7,2013-07-02 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3837,2013,3,7,2013-07-03 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3838,2013,3,7,2013-07-04 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3839,2013,3,7,2013-07-05 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3840,2013,3,7,2013-07-06 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3841,2013,3,7,2013-07-07 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3842,2013,3,7,2013-07-08 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3843,2013,3,7,2013-07-09 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3844,2013,3,7,2013-07-10 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3845,2013,3,7,2013-07-11 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3846,2013,3,7,2013-07-12 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3847,2013,3,7,2013-07-13 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3848,2013,3,7,2013-07-14 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3849,2013,3,7,2013-07-15 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3850,2013,3,7,2013-07-16 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3851,2013,3,7,2013-07-17 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
3852,2013,3,7,2013-07-18 00:00:00.000,2021-12-06 20:11:27.796,2021-12-06 20:11:27.796
