SKDate,Year_,Quarter_,Month_,Day_,create_date,update_date
182,2011,3,7,2011-07-01 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.096
183,2011,3,7,2011-07-02 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.096
184,2011,3,7,2011-07-03 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.100
185,2011,3,7,2011-07-04 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.100
186,2011,3,7,2011-07-05 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.100
187,2011,3,7,2011-07-06 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.103
188,2011,3,7,2011-07-07 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.103
189,2011,3,7,2011-07-08 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.106
190,2011,3,7,2011-07-09 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.106
191,2011,3,7,2011-07-10 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.110
192,2011,3,7,2011-07-11 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.110
193,2011,3,7,2011-07-12 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.113
194,2011,3,7,2011-07-13 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.113
195,2011,3,7,2011-07-14 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.116
196,2011,3,7,2011-07-15 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.116
197,2011,3,7,2011-07-16 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.120
198,2011,3,7,2011-07-17 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.120
199,2011,3,7,2011-07-18 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.120
200,2011,3,7,2011-07-19 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.120
201,2011,3,7,2011-07-20 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.123
202,2011,3,7,2011-07-21 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.123
203,2011,3,7,2011-07-22 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.126
204,2011,3,7,2011-07-23 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.126
205,2011,3,7,2011-07-24 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.130
206,2011,3,7,2011-07-25 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.130
207,2011,3,7,2011-07-26 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.133
208,2011,3,7,2011-07-27 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.133
209,2011,3,7,2011-07-28 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.136
210,2011,3,7,2011-07-29 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.136
211,2011,3,7,2011-07-30 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.136
212,2011,3,7,2011-07-31 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.140
548,2012,3,7,2012-07-01 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.596
549,2012,3,7,2012-07-02 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.596
550,2012,3,7,2012-07-03 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.596
551,2012,3,7,2012-07-04 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.600
552,2012,3,7,2012-07-05 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.600
553,2012,3,7,2012-07-06 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.603
554,2012,3,7,2012-07-07 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.603
555,2012,3,7,2012-07-08 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.606
556,2012,3,7,2012-07-09 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.606
557,2012,3,7,2012-07-10 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.606
558,2012,3,7,2012-07-11 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.610
559,2012,3,7,2012-07-12 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.610
560,2012,3,7,2012-07-13 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.610
561,2012,3,7,2012-07-14 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.613
562,2012,3,7,2012-07-15 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.613
563,2012,3,7,2012-07-16 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.616
564,2012,3,7,2012-07-17 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.616
565,2012,3,7,2012-07-18 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.620
566,2012,3,7,2012-07-19 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.620
567,2012,3,7,2012-07-20 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.620
568,2012,3,7,2012-07-21 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.623
569,2012,3,7,2012-07-22 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.623
570,2012,3,7,2012-07-23 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.626
571,2012,3,7,2012-07-24 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.626
572,2012,3,7,2012-07-25 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.630
573,2012,3,7,2012-07-26 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.630
574,2012,3,7,2012-07-27 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.630
575,2012,3,7,2012-07-28 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.630
576,2012,3,7,2012-07-29 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.633
577,2012,3,7,2012-07-30 00:00:00.000,2021-12-06 10:26:57.886,2021-12-06 10:42:46.633
