SKFact,SKCasualty_Type,SKDate,SKGender,SKAge_Band,SKCasualty_Severity,Number_of_Casualties,create_date,update_date
97765,1,875,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
97775,1,876,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
97801,1,878,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
97836,1,881,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
97849,1,882,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
97872,1,884,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
97939,1,889,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
97956,1,890,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
97976,1,892,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98056,1,897,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98135,1,903,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98163,1,905,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98174,1,906,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98274,1,914,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98288,1,915,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98302,1,916,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98358,1,919,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98372,1,920,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98395,1,922,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98440,1,925,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98463,1,927,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98507,1,930,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98539,1,932,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98595,1,936,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98656,1,940,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98687,1,942,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
98700,1,943,1,4,3,1,2021-12-06 10:43:40.776,2021-12-06 10:43:40.776
