Row Index,Balance Sheet Items,Summary Items,Balance Sheet Normalized,Summary Index
"1","Assets","","Assets",""
"2","          Current Assets","","Current Assets",""
"3","                    Cash","","Cash",""
"4","                    Accounts receivable","","Accounts receivable",""
"5","                    Inventory","","Inventory",""
"6","                    Prepaid expenses","","Prepaid expenses",""
"7","                    Short-term investments","","Short-term investments",""
"8","                                                            Total current assets","Total current assets","Total current assets","1"
"9","          Fixed (Long-Term) Assets","","Fixed (Long-Term) Assets",""
"10","                    Long-term investments","","Long-term investments",""
"11","                    Property, plant, and equipment","","Property, plant, and equipment",""
"12","                    (Less accumulated depreciation)","","(Less accumulated depreciation)",""
"13","                    Intangible assets","","Intangible assets",""
"14","                                                            Total fixed assets","Total fixed assets","Total fixed assets","2"
"15","          Other Assets","","Other Assets",""
"16","                    Deferred income tax","","Deferred income tax",""
"17","                    Other","","Other",""
"18","                                                            Total Other Assets","Total Other Assets","Total Other Assets","3"
"19","","","",""
"20","          Total Assets","Total Assets","Total Assets","4"
"21","","","",""
"22","Liabilities and Owner's Equity","","Liabilities and Owner's Equity",""
"23","          Current Liabilities","","Current Liabilities",""
"24","          Accounts payable","","Accounts payable",""
"25","          Short-term loans","","Short-term loans",""
"26","          Income taxes payable","","Income taxes payable",""
"27","          Accrued salaries and wages","","Accrued salaries and wages",""
"28","          Unearned revenue","","Unearned revenue",""
"29","          Current portion of long-term debt","","Current portion of long-term debt",""
"30","                                                             Total current liabilities","Total current liabilities","Total current liabilities","5"
"31","Long-Term Liabilities","","Long-Term Liabilities",""
"32","          Long-term debt","","Long-term debt",""
"33","          Deferred income tax","","Deferred income tax",""
"34","          Other","","Other",""
"35","                                                            Total long-term liabilities","Total long-term liabilities","Total long-term liabilities","6"
"36","Owner's Equity","","Owner's Equity",""
"37","          Owner's investment","","Owner's investment",""
"38","          Retained earnings","","Retained earnings",""
"39","          Other","","Other",""
"40","                                                            Total owner's equity","Total owner's equity","Total owner's equity","7"
"41","","","",""
"42","         Total Liabilities and Owner's Equity","Total Liabilities and Owner's Equity","Total Liabilities and Owner's Equity","8"
"43","","","",""
"44","Common Financial Ratios","","Common Financial Ratios",""
"45","         Debt Ratio (Total Liabilities / Total Assets)","Debt Ratio (Total Liabilities / Total Assets)","Debt Ratio (Total Liabilities / Total Assets)","9"
"46","         Current Ratio (Current Assets / Current Liabilities)","Current Ratio (Current Assets / Current Liabilities)","Current Ratio (Current Assets / Current Liabilities)","10"
"47","         Working Capital (Current Assets - Current Liabilities)","Working Capital (Current Assets - Current Liabilities)","Working Capital (Current Assets - Current Liabilities)","11"
"48","         Assets-to-Equity Ratio (Total Assets / Owner's Equity)","Assets-to-Equity Ratio (Total Assets / Owner's Equity)","Assets-to-Equity Ratio (Total Assets / Owner's Equity)","12"
"49","         Debt-to-Equity Ratio (Total Liabilities / Owner's Equity)","Debt-to-Equity Ratio (Total Liabilities / Owner's Equity)","Debt-to-Equity Ratio (Total Liabilities / Owner's Equity)","13"
