Cash Flow Type,Cash Flow Category,Cash Flow Sub Category,Year,Cash Flow Values
"Operations","Cash receipts from","Cash receipts from customers",2014,693200
"Operations","Cash receipts from","Cash receipts from customers",2015,797179.99999999988
"Operations","Cash receipts from","Cash receipts from customers",2016,916756.99999999977
"Operations","Cash receipts from","Cash receipts from customers",2017,1054270.5499999996
"Operations","Cash receipts from","Cash receipts from customers",2018,1212411.1324999994
"Operations","Cash paid for","Inventory purchases",2014,264000
"Operations","Cash paid for","Inventory purchases",2015,303600
"Operations","Cash paid for","Inventory purchases",2016,349140
"Operations","Cash paid for","Inventory purchases",2017,401510.99999999994
"Operations","Cash paid for","Inventory purchases",2018,461737.64999999991
"Operations","Cash paid for","General operating and administrative expenses",2014,112000
"Operations","Cash paid for","General operating and administrative expenses",2015,128799.99999999999
"Operations","Cash paid for","General operating and administrative expenses",2016,148119.99999999997
"Operations","Cash paid for","General operating and administrative expenses",2017,170337.99999999994
"Operations","Cash paid for","General operating and administrative expenses",2018,195888.69999999992
"Operations","Cash paid for","Wage expenses",2014,123000
"Operations","Cash paid for","Wage expenses",2015,141450
"Operations","Cash paid for","Wage expenses",2016,162667.5
"Operations","Cash paid for","Wage expenses",2017,187067.625
"Operations","Cash paid for","Wage expenses",2018,215127.76875
"Operations","Cash paid for","Interest",2014,13500
"Operations","Cash paid for","Interest",2015,15524.999999999998
"Operations","Cash paid for","Interest",2016,17853.749999999996
"Operations","Cash paid for","Interest",2017,20531.812499999993
"Operations","Cash paid for","Interest",2018,23611.584374999991
"Operations","Cash paid for","Income taxes",2014,32800
"Operations","Cash paid for","Income taxes",2015,37720
"Operations","Cash paid for","Income taxes",2016,43378
"Operations","Cash paid for","Income taxes",2017,49884.7
"Operations","Cash paid for","Income taxes",2018,57367.404999999992
"Investing Activities","Cash receipts from","Sale of property and equipment",2014,33600
"Investing Activities","Cash receipts from","Sale of property and equipment",2015,38640
"Investing Activities","Cash receipts from","Sale of property and equipment",2016,44436
"Investing Activities","Cash receipts from","Sale of property and equipment",2017,51101.399999999994
"Investing Activities","Cash receipts from","Sale of property and equipment",2018,58766.609999999986
"Investing Activities","Cash receipts from","Collection of principal on loans",2014,0
"Investing Activities","Cash receipts from","Collection of principal on loans",2015,0
"Investing Activities","Cash receipts from","Collection of principal on loans",2016,0
"Investing Activities","Cash receipts from","Collection of principal on loans",2017,0
"Investing Activities","Cash receipts from","Collection of principal on loans",2018,0
"Investing Activities","Cash receipts from","Sale of investment securities",2014,0
"Investing Activities","Cash receipts from","Sale of investment securities",2015,0
"Investing Activities","Cash receipts from","Sale of investment securities",2016,0
"Investing Activities","Cash receipts from","Sale of investment securities",2017,0
"Investing Activities","Cash receipts from","Sale of investment securities",2018,0
"Investing Activities","Cash paid for","Purchase of property and equipment",2014,-75000
"Investing Activities","Cash paid for","Purchase of property and equipment",2015,-86250
"Investing Activities","Cash paid for","Purchase of property and equipment",2016,-99187.499999999985
"Investing Activities","Cash paid for","Purchase of property and equipment",2017,-114065.62499999997
"Investing Activities","Cash paid for","Purchase of property and equipment",2018,-131175.46874999997
"Investing Activities","Cash paid for","Making loans to other entities",2014,0
"Investing Activities","Cash paid for","Making loans to other entities",2015,0
"Investing Activities","Cash paid for","Making loans to other entities",2016,0
"Investing Activities","Cash paid for","Making loans to other entities",2017,0
"Investing Activities","Cash paid for","Making loans to other entities",2018,0
"Investing Activities","Cash paid for","Purchase of investment securities",2014,0
"Investing Activities","Cash paid for","Purchase of investment securities",2015,0
"Investing Activities","Cash paid for","Purchase of investment securities",2016,0
"Investing Activities","Cash paid for","Purchase of investment securities",2017,0
"Investing Activities","Cash paid for","Purchase of investment securities",2018,0
"Financing Activities","Cash receipts from","Issuance of stock",2014,20000
"Financing Activities","Cash receipts from","Issuance of stock",2015,23000
"Financing Activities","Cash receipts from","Issuance of stock",2016,26449.999999999996
"Financing Activities","Cash receipts from","Issuance of stock",2017,30417.499999999993
"Financing Activities","Cash receipts from","Issuance of stock",2018,34980.124999999985
"Financing Activities","Cash receipts from","Borrowing",2014,35000
"Financing Activities","Cash receipts from","Borrowing",2015,40250
"Financing Activities","Cash receipts from","Borrowing",2016,46287.5
"Financing Activities","Cash receipts from","Borrowing",2017,53230.624999999993
"Financing Activities","Cash receipts from","Borrowing",2018,61215.218749999985
"Financing Activities","Cash paid for","Repurchase of stock (treasury stock)",2014,0
"Financing Activities","Cash paid for","Repurchase of stock (treasury stock)",2015,0
"Financing Activities","Cash paid for","Repurchase of stock (treasury stock)",2016,0
"Financing Activities","Cash paid for","Repurchase of stock (treasury stock)",2017,0
"Financing Activities","Cash paid for","Repurchase of stock (treasury stock)",2018,0
"Financing Activities","Cash paid for","Repayment of loans",2014,-34000
"Financing Activities","Cash paid for","Repayment of loans",2015,-39100
"Financing Activities","Cash paid for","Repayment of loans",2016,-44965
"Financing Activities","Cash paid for","Repayment of loans",2017,-51709.749999999993
"Financing Activities","Cash paid for","Repayment of loans",2018,-59466.212499999987
"Financing Activities","Cash paid for","Dividends",2014,-53000
"Financing Activities","Cash paid for","Dividends",2015,-60949.999999999993
"Financing Activities","Cash paid for","Dividends",2016,-70092.499999999985
"Financing Activities","Cash paid for","Dividends",2017,-80606.374999999971
"Financing Activities","Cash paid for","Dividends",2018,-92697.331249999959
"Other","Other","Cash at Beginning of Year",2014,15700
"Other","Other","Cash at Beginning of Year",2015,18055
"Other","Other","Cash at Beginning of Year",2016,20763.25
"Other","Other","Cash at Beginning of Year",2017,23877.7375
"Other","Other","Cash at Beginning of Year",2018,27459.398124999996
