Channel,Month & Year,Category,First Date,Sales Values
"Wholesale","Jan 2015","Revenue",2015-01-01 00:00:00.000,2228540.6
"Wholesale","Feb 2015","Revenue",2015-02-01 00:00:00.000,2161815.3000000003
"Wholesale","Mar 2015","Revenue",2015-03-01 00:00:00.000,2199248.1999999997
"Wholesale","Apr 2015","Revenue",2015-04-01 00:00:00.000,3089731.8000000003
"Wholesale","May 2015","Revenue",2015-05-01 00:00:00.000,2531816.1
"Wholesale","Jun 2015","Revenue",2015-06-01 00:00:00.000,2488748.5000000005
"Wholesale","Jul 2015","Revenue",2015-07-01 00:00:00.000,2585985.5999999996
"Wholesale","Aug 2015","Revenue",2015-08-01 00:00:00.000,2550368.4
"Wholesale","Sep 2015","Revenue",2015-09-01 00:00:00.000,2051365.7999999996
"Wholesale","Oct 2015","Revenue",2015-10-01 00:00:00.000,3402876.4000000008
"Wholesale","Nov 2015","Revenue",2015-11-01 00:00:00.000,2394580.0000000005
"Wholesale","Dec 2015","Revenue",2015-12-01 00:00:00.000,2934693.8000000007
"Wholesale","Jan 2016","Revenue",2016-01-01 00:00:00.000,2196936.7000000007
"Wholesale","Feb 2016","Revenue",2016-02-01 00:00:00.000,2197171.2
"Wholesale","Mar 2016","Revenue",2016-03-01 00:00:00.000,2795333.8
"Wholesale","Apr 2016","Revenue",2016-04-01 00:00:00.000,2991543.3
"Wholesale","May 2016","Revenue",2016-05-01 00:00:00.000,2684127.1999999993
"Wholesale","Jun 2016","Revenue",2016-06-01 00:00:00.000,2812814.1000000006
"Wholesale","Jul 2016","Revenue",2016-07-01 00:00:00.000,2588973.7999999993
"Wholesale","Aug 2016","Revenue",2016-08-01 00:00:00.000,3201936.7000000011
"Wholesale","Sep 2016","Revenue",2016-09-01 00:00:00.000,2562535.6000000006
"Wholesale","Oct 2016","Revenue",2016-10-01 00:00:00.000,2139095.5999999996
"Wholesale","Nov 2016","Revenue",2016-11-01 00:00:00.000,2615036.7999999993
"Wholesale","Dec 2016","Revenue",2016-12-01 00:00:00.000,2261859.7000000016
"Wholesale","Jan 2017","Revenue",2017-01-01 00:00:00.000,2479603
"Wholesale","Mar 2017","Revenue",2017-03-01 00:00:00.000,2417527.5
"Wholesale","Apr 2017","Revenue",2017-04-01 00:00:00.000,2714397.8000000007
"Wholesale","May 2017","Revenue",2017-05-01 00:00:00.000,3114461.5000000009
"Wholesale","Jun 2017","Revenue",2017-06-01 00:00:00.000,2959905.9000000018
"Wholesale","Jul 2017","Revenue",2017-07-01 00:00:00.000,2547916.2
"Wholesale","Sep 2017","Revenue",2017-09-01 00:00:00.000,2516560.1999999997
