Orders,Type,Cost
ORD0000373,Base,11.16
ORD0000646,Base,9.52
ORD0000456,Base,8.12
ORD0000413,Base,4.56
ORD000036,Base,4.73
ORD0000577,Base,3.935
ORD0000806,Base,2.24
ORD0000575,Base,7.18
ORD000028,Base,14.09
ORD0000572,Base,40.2
ORD0000239,Base,25.87
ORD0000695,Base,0.98
ORD0000601,Base,2.08
ORD000072,Base,14.98
ORD0000178,Base,5.9
ORD0000292,Base,8.58
ORD0000121,Base,10.38
ORD0000678,Base,2.94
ORD0000661,Lift,2.4325
"ORD0000402, ORD0000405",Base,22.7
ORD0000273,Base,16.52
ORD0000243,Base,10.15
ORD0000561,Lift,12.39
ORD0000356,Base,18.59
ORD000076,Base,14.78
ORD0000688,Base,15.91
ORD0000555,Base,7.31
"ORD0000142, ORD0000149",Jack,7.71
ORD0000806,Jack,0.3733333333333333
"ORD000015, ORD000018",Jack,3.365
ORD0000157,Base,13.06
ORD0000366,Base,0.99
ORD000097,Base,14.04
ORD0000414,Base,19.18
ORD0000631,Base,29.3
ORD000045,Base,9.69
ORD0000365,Lift,0.6125
ORD0000812,Base,13.27
ORD0000343,Lift,0.445
ORD0000676,Tax,2.3683333333333336
ORD0000756,Lift,1.22
ORD0000107,Base,8.3
ORD0000593,Base,19.01
ORD0000154,Base,18.15
ORD0000194,Base,18.85
"ORD0000810, ORD0000811",Lift,7.3125
ORD0000676,Base,14.21
ORD0000423,Base,2.65
"ORD0000444, ORD0000443",Base,41.46
ORD0000155,Lift,13.49
ORD0000743,Base,9.91
ORD0000371,Base,12.095
ORD0000700,Jack,1.0708333333333333
"ORD0000784, ORD0000785",Base,16.045
"ORD0000624, ORD0000625",Lift,15.61
"ORD0000514, ORD0000521",Base,14.635
ORD0000763,Base,11.37
ORD0000723,Base,22.2
ORD0000764,Base,6.720000000000001
ORD0000614,Base,12.6
ORD000097,Lift,14.04
ORD0000548,Base,2.11
ORD0000705,Base,20.3
ORD000080,Base,9.66
ORD0000234,Base,10.58
ORD0000604,Base,6.03
"ORD000086, ORD000087",Base,28.08
ORD000029,Jack,0.855
ORD0000439,Base,2.395
ORD0000579,Base,19.6
ORD0000480,Base,4.37
ORD0000501,Base,14.5
"ORD0000539, ORD0000542",Jack,3.065
ORD0000740,Base,24.09
ORD0000612,Base,5.57
ORD0000779,Base,12.85
"ORD0000594, ORD0000598",Lift,24.725
ORD0000306,Base,13.85
ORD0000109,Jack,2.075
ORD0000465,Base,9.28
ORD0000445,Lift,6.3
ORD0000420,Base,17.35
ORD0000237,Base,5.28
ORD000082,Base,22.42
ORD0000283,Base,12.85
ORD000050,Base,29.53
ORD0000665,Base,13.57
ORD0000652,Base,1.39
ORD0000797,Base,29.48
ORD0000262,Base,7.98
ORD0000497,Base,2.66
"ORD0000358, ORD0000360",Base,25.31
ORD0000749,Base,1.98
ORD0000535,Base,6.01
ORD0000342,Base,8.74
ORD0000291,Base,21.08
ORD0000668,Base,10.975
"ORD0000489, ORD0000490",Base,18.945
ORD0000408,Base,14.59
ORD0000364,Base,10.24
