year,avg_cpi,adj_value,base_year,pct_increase
"1995",152.38333333333333,1,"1995",0
"1996",156.85833333333332,1.03,"1995",2.9366728644864892
"1997",160.525,1.05,"1995",5.3428852674177074
"1998",163.00833333333333,1.07,"1995",6.9725473039483843
"1999",166.58333333333334,1.09,"1995",9.3186043968063181
"2000",172.19166666666666,1.13,"1995",12.999015640380618
"2001",177.04166666666666,1.16,"1995",16.181778409712354
"2002",179.86666666666667,1.18,"1995",18.035655692879814
"2003",184,1.21,"1995",20.748113310729522
"2004",188.90833333333333,1.24,"1995",23.969156731926077
"2005",195.26666666666665,1.28,"1995",28.141747785190852
"2006",201.55833333333334,1.32,"1995",32.270589522038719
"2007",207.34416666666667,1.36,"1995",36.067483320573125
"2008",215.25425,1.41,"1995",41.258394400087518
"2009",214.56466666666665,1.41,"1995",40.805862408399875
"2010",218.07616666666667,1.43,"1995",43.110248277370665
"2011",224.923,1.48,"1995",47.603412446680537
"2012",229.58608333333333,1.51,"1995",50.66351307010828
"2013",232.94891666666666,1.53,"1995",52.870337963469318
"2014",236.70391666666666,1.55,"1995",55.334518210652959
"2015",236.98725000000002,1.56,"1995",55.520452805424924
"2016",240.00925,1.58,"1995",57.503609318604411
"2017",244.40122222222223,1.6,"1995",60.385796055269992
