Category,Subcategory,ProductName,ProductKey,variable,value
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-01-01 00:00:00.000,1131
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-01-01 00:00:00.000,666
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-01-01 00:00:00.000,1892
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-01-01 00:00:00.000,160
Accessories,Fenders,Fender Set - Mountain,485,2016-01-01 00:00:00.000,970
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-01-01 00:00:00.000,5317
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-01-01 00:00:00.000,809
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-01-01 00:00:00.000,3554
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-01-01 00:00:00.000,370105
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-01-01 00:00:00.000,346295
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-01-01 00:00:00.000,133631
Clothing,Caps,AWC Logo Cap,223,2016-01-01 00:00:00.000,479
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-01-01 00:00:00.000,598
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-01-01 00:00:00.000,4087
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-01-01 00:00:00.000,421
Clothing,Socks,"Mountain Bike Socks, M",218,2016-01-01 00:00:00.000,24
Clothing,Vests,"Classic Vest, S",471,2016-01-01 00:00:00.000,980
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-02-01 00:00:00.000,2635
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-02-01 00:00:00.000,3695
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-02-01 00:00:00.000,4727
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-02-01 00:00:00.000,713
Accessories,Fenders,Fender Set - Mountain,485,2016-02-01 00:00:00.000,3014
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-02-01 00:00:00.000,16221
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-02-01 00:00:00.000,2684
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-02-01 00:00:00.000,18758
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-02-01 00:00:00.000,326786
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-02-01 00:00:00.000,289524
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-02-01 00:00:00.000,165941
Clothing,Caps,AWC Logo Cap,223,2016-02-01 00:00:00.000,1695
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-02-01 00:00:00.000,2474
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-02-01 00:00:00.000,11508
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-02-01 00:00:00.000,5723
Clothing,Socks,"Mountain Bike Socks, M",218,2016-02-01 00:00:00.000,244
Clothing,Vests,"Classic Vest, S",471,2016-02-01 00:00:00.000,2008
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-03-01 00:00:00.000,4134
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-03-01 00:00:00.000,2868
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-03-01 00:00:00.000,3656
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-03-01 00:00:00.000,555
Accessories,Fenders,Fender Set - Mountain,485,2016-03-01 00:00:00.000,2809
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-03-01 00:00:00.000,16752
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-03-01 00:00:00.000,2917
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-03-01 00:00:00.000,20905
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-03-01 00:00:00.000,384811
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-03-01 00:00:00.000,355097
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-03-01 00:00:00.000,178287
Clothing,Caps,AWC Logo Cap,223,2016-03-01 00:00:00.000,1462
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-03-01 00:00:00.000,2957
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-03-01 00:00:00.000,12872
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-03-01 00:00:00.000,7301
Clothing,Socks,"Mountain Bike Socks, M",218,2016-03-01 00:00:00.000,432
Clothing,Vests,"Classic Vest, S",471,2016-03-01 00:00:00.000,1980
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-04-01 00:00:00.000,2179
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-04-01 00:00:00.000,4862
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-04-01 00:00:00.000,4449
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-04-01 00:00:00.000,656
Accessories,Fenders,Fender Set - Mountain,485,2016-04-01 00:00:00.000,4259
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-04-01 00:00:00.000,16552
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-04-01 00:00:00.000,3425
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-04-01 00:00:00.000,18046
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-04-01 00:00:00.000,439822
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-04-01 00:00:00.000,346783
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-04-01 00:00:00.000,265901
Clothing,Caps,AWC Logo Cap,223,2016-04-01 00:00:00.000,1079
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-04-01 00:00:00.000,2705
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-04-01 00:00:00.000,11809
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-04-01 00:00:00.000,6335
Clothing,Socks,"Mountain Bike Socks, M",218,2016-04-01 00:00:00.000,547
Clothing,Vests,"Classic Vest, S",471,2016-04-01 00:00:00.000,2312
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-05-01 00:00:00.000,2637
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-05-01 00:00:00.000,3439
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-05-01 00:00:00.000,4051
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-05-01 00:00:00.000,369
Accessories,Fenders,Fender Set - Mountain,485,2016-05-01 00:00:00.000,3638
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-05-01 00:00:00.000,17204
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-05-01 00:00:00.000,2716
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-05-01 00:00:00.000,21680
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-05-01 00:00:00.000,458523
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-05-01 00:00:00.000,399691
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-05-01 00:00:00.000,286630
Clothing,Caps,AWC Logo Cap,223,2016-05-01 00:00:00.000,1729
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-05-01 00:00:00.000,2819
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-05-01 00:00:00.000,12789
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-05-01 00:00:00.000,5288
Clothing,Socks,"Mountain Bike Socks, M",218,2016-05-01 00:00:00.000,385
Clothing,Vests,"Classic Vest, S",471,2016-05-01 00:00:00.000,2763
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-06-01 00:00:00.000,3279
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-06-01 00:00:00.000,4612
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-06-01 00:00:00.000,6257
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-06-01 00:00:00.000,582
Accessories,Fenders,Fender Set - Mountain,485,2016-06-01 00:00:00.000,3721
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-06-01 00:00:00.000,25354
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-06-01 00:00:00.000,3260
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-06-01 00:00:00.000,22456
