SurveyResponseKey,variable,value
280,DateKey,20170319
1626,DateKey,20170407
2027,DateKey,20170305
1255,DateKey,20170310
1452,DateKey,20170425
1108,DateKey,20170316
1584,DateKey,20170323
1634,DateKey,20170319
2490,DateKey,20170324
1301,DateKey,20170412
2044,DateKey,20170326
1070,DateKey,20170303
1241,DateKey,20170317
219,DateKey,20170312
1258,DateKey,20170421
2128,DateKey,20170304
1180,DateKey,20170316
540,DateKey,20170315
344,DateKey,20170411
535,DateKey,20170424
2653,DateKey,20170408
1503,DateKey,20170322
2037,DateKey,20170402
84,DateKey,20170424
1632,DateKey,20170411
2547,DateKey,20170417
1361,DateKey,20170307
206,DateKey,20170228
906,DateKey,20170427
2099,DateKey,20170322
1060,DateKey,20170310
1898,DateKey,20170404
2217,DateKey,20170307
74,DateKey,20170426
2294,DateKey,20170330
1211,DateKey,20170424
1516,DateKey,20170304
1488,DateKey,20170320
2740,DateKey,20170326
1526,DateKey,20170419
1882,DateKey,20170417
1721,DateKey,20170306
2162,DateKey,20170318
1620,DateKey,20170411
648,DateKey,20170405
153,DateKey,20170413
2446,DateKey,20170401
966,DateKey,20170320
184,DateKey,20170311
2430,DateKey,20170426
1589,DateKey,20170413
1462,DateKey,20170319
2427,DateKey,20170325
2500,DateKey,20170411
1472,DateKey,20170316
2630,DateKey,20170426
431,DateKey,20170303
1975,DateKey,20170420
231,DateKey,20170317
1668,DateKey,20170312
380,DateKey,20170419
57,DateKey,20170401
2245,DateKey,20170322
2658,DateKey,20170309
2444,DateKey,20170303
2047,DateKey,20170418
2454,DateKey,20170327
747,DateKey,20170325
1334,DateKey,20170412
1787,DateKey,20170406
854,DateKey,20170403
12,DateKey,20170303
169,DateKey,20170306
2289,DateKey,20170417
2526,DateKey,20170311
2375,DateKey,20170427
1829,DateKey,20170406
1988,DateKey,20170324
2457,DateKey,20170409
2255,DateKey,20170408
220,DateKey,20170312
2534,DateKey,20170413
841,DateKey,20170312
1547,DateKey,20170321
875,DateKey,20170302
484,DateKey,20170404
2380,DateKey,20170411
449,DateKey,20170315
838,DateKey,20170411
2367,DateKey,20170301
2102,DateKey,20170403
2306,DateKey,20170312
1218,DateKey,20170312
2448,DateKey,20170304
911,DateKey,20170411
2413,DateKey,20170419
844,DateKey,20170309
1782,DateKey,20170307
2595,DateKey,20170414
620,DateKey,20170228
280,CustomerKey,13586
1626,CustomerKey,28045
2027,CustomerKey,19474
1255,CustomerKey,23503
1452,CustomerKey,25907
1108,CustomerKey,21966
1584,CustomerKey,27415
1634,CustomerKey,28092
2490,CustomerKey,29482
1301,CustomerKey,23994
2044,CustomerKey,13956
1070,CustomerKey,21370
1241,CustomerKey,23350
