Data Venda,ID_Produto,Cidade,Produto,Valor,ID_Vendedor
2013-04-28 00:00:00.000,1,Macaé,6,4482.0,3
2013-09-19 00:00:00.000,3,Macaé,5,3520.0,3
2013-10-19 00:00:00.000,1,Rio de Janeiro,7,4020.0,1
2013-10-19 00:00:00.000,2,Petrópolis,8,804.0,1
2013-06-26 00:00:00.000,5,Rio de Janeiro,5,7040.0,2
2013-02-24 00:00:00.000,5,Rio de Janeiro,5,5632.0,2
2013-02-09 00:00:00.000,3,Campos,1,1300.0,1
2013-06-29 00:00:00.000,1,Rio de Janeiro,9,4020.0,3
2013-08-29 00:00:00.000,3,Petrópolis,1,804.0,3
2013-07-24 00:00:00.000,5,Petrópolis,7,4482.0,2
2013-04-13 00:00:00.000,4,Rio de Janeiro,7,2770.0,2
2013-12-26 00:00:00.000,5,Rio de Janeiro,7,100.0,3
2013-09-05 00:00:00.000,4,Angra,9,3490.0,3
2013-06-02 00:00:00.000,5,Niterói,9,3556.0,1
2013-10-19 00:00:00.000,3,São Gonçalo,1,3520.0,2
2013-10-30 00:00:00.000,2,Niterói,7,4020.0,2
2013-06-26 00:00:00.000,2,Rio de Janeiro,3,651.0,2
2013-03-22 00:00:00.000,4,Campos,5,2770.0,2
2013-08-30 00:00:00.000,2,Campos,2,4020.0,1
2013-06-28 00:00:00.000,3,Rio de Janeiro,9,1385.0,2
2013-01-26 00:00:00.000,3,Macaé,6,4482.0,1
2013-11-29 00:00:00.000,3,Rio de Janeiro,2,545.0,2
2013-08-08 00:00:00.000,2,Rio de Janeiro,8,100.0,2
2013-08-29 00:00:00.000,1,Rio de Janeiro,2,4020.0,1
2013-10-19 00:00:00.000,3,Rio de Janeiro,1,804.0,2
2013-05-03 00:00:00.000,5,Campos,5,780.0,1
2013-06-26 00:00:00.000,2,Rio de Janeiro,4,6672.0,3
2013-06-30 00:00:00.000,3,Rio de Janeiro,6,4020.0,1
2013-02-24 00:00:00.000,5,Duque Caxias,1,660.0,3
2013-03-25 00:00:00.000,4,Rio de Janeiro,7,454.0,1
2013-09-06 00:00:00.000,4,São Gonçalo,8,14170.0,3
2013-12-26 00:00:00.000,4,Niterói,4,586.85,1
2013-06-26 00:00:00.000,4,Rio de Janeiro,4,651.0,1
2013-07-14 00:00:00.000,4,Niterói,3,154.0,3
2013-11-19 00:00:00.000,5,Rio de Janeiro,1,4224.0,1
2013-11-22 00:00:00.000,1,Niterói,9,7228.0,1
2013-11-18 00:00:00.000,2,São Gonçalo,3,831.0,3
2013-06-26 00:00:00.000,2,Rio de Janeiro,9,6672.0,1
2013-09-13 00:00:00.000,2,Petrópolis,7,3520.0,3
2013-07-01 00:00:00.000,4,São Gonçalo,5,1056.0,1
2013-07-01 00:00:00.000,5,São Gonçalo,1,1056.0,3
2013-12-26 00:00:00.000,5,Duque Caxias,2,100.0,2
2013-10-02 00:00:00.000,1,Rio de Janeiro,1,402.0,3
2013-12-26 00:00:00.000,1,Niterói,6,5280.0,1
2013-03-01 00:00:00.000,2,São Gonçalo,7,3520.0,3
2013-10-30 00:00:00.000,4,Petrópolis,6,804.0,2
