TICKET_NMBR,PARENT_SERVICE,service,org_id,ASSIGNED_GROUP,OPEN_DATE,CLOSE_DATE,PRIORITY,STATUS,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS,AGING,CLASS_STRUCTURE_ID,class_structure,CLASSIFICATION_ID,classification,EXTERNAL_SYSTEM,GLOBAL_TICKET_ID,CLOSURE_CODE,LAST_MODIFIED_DATE
"IN10039978","GC WAN","GC WAN","1342","NW000417","30SEP2016:21:35:02","03OCT2016:12:34:28","Medium","CLOSED",62.99,5.57,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","14OCT2016:05:30:11"
"IN10039979","GC WAN","GC WAN","1342","NW000417","30SEP2016:21:53:23","28AUG2016:22:58:00","Medium","CLOSED",-790.92,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","14OCT2016:05:30:11"
"IN10040179","GC WAN","GC WAN","1342","NW000417","04OCT2016:03:18:36","04OCT2016:06:00:00","Medium","CLOSED",2.69,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","15OCT2016:05:30:10"
"IN10041100","GC WAN","GC WAN","1342","NW000417","19OCT2016:07:51:22","20OCT2016:07:47:21","Medium","CLOSED",23.93,9.93,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","31OCT2016:05:30:08"
"IN10043607","GC WAN","GC WAN","1342","NW000417","28NOV2016:11:45:16","30NOV2016:08:27:25","Medium","CLOSED",44.7,16.7,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","11DEC2016:05:30:20"
"IN10048363","GC WAN","GC WAN","1342","NW000417","14FEB2017:12:52:10","17FEB2017:04:30:19","Medium","CLOSED",63.64,24.13,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","27FEB2017:05:30:28"
"IN10049857","GC WAN","GC WAN","1342","NW000417","07MAR2017:08:29:06","07MAR2017:14:35:15","Medium","CLOSED",6.1,6.1,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","18MAR2017:05:30:07"
"IN10049858","GC WAN","GC WAN","1342","NW000417","07MAR2017:08:35:18","07MAR2017:14:34:20","Medium","CLOSED",5.98,5.98,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","18MAR2017:05:30:07"
"IN10050501","GC WAN","GC WAN","1342","NW000417","15MAR2017:18:34:25","16MAR2017:07:26:30","Medium","CLOSED",12.87,0.43,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","27MAR2017:05:30:06"
"IN10052524","GC WAN","GC WAN","1342","NW000417","14APR2017:12:32:13","17APR2017:18:09:41","Medium","CLOSED",77.62,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","28APR2017:05:30:02"
"IN10052639","GC WAN","GC WAN","1342","NW000417","18APR2017:08:54:11","19APR2017:16:35:27","Medium","CLOSED",31.69,17.68,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","30APR2017:05:30:05"
"IN10053857","GC WAN","GC WAN","1342","NW000417","05MAY2017:15:11:22","08MAY2017:15:54:55","Medium","CLOSED",72.73,10.72,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","19MAY2017:05:30:06"
"IN10055032","GC WAN","GC WAN","1342","NW000417","19MAY2017:10:10:53","23MAY2017:13:03:33","Medium","CLOSED",98.88,12.88,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","03JUN2017:05:30:15"
"IN10055553","GC WAN","GC WAN","1342","NW000417","27MAY2017:21:37:28","29MAY2017:06:40:15","Medium","CLOSED",33.05,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","09JUN2017:05:30:10"
"IN10056057","GC WAN","GC WAN","1342","NW000417","03JUN2017:15:49:55","07JUN2017:06:18:33","Medium","CLOSED",86.48,20,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","18JUN2017:05:30:30"
"IN10056059","GC WAN","GC WAN","1342","NW000417","03JUN2017:16:00:35","07JUN2017:06:14:27","Medium","CLOSED",86.23,20,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","18JUN2017:05:30:31"
"IN10057137","GC WAN","GC WAN","1342","NW000417","16JUN2017:20:48:10","19JUN2017:00:00:00","Medium","CLOSED",51.2,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","30JUN2017:05:30:02"
"IN10057139","GC WAN","GC WAN","1342","NW000417","16JUN2017:21:02:38","18JUN2017:07:59:40","Medium","CLOSED",34.95,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","29JUN2017:05:31:42"
"IN10057294","GC WAN","GC WAN","1342","NW000417","19JUN2017:13:54:01","20JUN2017:09:03:00","Medium","CLOSED",19.15,5.15,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","01JUL2017:05:30:16"
"IN10057621","GC WAN","GC WAN","1342","NW000417","22JUN2017:16:09:22","30JUN2017:14:36:08","Medium","CLOSED",190.45,58.45,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","11JUL2017:05:30:22"
"IN10058061","GC WAN","GC WAN","1342","NW000417","27JUN2017:16:11:11","30JUN2017:14:19:30","Medium","CLOSED",70.14,28.14,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","11JUL2017:05:30:16"
"IN10058383","GC WAN","GC WAN","1342","NW000417","30JUN2017:16:35:26","30JUN2017:17:39:03","Medium","CLOSED",1.06,1.07,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","11JUL2017:05:30:22"
"IN10058854","GC WAN","GC WAN","1342","NW000417","07JUL2017:11:42:50","11JUL2017:17:14:23","Medium","CLOSED",101.53,25.53,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","22JUL2017:06:25:28"
"IN10059860","GC WAN","GC WAN","1342","NW000417","20JUL2017:18:24:33","24JUL2017:11:32:27","Medium","CLOSED",89.13,14.53,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","04AUG2017:05:30:17"
"IN10059895","GC WAN","GC WAN","1342","NW000417","21JUL2017:10:02:06","02AUG2017:08:21:36","Medium","CLOSED",286.33,78.32,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","13AUG2017:05:30:03"
"IN10060085","GC WAN","GC WAN","1342","NW000417","23JUL2017:07:46:10","28JUL2017:15:41:53","Medium","CLOSED",127.93,48.68,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","08AUG2017:05:30:07"
"IN10060633","GC WAN","GC WAN","1342","NW000417","29JUL2017:22:13:35","31JUL2017:06:56:03","Medium","CLOSED",32.71,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","11AUG2017:05:30:15"
"IN10060634","GC WAN","GC WAN","1342","NW000417","29JUL2017:22:38:58","31JUL2017:06:55:00","Medium","CLOSED",32.27,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","11AUG2017:05:30:15"
"IN10060666","GC WAN","GC WAN","1342","NW000417","30JUL2017:21:34:58","31JUL2017:06:50:46","Medium","CLOSED",9.26,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","11AUG2017:05:30:10"
"IN10060765","GC WAN","GC WAN","1342","NW000417","01AUG2017:08:49:08","03AUG2017:10:52:05","Medium","CLOSED",50.05,22.05,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","14AUG2017:05:30:10"
"IN10061117","GC WAN","GC WAN","1342","NW000417","04AUG2017:14:57:44","08AUG2017:09:45:19","Medium","CLOSED",90.79,14.8,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","19AUG2017:05:30:10"
"IN10061657","GC WAN","GC WAN","1342","NW000417","12AUG2017:13:01:48","14AUG2017:06:39:04","Medium","CLOSED",41.62,0,"",21,"IT Issue",21,"IT Issue","CREATEDFROMSR","","RP","25AUG2017:05:30:12"
