product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit
14.0,1287.0,2017-10-24 00:00:00.000,True,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,2013-03-12 00:00:00.000,152.55
63.0,710.0,2017-08-28 00:00:00.000,,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,1992-10-11 00:00:00.000,
21.0,3333.0,2017-04-20 00:00:00.000,True,Approved,Solex,Standard,medium,large,1071.23,380.74,1999-06-23 00:00:00.000,690.49
70.0,2056.0,2017-11-06 00:00:00.000,False,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,1991-05-06 00:00:00.000,830.24
56.0,896.0,2017-05-12 00:00:00.000,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1997-10-04 00:00:00.000,45.96
39.0,1809.0,2017-09-14 00:00:00.000,False,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,1997-05-10 00:00:00.000,1230.27
89.0,1779.0,2017-08-23 00:00:00.000,True,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2016-07-09 00:00:00.000,1305.25
43.0,1496.0,2017-11-07 00:00:00.000,False,Approved,Solex,Standard,medium,medium,1151.96,649.49,1997-02-09 00:00:00.000,502.47
77.0,2230.0,2017-10-08 00:00:00.000,True,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10 00:00:00.000,445.21
27.0,87.0,2017-01-25 00:00:00.000,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23 00:00:00.000,110.81
42.0,1272.0,2017-02-26 00:00:00.000,True,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,2008-03-19 00:00:00.000,199.1
23.0,3238.0,2017-09-11 00:00:00.000,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,1993-10-02 00:00:00.000,75.75
20.0,151.0,2017-02-12 00:00:00.000,True,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2007-08-04 00:00:00.000,195.34
1.0,1469.0,2017-10-17 00:00:00.000,True,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2011-04-16 00:00:00.000,448.68
17.0,1035.0,2017-11-03 00:00:00.000,True,Approved,Solex,Standard,high,medium,1024.66,614.8,2016-02-04 00:00:00.000,409.86
56.0,2783.0,2017-06-21 00:00:00.000,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,2011-08-24 00:00:00.000,45.96
72.0,1.0,2017-01-05 00:00:00.000,False,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2003-09-09 00:00:00.000,90.1
57.0,3445.0,2017-05-13 00:00:00.000,True,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1993-06-23 00:00:00.000,1630.25
70.0,2653.0,2017-12-18 00:00:00.000,True,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11 00:00:00.000,198.29
38.0,3028.0,2017-11-07 00:00:00.000,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1991-01-21 00:00:00.000,1702.55
27.0,1830.0,2017-11-26 00:00:00.000,False,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12 00:00:00.000,903.11
30.0,3126.0,2017-03-28 00:00:00.000,True,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,1994-08-10 00:00:00.000,456.45
67.0,3039.0,2017-01-23 00:00:00.000,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22 00:00:00.000,167.21
76.0,240.0,2017-04-09 00:00:00.000,True,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2004-01-16 00:00:00.000,129.01
43.0,1959.0,2017-02-16 00:00:00.000,False,Approved,Solex,Standard,medium,medium,1151.96,649.49,2006-10-01 00:00:00.000,502.47
73.0,343.0,2017-01-23 00:00:00.000,True,Approved,Solex,Standard,medium,medium,1945.43,333.18,2002-08-31 00:00:00.000,1612.25
79.0,2674.0,2017-01-19 00:00:00.000,True,Approved,Solex,Touring,medium,large,2083.94,675.03,2013-09-16 00:00:00.000,1408.91
27.0,801.0,2017-07-01 00:00:00.000,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23 00:00:00.000,110.81
69.0,50.0,2017-04-03 00:00:00.000,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1995-10-24 00:00:00.000,198.22
0.0,184.0,2017-11-28 00:00:00.000,False,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2010-06-07 00:00:00.000,41.13
92.0,350.0,2017-05-27 00:00:00.000,True,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2002-10-10 00:00:00.000,155.65
85.0,2005.0,2017-01-17 00:00:00.000,True,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,2000-05-22 00:00:00.000,827.16
7.0,770.0,2017-08-02 00:00:00.000,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1995-12-19 00:00:00.000,144.26
20.0,3104.0,2017-03-21 00:00:00.000,,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,1991-08-05 00:00:00.000,
65.0,1806.0,2017-03-13 00:00:00.000,False,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,2015-05-21 00:00:00.000,1028.76
50.0,2052.0,2017-02-07 00:00:00.000,True,Approved,WeareA2B,Standard,medium,small,175.89,131.92,1997-10-04 00:00:00.000,43.97
83.0,593.0,2017-01-23 00:00:00.000,False,Approved,Solex,Touring,medium,large,2083.94,675.03,2013-09-16 00:00:00.000,1408.91
88.0,1858.0,2017-05-07 00:00:00.000,True,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,2013-03-12 00:00:00.000,182.81
19.0,108.0,2017-12-14 00:00:00.000,True,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2011-08-29 00:00:00.000,114.93
46.0,796.0,2017-08-13 00:00:00.000,False,Approved,Solex,Standard,low,medium,1289.85,74.51,2007-12-11 00:00:00.000,1215.34
40.0,3412.0,2017-07-09 00:00:00.000,,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,1999-12-04 00:00:00.000,
9.0,2872.0,2017-04-16 00:00:00.000,False,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,2007-08-04 00:00:00.000,75.14
0.0,3250.0,2017-03-18 00:00:00.000,False,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-09-15 00:00:00.000,17.87
70.0,403.0,2017-09-22 00:00:00.000,False,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2004-07-25 00:00:00.000,198.29
95.0,1639.0,2017-04-22 00:00:00.000,False,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2003-09-10 00:00:00.000,41.13
19.0,28.0,2017-07-21 00:00:00.000,True,Approved,OHM Cycles,Road,high,large,12.01,7.21,1993-10-02 00:00:00.000,4.8
37.0,1891.0,2017-10-10 00:00:00.000,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2015-04-11 00:00:00.000,1544.61
2.0,1473.0,2017-07-15 00:00:00.000,False,Approved,Solex,Standard,medium,medium,71.49,53.62,2011-04-16 00:00:00.000,17.87
22.0,2644.0,2017-09-19 00:00:00.000,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-15 00:00:00.000,15.08
,,,,,,,,,,,,
83.0,2615.0,2017-02-23 00:00:00.000,True,Approved,Solex,Touring,medium,large,2083.94,675.03,1997-08-25 00:00:00.000,1408.91
81.0,180.0,2017-06-17 00:00:00.000,False,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,1991-07-10 00:00:00.000,64.51
70.0,2379.0,2017-08-05 00:00:00.000,False,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2016-12-06 00:00:00.000,198.29
23.0,900.0,2017-09-22 00:00:00.000,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,1999-06-23 00:00:00.000,75.75
62.0,337.0,2017-05-02 00:00:00.000,True,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-04-05 00:00:00.000,409.86
88.0,2020.0,2017-03-10 00:00:00.000,True,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1998-12-16 00:00:00.000,817.36
17.0,1806.0,2017-11-23 00:00:00.000,True,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-11-09 00:00:00.000,409.86
62.0,3353.0,2017-04-22 00:00:00.000,True,Approved,Solex,Standard,medium,medium,478.16,298.72,2015-05-21 00:00:00.000,179.44
6.0,2850.0,2017-06-16 00:00:00.000,False,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,2003-02-07 00:00:00.000,91.15
50.0,1497.0,2017-07-01 00:00:00.000,False,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2002-03-22 00:00:00.000,431.33
59.0,1855.0,2017-12-08 00:00:00.000,True,Approved,Solex,Standard,medium,large,1061.56,733.58,1998-12-17 00:00:00.000,327.98
74.0,950.0,2017-11-22 00:00:00.000,False,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,1997-02-09 00:00:00.000,812.44
0.0,3290.0,2017-10-24 00:00:00.000,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2015-04-11 00:00:00.000,167.21
1.0,1115.0,2017-08-08 00:00:00.000,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2013-09-16 00:00:00.000,1010.02
