customer_id,recency,frequency,monetary,R,F,M,rfm_value,Score,RFM_status
25,6,12,5333.6600000000008,4,1,1,411,6,"Gold"
37,8,9,6338.4900000000007,4,1,1,411,6,"Gold"
89,5,9,5779.65,4,1,1,411,6,"Gold"
91,10,8,5242.4100000000008,4,1,1,411,6,"Gold"
99,3,9,4557.65,4,1,1,411,6,"Gold"
117,6,10,6917.34,4,1,1,411,6,"Gold"
165,9,8,6107.0400000000009,4,1,1,411,6,"Gold"
171,19,8,4833.1399999999994,4,1,1,411,6,"Gold"
173,16,9,6549.5099999999993,4,1,1,411,6,"Gold"
174,12,10,7628.24,4,1,1,411,6,"Gold"
200,8,9,7283.86,4,1,1,411,6,"Gold"
234,12,9,5763.1299999999992,4,1,1,411,6,"Gold"
235,3,11,4685.8200000000006,4,1,1,411,6,"Gold"
239,2,9,5928.23,4,1,1,411,6,"Gold"
298,9,9,4382.48,4,1,1,411,6,"Gold"
320,13,10,7204.6600000000017,4,1,1,411,6,"Gold"
322,2,11,10336.77,4,1,1,411,6,"Gold"
346,13,9,6420.7,4,1,1,411,6,"Gold"
377,7,11,4124.420000000001,4,1,1,411,6,"Gold"
404,19,8,4874.55,4,1,1,411,6,"Gold"
515,15,8,5916.69,4,1,1,411,6,"Gold"
605,3,8,5025.6399999999994,4,1,1,411,6,"Gold"
637,8,13,5402.4699999999993,4,1,1,411,6,"Gold"
640,11,8,4278.6,4,1,1,411,6,"Gold"
695,17,8,4659,4,1,1,411,6,"Gold"
719,12,8,4227.84,4,1,1,411,6,"Gold"
725,4,11,7321.5,4,1,1,411,6,"Gold"
729,2,9,8953.17,4,1,1,411,6,"Gold"
739,2,10,4842.1999999999989,4,1,1,411,6,"Gold"
753,16,8,7727.17,4,1,1,411,6,"Gold"
768,6,9,5580.5700000000006,4,1,1,411,6,"Gold"
793,2,10,4778.3299999999981,4,1,1,411,6,"Gold"
832,18,11,8366.15,4,1,1,411,6,"Gold"
877,18,9,4918.87,4,1,1,411,6,"Gold"
902,15,9,6003.0499999999993,4,1,1,411,6,"Gold"
906,17,9,4473.8700000000008,4,1,1,411,6,"Gold"
925,13,9,4371.1599999999989,4,1,1,411,6,"Gold"
946,3,8,6305.6,4,1,1,411,6,"Gold"
973,9,8,6639.85,4,1,1,411,6,"Gold"
