Design Factor,DFSort,Topic,TSort
"AUDIENCE",1,"OPERATIONAL",2
"AUDIENCE",1,"ANALYTICAL",3
"PLATFORM",2,"POWER BI DESKTOP",4
"PLATFORM",2,"        Report View",5
"PLATFORM",2,"POWER BI MOBILE",8
"PLATFORM",2,"        Report Mobile View",9
"UI/UX",3,"LAYOUT",10
"UI/UX",3,"        Consistent Layout",11
"UI/UX",3,"COLOR",12
"UI/UX",3,"        Microsoft Colors",13
"UI/UX",3,"        High Contrast",14
"UI/UX",3,"BRANDING",15
"UI/UX",3,"        Microsoft Official Products",16
"UI/UX",3,"        Microsoft Official Logos",17
"UI/UX",3,"INTERFACE",18
"UI/UX",3,"        Intuitive",19
"UI/UX",3,"        Clear Data Distribution",20
"UI/UX",3,"EXPERIENCE",21
"UI/UX",3,"        How-To",22
"UI/UX",3,"        Call to Action",23
"UI/UX",3,"        Minimum Clicks",24
"UI/UX",3,"PERFORMANCE",25
"UI/UX",3,"        Cross-Platform",26
"UI/UX",3,"        Reduced Latency",27
"ANALYSIS",4,"FEATURES & CAPABILITIES",28
"ANALYSIS",4,"        Drill Mode",29
"ANALYSIS",4,"        Drillthrough",30
"ANALYSIS",4,"        Tooltip",31
"ANALYSIS",4,"               • Default",32
"ANALYSIS",4,"               • Report Page",33
"ANALYSIS",4,"        Visual Header",34
"ANALYSIS",4,"               • Tooltip Text",35
"ANALYSIS",4,"               • Tooltip Report Page",36
"ANALYSIS",4,"        What If",37
"ANALYSIS",4,"        Analyze",38
"ANALYSIS",4,"               • Increase/Decrease",39
"ANALYSIS",4,"               • Find Where this Distribution is Different",40
"ANALYSIS",4,"        Filter Pane",41
"ANALYSIS",4,"        Bookmark",42
"ANALYSIS",4,"               • Display Selected Visual",43
"ANALYSIS",4,"        Conditional Formatting",44
"ANALYSIS",4,"               • Data Color",45
"ANALYSIS",4,"               • Title",46
"ANALYSIS",4,"               • Data Bars",47
"ANALYSIS",4,"        Analytics",48
"ANALYSIS",4,"               • Constant Line",49
"ANALYSIS",4,"               • Forecast",50
