EventID,SessionID,Track,Title,Description,SpeakerRole,Speaker,Level,DownloadLinks,HasDownLoads,SpeakerUrl,Track.1,Abstract,speakers
817,86525,"Other","The Dark Side of Data","Sabemos que mais de 90% dos dados no mundo de hoje foram criados apenas nos últimos dois anos e que dia pos dia dados estão vazando (e muito!) O que acontece quando suas informações vazam? 

À medida que o mundo se torna cada vez mais conectado, o uso dessa massa de dados se expande para diversas necessidades e frentes de negócios, para o bem e para o mal. Como acontece com todas as novas tecnologias, a segurança parece ser uma reflexão tardia, na melhor das hipóteses. Você é um DBA? Como você protege seu banco? Você realmente está seguro? 

Veremos nessa sessão como obter segurança no armazenamento de dados e como novas regulações tornam o tema ainda mais sensível para as empresas.","Cloud Manager, REDBELT","Fernando Andreazi"," Beginner","[List]","No","http://www.sqlsaturday.com/817/Speakers/Details.aspx?name=fernando-andreazi&amp;spid=6007"," Other","Sabemos que mais de 90% dos dados no mundo de hoje foram criados apenas nos últimos dois anos e que dia pos dia dados estão vazando (e muito!) O que acontece quando suas informações vazam?","[Table]"
817,90249,"Other","SQL Data Discovery and Classification no ambiente On-Premises e Azure SQL Database","Nesta palestra vou demonstrar como utilizar essa funcionalidade com o intuito de cumprir padrões de privacidade de dados. Essa nova funcionalidade interna do SSMS nos auxiliará a atender os padrões de privacidade, controlar o acesso e proteção dos dados classificados.","DBA, AAS","Anderson Souza"," Beginner","[List]","No","http://www.sqlsaturday.com/817/Speakers/Details.aspx?name=anderson-souza&amp;spid=4610"," Other","Nesta palestra vou demonstrar como utilizar essa funcionalidade com o intuito de cumprir padrões de privacidade de dados. Essa nova funcionalidade interna do SSMS nos auxiliará a atender os padrões de privacidade, controlar o acesso e proteção dos dados classificados.","[Table]"
817,88714,"Enterprise Database Administration  Deployment","Segurança de dados e Criptografia no SQL Server","Os dados se tornaram os principais ativos das organizações, sendo algo primordial para a tomada de decisões e desenvolvimento das atividades internas das empresas, consequentemente se tornaram o principal alvo quando se trata de ataques, violações e vazamentos. Nesta sessão conversaremos sobre como funcionam os principais tipos de criptografia e como aplicá-los em um ambiente de Banco de Dados SQL Server utilizando as funcionalidades da ferramenta para proteger seus dados.","SQL Server Consultant, Self-employed consultant","Diemerson Campos"," Beginner","[List]","No","http://www.sqlsaturday.com/817/Speakers/Details.aspx?name=diemerson-campos&amp;spid=6177"," Enterprise Database Administration & Deployment","Os dados se tornaram os principais ativos das organizações, sendo algo primordial para a tomada de decisões e desenvolvimento das atividades internas das empresas, consequentemente se tornaram o principal alvo quando se trata de ataques, violações e vazamentos. Nesta sessão conversaremos sobre como funcionam os principais tipos de criptografia e como aplicá-los em um ambiente de Banco de Dados SQL Server utilizando as funcionalidades da ferramenta para proteger seus dados.","[Table]"
817,90417,"Analytics and Visualization","Data Storytelling - Power BI","Aprenda a como criar Dashboards matadores com Microsoft Power BI, Storytelling é um recurso que, quando bem usado, enriquece o seus Painéis.","Arquiteto de Dados, Paulo R Santos Tecnologia","Paulo Ricardo Santos"," Beginner","[List]","No","http://www.sqlsaturday.com/817/Speakers/Details.aspx?name=paulo-ricardo-santos&amp;spid=6576"," Analytics and Visualization","Aprenda a como criar Dashboards matadores com Microsoft Power BI, Storytelling é um recurso que, quando bem usado, enriquece o seus Painéis.","[Table]"
819,87990,"Enterprise Database Administration  Deployment","SQL Server 2019 Big Data Clusters","Os clusters de Big Data podem ser implantados em qualquer nuvem onde exista um serviço gerenciado do Kubernetes, como o Azks Kubernetes Service (AKS) ou em clusters Kubernetes locais, como o AKS no Azure Stack. Os serviços de gerenciamento integrados em um cluster de big data fornecem análise de log, monitoramento, backup e alta disponibilidade por meio de um portal do administrador, garantindo uma experiência de gerenciamento consistente em todos os locais onde um cluster de big data é implantado. 
Os clusters de big data do SQL Server 2019 fornecem uma plataforma de AI completa para fornecer os aplicativos inteligentes que ajudam a tornar qualquer organização mais bem-sucedida. 
Nesta sessão, vamos aprofundar um pouco mais nesse assunto, entendendo (na teoria e na pratica) essa nova funcionalidade do SQL Server 2019.","Data Solutions Architect | Big Data, PRODESP","Luiz Henrique Garetti Rosário"," Beginner","[List]","No","https://www.sqlsaturday.com/819/Speakers/Details.aspx?name=luiz-henrique-garetti-rosario&amp;spid=2676"," Enterprise Database Administration & Deployment","Os clusters de Big Data podem ser implantados em qualquer nuvem onde exista um serviço gerenciado do Kubernetes, como o Azks Kubernetes Service (AKS) ou em clusters Kubernetes locais, como o AKS no Azure Stack. Os serviços de gerenciamento integrados em um cluster de big data fornecem análise de log, monitoramento, backup e alta disponibilidade por meio de um portal do administrador, garantindo uma experiência de gerenciamento consistente em todos os locais onde um cluster de big data é implantado.","[Table]"
819,88690,"Cloud Application Development  Deployment","Porque migrar seu SQL Server On Premisse  para o SQL Azure!","Essa palestra vai abordar os motivos para migrar seu SQL Server On-Premise para o SQL Azure.","Administradora de Banco de Dados e Analista BI","Sulamita Dantas"," Beginner","[List]","No","https://www.sqlsaturday.com/819/Speakers/Details.aspx?name=sulamita-dantas&amp;spid=3136"," Cloud Application Development & Deployment","Essa palestra vai abordar os motivos para migrar seu SQL Server On-Premise para o SQL Azure.","[Table]"
819,90034,"Analytics and Visualization","Implementando soluções de IA utilizando os serviços cognitvos no","A Inteligência Artificial (IA) está trazendo grandes mudanças na maneira como pessoas e empresas se relacionam com a tecnologia . Assim como a chegada do computador pessoal, da computação em nuvem e dos smartphones, a IA é a tecnologia artificial que leva você para onde quer chegar, de forma muito mais rápida, intuitiva e inteligente. Nesta sessão discutiremos os conceitos básicos da IA e como podemos aplicá-la no nosso dia a dia utilizando os serviços cognitivos do Azure.","Data Platform MVP, VitaDB","Vitor Fava"," Beginner","[List]","No","https://www.sqlsaturday.com/819/Speakers/Details.aspx?name=vitor-fava&amp;spid=3365"," Analytics and Visualization","A Inteligência Artificial (IA) está trazendo grandes mudanças na maneira como pessoas e empresas se relacionam com a tecnologia . Assim como a chegada do computador pessoal, da computação em nuvem e dos smartphones, a IA é a tecnologia artificial que leva você para onde quer chegar, de forma muito mais rápida, intuitiva e inteligente. Nesta sessão discutiremos os conceitos básicos da IA e como podemos aplicá-la no nosso dia a dia utilizando os serviços cognitivos do Azure.","[Table]"
819,90047,"Analytics and Visualization","Nem tudo que reluz é ouro! O design e a visualização de dados!","Nem tudo que reluz é ouro ! A importância de se pensar e entender o design de dashboards como parte imprescindível do projeto de análise dados.","Administradora de Dados, BiggData","Rayssa Dias"," Beginner","[List]","No","https://www.sqlsaturday.com/819/Speakers/Details.aspx?name=rayssa-dias&amp;spid=6658"," Analytics and Visualization","Nem tudo que reluz é ouro ! A importância de se pensar e entender o design de dashboards como parte imprescindível do projeto de análise dados.","[Table]"
819,89512,"Strategy and Architecture","DevOps for Azure Databases","Adicionando projetos de Database dentro da cultura DevOps, nos ciclos de integração e entrega contínua usando Sql Server Data Tools, Azure Devops e Microsoft Azure.","DevOps Engineer, Wiz Soluções","Renan Queiroz"," Beginner","[List]","No","https://www.sqlsaturday.com/819/Speakers/Details.aspx?name=renan-queiroz&amp;spid=6932"," Strategy and Architecture","Adicionando projetos de Database dentro da cultura DevOps, nos ciclos de integração e entrega contínua usando Sql Server Data Tools, Azure Devops e Microsoft Azure.","[Table]"
820,86908,"Enterprise Database Administration  Deployment","How to perform a health check","Are you uncertain about the health and capacity of your SQL Server? Are you taking over a new server and need to get a better understanding of the health of the server? Are you uncertain if your servers are following industry best practices?

In this session we will start by discussing the importance of performing a Health Check. We will then show how to run the popular Blitz script by Brent Ozar. After that we will review the other key areas to check like the VM configuration, Windows Configuration, SQL Configuration, Security configuration, and Database configuration. Finally, we’ll show how to save the results for capacity and trending analysis

At the end of the session you will be able to: (1) Perform a Health Check on a server; (2) List the key areas for improvement; (3) Save the results for capacity and trending analysis.","Senior DBA, Perimeter DBA, LLC","Carl Roepe"," Beginner","[List]","No","http://www.sqlsaturday.com/820/Speakers/Details.aspx?name=carl-roepe&amp;spid=6382"," Enterprise Database Administration & Deployment","Are you uncertain about the health and capacity of your SQL Server? Are you taking over a new server and need to get a better understanding of the health of the server? Are you uncertain if your servers are following industry best practices?","[Table]"
