Zip,City,State,Region,District,Country
"68274","","Oaxaca","","Oaxaca de Juarez","Mexico"
"68275","","Oaxaca","","Oaxaca de Juarez","Mexico"
"68276","","Oaxaca","","Oaxaca de Juarez","Mexico"
"71512","","Oaxaca","","Ocotlan de Morelos","Mexico"
"71513","","Oaxaca","","Ocotlan de Morelos","Mexico"
"71515","","Oaxaca","","Ocotlan de Morelos","Mexico"
"71565","","Oaxaca","","La Pe","Mexico"
"71566","","Oaxaca","","La Pe","Mexico"
"71750","","Oaxaca","","Pinotepa de Don Luis","Mexico"
"70960","","Oaxaca","","Pluma Hidalgo","Mexico"
"70961","","Oaxaca","","Pluma Hidalgo","Mexico"
"70962","","Oaxaca","","Pluma Hidalgo","Mexico"
"71550","","Oaxaca","","San Jose Del Progreso","Mexico"
"71000","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71001","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71002","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71003","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71004","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71005","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71010","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71011","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71012","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71014","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71015","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71016","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71017","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71018","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"71020","","Oaxaca","","Putla Villa de Guerrero","Mexico"
"70590","","Oaxaca","","Santa Catarina Quioquitani","Mexico"
"70170","","Oaxaca","","Reforma de Pineda","Mexico"
"71080","","Oaxaca","","La Reforma","Mexico"
"71081","","Oaxaca","","La Reforma","Mexico"
"71087","","Oaxaca","","La Reforma","Mexico"
"68237","","Oaxaca","","Reyes Etla","Mexico"
"70450","","Oaxaca","","Rojas de Cuauhtemoc","Mexico"
"70700","","Oaxaca","","Salina Cruz","Mexico"
"70701","","Oaxaca","","Salina Cruz","Mexico"
"70703","","Oaxaca","","Salina Cruz","Mexico"
"70704","","Oaxaca","","Salina Cruz","Mexico"
"71580","","Oaxaca","","San Agustin Amatengo","Mexico"
"69440","","Oaxaca","","San Agustin Atenango","Mexico"
"69449","","Oaxaca","","San Agustin Atenango","Mexico"
"71764","","Oaxaca","","San Agustin Chayuco","Mexico"
"71765","","Oaxaca","","San Agustin Chayuco","Mexico"
"71766","","Oaxaca","","San Agustin Chayuco","Mexico"
