Category,Source.Name,Category Sort Order,Final SCORE,Final Sentiment,Initial SCORE,Initial Sentiment
Falling,call_100002.csv,4,0.21,Low,0.41,Medium
Falling,call_100005.csv,4,0.21,Low,0.49,Medium
Falling,call_100007.csv,4,0.3,Low,0.54,Medium
Falling,call_100008.csv,4,0.12,Low,0.42,Medium
Falling,call_100012.csv,4,0.18,Low,0.52,Medium
Falling,call_100014.csv,4,0.26,Low,0.49,Medium
Falling,call_100020.csv,4,0.26,Low,0.47,Medium
Falling,call_100022.csv,4,0.31,Low,0.5,Medium
Falling,call_100024.csv,4,0.36,Low,0.42,Medium
Falling,call_100027.csv,4,0.37,Low,0.54,Medium
Falling,call_100029.csv,4,0.39,Low,0.49,Medium
Falling,call_100035.csv,4,0.35,Low,0.51,Medium
Falling,call_100037.csv,4,0.15,Low,0.54,Medium
Falling,call_100042.csv,4,0.26,Low,0.48,Medium
Falling,call_100044.csv,4,0.33,Low,0.55,Medium
Falling,call_100049.csv,4,0.55,Medium,0.66,High
Falling,call_100050.csv,4,0.18,Low,0.48,Medium
Falling,call_100052.csv,4,0.21,Low,0.55,Medium
Falling,call_100059.csv,4,0.4,Low,0.55,Medium
Falling,call_100060.csv,4,0.27,Low,0.44,Medium
Falling,call_100065.csv,4,0.34,Low,0.53,Medium
Falling,call_100067.csv,4,0.17,Low,0.45,Medium
Falling,call_100072.csv,4,0.17,Low,0.5,Medium
Falling,call_100080.csv,4,0.34,Low,0.47,Medium
Falling,call_100082.csv,4,0.26,Low,0.5,Medium
Falling,call_100086.csv,4,0.55,Medium,0.82,High
Falling,call_100087.csv,4,0.13,Low,0.48,Medium
Falling,call_100089.csv,4,0.34,Low,0.47,Medium
Falling,call_100097.csv,4,0.18,Low,0.54,Medium
Falling,call_100102.csv,4,0.4,Low,0.53,Medium
Falling,call_100104.csv,4,0.28,Low,0.46,Medium
Falling,call_100110.csv,4,0.29,Low,0.48,Medium
Falling,call_100112.csv,4,0.35,Low,0.48,Medium
Falling,call_100117.csv,4,0.28,Low,0.52,Medium
Falling,call_100119.csv,4,0.11,Low,0.46,Medium
Falling,call_100132.csv,4,0.28,Low,0.5,Medium
Falling,call_100134.csv,4,0.11,Low,0.55,Medium
Falling,call_100140.csv,4,0.39,Low,0.48,Medium
Falling,call_100142.csv,4,0.24,Low,0.48,Medium
Falling,call_100147.csv,4,0.4,Low,0.51,Medium
Falling,call_100149.csv,4,0.4,Low,0.55,Medium
Falling,call_100151.csv,4,0.1,Low,0.45,Medium
Falling,call_100155.csv,4,0.39,Low,0.47,Medium
Falling,call_100157.csv,4,0.27,Low,0.55,Medium
Falling,call_100162.csv,4,0.2,Low,0.46,Medium
Falling,call_100164.csv,4,0.28,Low,0.5,Medium
Falling,call_100170.csv,4,0.37,Low,0.5,Medium
Falling,call_100172.csv,4,0.27,Low,0.51,Medium
Falling,call_100177.csv,4,0.23,Low,0.45,Medium
Falling,call_100179.csv,4,0.38,Low,0.5,Medium
Rising,call_100003.csv,2,0.76,High,0.47,Medium
Rising,call_100010.csv,2,0.9,High,0.53,Medium
