Source.Name,date,Country,cases_total,cases_recovered,cases_fatal,cases_active,day,N,GDP_per_Capita,health_exp_percgdp,Hosp_beds,PP,susceptible,infected,removed,I_time
"Country_Russia.csv",2020-08-13 00:00:00.000,"Russia",905762,714934,15353,175475,151,145934000,11585,5.32,7.1,1202.42712459057,145028238,175475,730287,
"Country_Russia.csv",2020-08-14 00:00:00.000,"Russia",910778,721473,15467,173838,152,145934000,11585,5.32,7.1,1191.20972494415,145023222,173838,736940,
"Country_Russia.csv",2020-08-15 00:00:00.000,"Russia",915808,727895,15585,172328,153,145934000,11585,5.32,7.1,1180.86258171502,145018192,172328,743480,
"Country_Russia.csv",2020-08-16 00:00:00.000,"Russia",920719,731444,15653,173622,154,145934000,11585,5.32,7.1,1189.7296037935,145013281,173622,747097,
"Country_Russia.csv",2020-08-17 00:00:00.000,"Russia",925558,734573,15707,175278,155,145934000,11585,5.32,7.1,1201.07719928187,145008442,175278,750280,
"Country_Russia.csv",2020-08-18 00:00:00.000,"Russia",930276,741045,15836,173395,156,145934000,11585,5.32,7.1,1188.17410610276,145003724,173395,756881,
"Country_Russia.csv",2020-08-19 00:00:00.000,"Russia",935066,747802,15951,171313,157,145934000,11585,5.32,7.1,1173.90738278948,144998934,171313,763753,
"Country_Russia.csv",2020-08-20 00:00:00.000,"Russia",939833,753868,16058,169907,158,145934000,11585,5.32,7.1,1164.27289048474,144994167,169907,769926,
"Country_Russia.csv",2020-08-21 00:00:00.000,"Russia",944671,759639,16148,168884,159,145934000,11585,5.32,7.1,1157.26287225732,144989329,168884,775787,
"Country_Russia.csv",2020-08-22 00:00:00.000,"Russia",949531,765754,16268,167509,160,145934000,11585,5.32,7.1,1147.84080474735,144984469,167509,782022,
"Country_Russia.csv",2020-08-23 00:00:00.000,"Russia",954328,768906,16341,169081,161,145934000,11585,5.32,7.1,1158.61279756602,144979672,169081,785247,
"Country_Russia.csv",2020-08-24 00:00:00.000,"Russia",959016,771357,16406,171253,162,145934000,11585,5.32,7.1,1173.49623802541,144974984,171253,787763,
"Country_Russia.csv",2020-08-25 00:00:00.000,"Russia",963655,777960,16524,169171,163,145934000,11585,5.32,7.1,1159.22951471213,144970345,169171,794484,
"Country_Russia.csv",2020-08-26 00:00:00.000,"Russia",968297,784277,16638,167382,164,145934000,11585,5.32,7.1,1146.97054833007,144965703,167382,800915,
"Country_Russia.csv",2020-08-27 00:00:00.000,"Russia",972972,790629,16758,165585,165,145934000,11585,5.32,7.1,1134.65676264613,144961028,165585,807387,
"Country_Russia.csv",2020-08-28 00:00:00.000,"Russia",977730,796498,16866,164366,166,145934000,11585,5.32,7.1,1126.30367152274,144956270,164366,813364,
"Country_Russia.csv",2020-08-29 00:00:00.000,"Russia",982573,802365,16977,163231,167,145934000,11585,5.32,7.1,1118.52618306906,144951427,163231,819342,
"Country_Russia.csv",2020-08-30 00:00:00.000,"Russia",987470,804941,17045,165484,168,145934000,11585,5.32,7.1,1133.96466895994,144946530,165484,821986,
"Country_Russia.csv",2020-08-31 00:00:00.000,"Russia",992402,807339,17128,167935,169,145934000,11585,5.32,7.1,1150.75993257226,144941598,167935,824467,
"Country_Russia.csv",2020-09-01 00:00:00.000,"Russia",997072,813603,17250,166219,170,145934000,11585,5.32,7.1,1139.00119231982,144936928,166219,830853,
"Country_Russia.csv",2020-09-02 00:00:00.000,"Russia",1001965,819043,17365,165557,171,145934000,11585,5.32,7.1,1134.46489508956,144932035,165557,836408,
"Country_Russia.csv",2020-09-03 00:00:00.000,"Russia",1006923,824783,17479,164661,172,145934000,11585,5.32,7.1,1128.32513327943,144927077,164661,842262,
