id,entities_id,status,users_id_recipient,requesttypes_id,itilcategories_id,close_delay_stat,solve_delay_stat,takeintoaccount_delay_stat,date_creation,Data,is_deleted,solvedate,type,Tipo Ticket
"938","1","6","13","1","42",57600,0,1,2018-02-05 18:19:23.000,2018-02-05 00:00:00.000,"FALSE",2018-02-05 18:26:29.000,"2","Requisicao"
"950","1","6","43","1","49",46964,0,1,2018-02-07 18:19:55.000,2018-02-07 00:00:00.000,"FALSE",2018-02-07 18:23:03.000,"2","Requisicao"
"1062","1","6","13","1","32",28800,0,1,2018-03-08 18:14:52.000,2018-03-08 00:00:00.000,"FALSE",2018-03-08 18:44:22.000,"1","Incidente"
"1336","1","6","9","1","42",64682,0,1,2018-05-30 19:25:40.000,2018-05-30 00:00:00.000,"FALSE",2018-05-30 19:27:58.000,"2","Requisicao"
"1337","1","6","9","1","42",64682,0,1,2018-05-30 19:26:45.000,2018-05-30 00:00:00.000,"FALSE",2018-05-30 19:28:18.000,"2","Requisicao"
"1391","1","6","13","1","59",57600,0,1,2018-06-20 18:10:27.000,2018-06-20 00:00:00.000,"FALSE",2018-06-20 19:14:50.000,"2","Requisicao"
"1453","1","6","20","1","42",57600,0,1,2018-07-10 18:35:21.000,2018-07-10 00:00:00.000,"FALSE",2018-07-10 19:02:25.000,"2","Requisicao"
"1599","1","6","20","1","49",57600,0,1,2018-09-03 18:50:02.000,2018-09-03 00:00:00.000,"FALSE",2018-09-03 19:47:40.000,"2","Requisicao"
"1660","1","6","77","1","48",46800,0,1,2018-09-20 12:47:38.000,2018-09-20 00:00:00.000,"FALSE",2018-09-20 12:48:41.000,"2","Requisicao"
"1733","1","6","12","1","42",57600,0,1,2018-10-22 18:14:46.000,2018-10-22 00:00:00.000,"FALSE",2018-10-22 18:39:29.000,"2","Requisicao"
"1735","1","6","11","1","34",57600,0,1,2018-10-23 12:00:25.000,2018-10-23 00:00:00.000,"FALSE",2018-10-23 12:02:47.000,"1","Incidente"
"1737","1","6","12","1","42",57600,0,1,2018-10-23 19:54:18.000,2018-10-23 00:00:00.000,"FALSE",2018-10-23 19:57:06.000,"2","Requisicao"
"1753","1","6","13","1","37",28800,0,1,2018-10-31 10:15:30.000,2018-10-31 00:00:00.000,"FALSE",2018-10-31 10:44:46.000,"2","Requisicao"
"1754","2","6","30","1","30",28800,0,1,2018-10-31 10:32:08.000,2018-10-31 00:00:00.000,"FALSE",2018-10-31 16:29:38.000,"2","Requisicao"
"1756","1","6","26","1","37",28800,0,1,2018-10-31 17:57:00.000,2018-10-31 00:00:00.000,"FALSE",2018-10-31 19:40:37.000,"2","Requisicao"
"1757","1","6","13","1","54",28800,0,1,2018-10-31 19:36:57.000,2018-10-31 00:00:00.000,"FALSE",2018-10-31 19:40:13.000,"2","Requisicao"
"1827","1","6","39","1","58",37223,0,1,2018-11-27 18:22:45.000,2018-11-27 00:00:00.000,"FALSE",2018-11-29 15:39:37.000,"1","Incidente"
"1828","1","6","26","1","37",57600,0,1,2018-11-27 18:51:29.000,2018-11-27 00:00:00.000,"FALSE",2018-11-27 19:00:22.000,"2","Requisicao"
"1887","1","6","11","1","32",0,0,1,2019-01-11 18:20:02.000,2019-01-11 00:00:00.000,"FALSE",2019-01-11 18:26:52.000,"2","Requisicao"
"1933","3","6","73","1","30",60841,0,1,2019-02-06 12:20:32.000,2019-02-06 00:00:00.000,"FALSE",2019-02-06 12:37:39.000,"2","Requisicao"
"2049","1","6","33","1","37",57600,0,1,2019-04-01 12:39:13.000,2019-04-01 00:00:00.000,"FALSE",2019-04-01 18:23:54.000,"2","Requisicao"
"2050","1","6","12","1","62",57600,0,1,2019-04-01 14:38:37.000,2019-04-01 00:00:00.000,"FALSE",2019-04-01 14:42:03.000,"2","Requisicao"
"2111","1","6","11","1","125",57600,0,1,2019-04-15 12:19:49.000,2019-04-15 00:00:00.000,"FALSE",2019-04-23 21:04:24.000,"1","Incidente"
"2302","1","6","76","1","119",57600,0,1,2019-06-03 18:33:31.000,2019-06-03 00:00:00.000,"FALSE",2019-06-03 18:33:58.000,"2","Requisicao"
