Store Key,Store Name,Open Date,Close Date,Zip Code,Store Phone,Address Line 1,Employee Count,Selling Area Size,ManagerFirstName,ManagerLastName,StoreManager,AddressLine2
304,"Saint Petersburg Store",2004-06-07 00:00:00.000,,2014522,"510-555-0118","Saint Petersburg  Citycenter, Shopping mall",95,480,"Miguel","Saenz",14,"Saint Petersburg  Citycenter, Shopping mall"
209,"Baildon Store",2004-09-22 00:00:00.000,,,"138-555-0118","West Ln, Baildon, Shipley Citycenter, United",32,680,"Josh","Edwards",227,"West Ln, Baildon, Shipley Citycenter, United"
305,"Nizhny Novgorod Store",2004-03-15 00:00:00.000,,147820,"511-555-0119","Nizhny Novgorod  Downtown, Shopping mall",95,480,"Kim","Akers",15,"Nizhny Novgorod  Downtown, Shopping mall"
302,"Taipei  Store",2004-07-19 00:00:00.000,,109807,"830-555-0128","Leidui Shopping mall, Taipei, Taiwan",95,480,"Ming-Yang","Xie",24,"Leidui Shopping mall, Taipei, Taiwan"
42,"Green Bay Store",2003-08-03 00:00:00.000,,54001,"286-555-0189","Green Bay Downtown",19,455,"Nuno","Bento",71,"Green Bay Downtown"
1,"Seattle No.1 Store",2004-04-12 00:00:00.000,,97001,"320-555-0195","East Queen Anne Big shopping mall",17,462,"Roy","Antebi",35,"East Queen Anne Big shopping mall"
103,"Jacksonville Store",2003-10-08 00:00:00.000,,32254,"454-555-0119","Lackawanna Park St",26,680,"Pilar","Pinilla",120,"Lackawanna Park St"
2,"Seattle No.2 Store",2004-02-14 00:00:00.000,,97001,"150-555-0189","Mino shopping mall",25,700,"Roy","Antebi",35,"Mino shopping mall"
184,"Alexandria Store",2004-11-06 00:00:00.000,2009-07-12 00:00:00.000,22302,"822-555-0145","Kingsgate St Shopping mall",22,500,"Jill","Shrader",198,"Kingsgate St Shopping mall"
3,"Kennewick Store",2004-02-12 00:00:00.000,,97001,"212-555-0187","Kennewick,  Downtown",26,680,"Prithvi","Raj",36,"Kennewick,  Downtown"
235,"Ramstein Store",2004-08-13 00:00:00.000,,66877,"555-555-0113","Citycenter Shopping mall Ramstein-Miesenbach, Germany",15,500,"Greg","Winston",252,"Citycenter Shopping mall Ramstein-Miesenbach, Germany"
4,"Bellevue Store",2004-03-01 00:00:00.000,,97001,"612-555-0100","West Lake Hills shopping mall",19,455,"Luca","Argentiero",37,"West Lake Hills shopping mall"
183,"Anchorage Store",2004-12-02 00:00:00.000,,,"110-555-0115","4800 Spenard Road,Shopping mall",47,1125,"Chris","Bryant",111,"4800 Spenard Road,Shopping mall"
6,"Yakima Store",2005-05-15 00:00:00.000,,97001,"168-555-0183","Yakima, shopping mall",47,1125,"Zainal","Arifin",39,"Yakima, shopping mall"
126,"Elmira Store",2004-02-24 00:00:00.000,,14901,"139-555-0120","Columbia St",26,680,"Barak","Regev",144,"Columbia St"
8,"Sunnyside Store",2004-07-02 00:00:00.000,,97001,"913-555-0172","Sunnyside, WA Citycenter",17,460,"Ties","Arts",41,"Sunnyside, WA Citycenter"
144,"Morristown Store",2004-11-24 00:00:00.000,,7960,"646-555-0185","Washington St",47,1125,"Don","Roessler",160,"Washington St"
9,"Toppenish Store",2004-08-18 00:00:00.000,,97001,"903-555-0145","Toppenish, Citycenter",25,700,"Daniel","Taylor",42,"Toppenish, Citycenter"
281,"Shanghai No.2 Store",2004-03-02 00:00:00.000,,201800,"716-555-0127","China Shanghai, Jiading Distrct Yongguang Rd",95,480,"Mojca","Gostincar",290,"China Shanghai, Jiading Distrct Yongguang Rd"
12,"North Bend Store",2004-11-21 00:00:00.000,2009-04-12 00:00:00.000,97001,"206-555-0180","North Bend, Citycenter",19,455,"Chris","Ashton",45,"North Bend, Citycenter"
