Length of Promotion,Start Year,End Year,Promotion Name Short,Promotion Key,Promotion Name,Discount Percent,Promotion Type,Promotion Category,Start Date,End Date
642,2009,2010,"No Discount",1,"No Discount",0,"No Discount","No Discount",2009-03-29 00:00:00.000,2010-12-31 00:00:00.000
89,2007,2007,"North America Spring",2,"North America Spring Promotion",0.05,"Seasonal Discount","Store",2007-01-01 00:00:00.000,2007-03-31 00:00:00.000
91,2007,2007,"North America Back-to-School",3,"North America Back-to-School Promotion",0.1,"Seasonal Discount","Store",2007-07-01 00:00:00.000,2007-09-30 00:00:00.000
60,2007,2007,"North America Holiday",4,"North America Holiday Promotion",0.2,"Seasonal Discount","Store",2007-11-01 00:00:00.000,2007-12-31 00:00:00.000
91,2007,2008,"Asian Holiday",5,"Asian Holiday Promotion",0.15,"Seasonal Discount","Store",2007-11-01 00:00:00.000,2008-01-31 00:00:00.000
88,2007,2007,"Asian Spring",6,"Asian Spring Promotion",0.2,"Seasonal Discount","Store",2007-02-01 00:00:00.000,2007-04-30 00:00:00.000
60,2007,2007,"Asian Summer",7,"Asian Summer Promotion",0.1,"Seasonal Discount","Store",2007-05-01 00:00:00.000,2007-06-30 00:00:00.000
88,2007,2007,"European Spring",8,"European Spring Promotion",0.07,"Seasonal Discount","Store",2007-02-01 00:00:00.000,2007-04-30 00:00:00.000
60,2007,2007,"European Back-to-Scholl",9,"European Back-to-Scholl Promotion",0.1,"Seasonal Discount","Store",2007-08-01 00:00:00.000,2007-09-30 00:00:00.000
122,2007,2008,"European Holiday",10,"European Holiday Promotion",0.2,"Seasonal Discount","Store",2007-10-01 00:00:00.000,2008-01-31 00:00:00.000
90,2008,2008,"North America Spring",11,"North America Spring Promotion",0.05,"Seasonal Discount","Store",2008-01-01 00:00:00.000,2008-03-31 00:00:00.000
91,2008,2008,"North America Back-to-School",12,"North America Back-to-School Promotion",0.1,"Seasonal Discount","Store",2008-07-01 00:00:00.000,2008-09-30 00:00:00.000
60,2008,2008,"North America Holiday",13,"North America Holiday Promotion",0.2,"Seasonal Discount","Store",2008-11-01 00:00:00.000,2008-12-31 00:00:00.000
91,2008,2009,"Asian Holiday",14,"Asian Holiday Promotion",0.15,"Seasonal Discount","Store",2008-11-01 00:00:00.000,2009-01-31 00:00:00.000
89,2008,2008,"Asian Spring",15,"Asian Spring Promotion",0.2,"Seasonal Discount","Store",2008-02-01 00:00:00.000,2008-04-30 00:00:00.000
60,2008,2008,"Asian Summer",16,"Asian Summer Promotion",0.1,"Seasonal Discount","Store",2008-05-01 00:00:00.000,2008-06-30 00:00:00.000
89,2008,2008,"European Spring",17,"European Spring Promotion",0.07,"Seasonal Discount","Store",2008-02-01 00:00:00.000,2008-04-30 00:00:00.000
60,2008,2008,"European Back-to-Scholl",18,"European Back-to-Scholl Promotion",0.1,"Seasonal Discount","Store",2008-08-01 00:00:00.000,2008-09-30 00:00:00.000
122,2008,2009,"European Holiday",19,"European Holiday Promotion",0.2,"Seasonal Discount","Store",2008-10-01 00:00:00.000,2009-01-31 00:00:00.000
454,2009,2010,"North America Spring",20,"North America Spring Promotion",0.05,"Seasonal Discount","Store",2009-01-01 00:00:00.000,2010-03-31 00:00:00.000
91,2009,2009,"North America Back-to-School",21,"North America Back-to-School Promotion",0.1,"Seasonal Discount","Store",2009-07-01 00:00:00.000,2009-09-30 00:00:00.000
60,2009,2009,"North America Holiday",22,"North America Holiday Promotion",0.2,"Seasonal Discount","Store",2009-11-01 00:00:00.000,2009-12-31 00:00:00.000
91,2009,2010,"Asian Holiday",23,"Asian Holiday Promotion",0.15,"Seasonal Discount","Store",2009-11-01 00:00:00.000,2010-01-31 00:00:00.000
88,2009,2009,"Asian Spring",24,"Asian Spring Promotion",0.2,"Seasonal Discount","Store",2009-02-01 00:00:00.000,2009-04-30 00:00:00.000
60,2009,2009,"Asian Summer",25,"Asian Summer Promotion",0.1,"Seasonal Discount","Store",2009-05-01 00:00:00.000,2009-06-30 00:00:00.000
88,2009,2009,"European Spring",26,"European Spring Promotion",0.07,"Seasonal Discount","Store",2009-02-01 00:00:00.000,2009-04-30 00:00:00.000
60,2009,2009,"European Back-to-Scholl",27,"European Back-to-Scholl Promotion",0.1,"Seasonal Discount","Store",2009-08-01 00:00:00.000,2009-09-30 00:00:00.000
122,2009,2010,"European Holiday",28,"European Holiday Promotion",0.2,"Seasonal Discount","Store",2009-10-01 00:00:00.000,2010-01-31 00:00:00.000
