Strike,Date,Tribal Agency,Location,Latitude,Longitude,Time Period,Minimum All Targets,MaximumAllTargets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported FIred,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
"B10",2007-02-11 00:00:00.000,"NWA","Danda Darpakhel",33.037625,70.051998,"Afternoon",1,4,1,1,0,0,0,0,0,3,"4","2","2",5,10,0,0,0,0,6,12
"B33",2008-11-10 00:00:00.000,"NWA","Machis",33.00053,70.065479,"",1,1,1,1,0,0,0,0,0,0,"4","2","2",4,5,0,0,0,0,2,2
"B45",2008-05-12 00:00:00.000,"NWA","Kateera",32.931831,70.304504,"Afternoon or evening or night",1,1,1,1,0,0,0,0,0,0,"-","2","2",3,4,0,0,0,0,2,2
"Ob37",2009-09-29 00:00:00.000,"NWA","Sararogha",32.515823,70.02368,"Afternoon",1,1,1,1,0,0,0,0,0,0,"4","2","2",5,6,0,0,0,0,2,6
"Ob40",2009-10-15 00:00:00.000,"NWA","Danda Darpakhel",33.037625,70.051998,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","3",3,4,0,0,0,0,7,7
"Ob43",2009-05-11 00:00:00.000,"NWA","Norak",32.980948,70.171738,"Night",1,1,1,1,0,0,0,0,0,0,"-","2","2",4,6,0,0,0,0,8,8
"Ob44",2009-11-18 00:00:00.000,"NWA","Mohammad Khel",32.957221,69.885192,"Night",1,1,1,1,0,0,0,0,0,0,"-","2","2",3,6,0,0,0,0,2,15
"Ob46",2009-08-12 00:00:00.000,"NWA","Spalaga",32.923582,70.126977,"",1,2,0,1,0,0,0,0,1,1,"-","2","2",3,4,0,0,0,0,3,3
"Ob48",2009-12-17 00:00:00.000,"NWA","Datta Khel",32.909136,69.76078,"Night or morning",1,4,1,3,0,0,0,0,0,1,"3","2","8",2,2,0,0,0,0,0,0
"Ob53",2010-01-01 00:00:00.000,"NWA","Murbarak Shahi",32.957617,70.168476,"Morning or evening",1,1,0,0,0,0,0,0,1,1,"-","2","2",2,3,0,0,0,0,3,4
"Ob58",2010-09-01 00:00:00.000,"NWA","Ismail Khel",32.967555,69.692245,"Evening",1,1,1,1,0,0,0,0,0,0,"-","2","2",4,5,0,0,0,0,5,5
"Ob63",2010-01-19 00:00:00.000,"NWA","Deegan",32.960354,69.867332,"Evening",1,2,1,1,0,0,0,0,0,1,"-","2","2",5,9,0,0,0,0,4,4
"Ob71",2010-02-17 00:00:00.000,"NWA","Tapi Tool",33.100098,70.041575,"Morning",1,1,1,1,0,0,0,0,0,0,"-","2","2",4,4,0,0,0,0,2,3
"Ob80",2010-03-21 00:00:00.000,"NWA","Sanzali",32.963091,69.593711,"Evening",1,2,1,1,0,0,0,0,0,1,"3","2","2",5,8,0,0,0,0,0,0
"Ob85",2010-04-14 00:00:00.000,"NWA","Deegan",32.960354,69.867332,"Evening",1,1,0,0,0,0,0,0,1,1,"-","2","2",4,5,0,0,0,0,1,3
"Ob100",2010-06-27 00:00:00.000,"NWA","Tapi Tool",33.100098,70.041575,"Afternoon",1,2,1,1,0,0,0,0,0,1,"-","2","2",5,6,0,0,0,0,4,4
"Ob105",2010-07-25 00:00:00.000,"NWA","Tapi Tool",33.100098,70.041575,"Evening",1,1,1,1,0,0,0,0,0,0,"-","2","2",4,12,0,0,0,0,2,4
"Ob114",2010-03-09 00:00:00.000,"NWA","Machis",33.00053,70.065479,"Evening",1,1,1,1,0,0,0,0,0,0,"4","2","2",6,9,0,0,0,0,2,3
"Ob120",2010-08-09 00:00:00.000,"NWA","Danda Darpakhel",33.037625,70.051998,"Evening",1,1,1,1,0,0,0,0,0,0,"-","2","3",10,10,0,0,0,0,2,5
"Ob121",2010-09-09 00:00:00.000,"NWA","Machis",33.00053,70.065479,"Night",1,1,1,1,0,0,0,0,0,0,"-","2","3",3,6,0,0,0,0,3,5
"Ob122",2010-12-09 00:00:00.000,"NWA","Newey Adda",32.905893,69.749022,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","2",5,7,0,0,0,0,2,3
"Ob124",2010-09-14 00:00:00.000,"NWA","Qutab Khel",32.968833,70.059299,"Evening",1,1,0,0,0,0,0,0,1,1,"-","2","2",1,4,0,0,0,0,4,4
"Ob135",2010-09-27 00:00:00.000,"NWA","Khushali",32.938927,70.247355,"Afternoon",1,1,1,1,0,0,0,0,0,0,"4","2","3",3,4,0,0,0,0,0,0
"Ob137",2010-02-10 00:00:00.000,"NWA","Inzarkas",32.97355,69.62063,"Morning",1,1,1,1,0,0,0,0,0,0,"4","2","4",8,10,0,0,0,0,2,4
"Ob140",2010-06-10 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Afternoon",1,2,1,1,0,0,0,0,0,1,"3","2","2",5,11,0,0,0,0,4,4
"Ob141",2010-06-10 00:00:00.000,"NWA","Hurmuz",32.97175,70.269263,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","2",3,5,0,0,0,0,3,3
"Ob142",2010-07-10 00:00:00.000,"NWA","Khaisoori",32.876181,70.241282,"Afternoon",1,2,0,1,0,0,0,0,1,1,"-","2","2",4,4,0,0,0,0,2,2
"Ob145",2010-10-10 00:00:00.000,"NWA","Spinwan",33.173695,70.401978,"Morning",1,3,0,1,0,0,0,0,1,2,"3","2","4",4,9,0,0,0,0,3,3
"Ob148",2010-10-15 00:00:00.000,"NWA","Machi Khel",33.030398,70.247011,"Afternoon",1,1,0,0,0,0,0,0,1,1,"-","2","2",3,5,0,0,0,0,0,0
"Ob151",2010-10-27 00:00:00.000,"NWA","Deegan",32.960354,69.867332,"Afternoon",1,0,0,0,0,0,0,0,1,0,"-","2","2",2,4,0,0,0,0,1,1
"Ob154",2010-03-11 00:00:00.000,"NWA","Qutab Khel",32.968833,70.059299,"Afternoon",1,3,0,1,0,0,0,0,1,2,"2","2","4",4,5,0,0,0,0,0,0
"Ob155",2010-03-11 00:00:00.000,"NWA","Khaso Khel",32.953548,70.26701,"Evening",1,2,0,1,0,0,0,0,1,1,"-","2","3",4,5,0,0,0,0,0,0
"Ob156",2010-03-11 00:00:00.000,"NWA","Pai Khel",32.971084,69.839566,"Evening",1,1,0,0,0,0,0,0,1,1,"-","2","4",4,5,0,0,0,0,0,0
"Ob157",2010-07-11 00:00:00.000,"NWA","Ghulam Khan",33.133778,70.034065,"Evening",1,1,0,0,0,0,0,0,1,1,"2","2","5",8,9,0,0,0,0,2,2
"Ob158",2010-07-11 00:00:00.000,"NWA","Maizer",32.906109,69.748807,"Evening",1,1,0,0,0,0,0,0,1,1,"-","2","2",3,6,0,0,0,0,1,4
"Ob162",2010-11-19 00:00:00.000,"NWA","Norak",32.980948,70.171738,"Afternoon",1,1,0,0,0,0,0,0,1,1,"-","2","4",2,4,0,0,0,0,1,1
"Ob164",2010-11-22 00:00:00.000,"NWA","Khaisoori",32.876181,70.241282,"Evening",1,2,0,0,0,0,0,0,1,2,"-","2","2",3,6,0,0,0,0,2,3
"Ob169",2010-10-12 00:00:00.000,"NWA","Khadar Khel",32.97355,69.62063,"Afternoon",1,2,0,1,0,0,0,0,1,1,"-","2","4",4,4,0,0,0,0,2,2
"Ob176",2010-12-27 00:00:00.000,"NWA","Machi Khel",33.030398,70.247011,"",1,1,0,0,0,0,0,0,1,1,"-","2","4",4,4,0,0,0,0,0,0
"Ob177",2010-12-28 00:00:00.000,"NWA","Ghulam Khan",33.133778,70.034065,"Morning",1,2,1,2,0,0,0,0,0,0,"4","2","4",5,7,0,0,0,0,2,2
"Ob180",2010-12-31 00:00:00.000,"NWA","Ghulam Khan",33.133778,70.034065,"Afternoon",1,1,0,0,0,0,0,0,1,1,"-","2","2",4,8,0,0,0,0,0,0
"Ob182",2011-01-01 00:00:00.000,"NWA","Mandi Khel",33.045112,70.32913,"Morning",1,1,1,1,0,0,0,0,0,0,"-","2","2",4,6,0,0,0,0,0,0
"Ob186",2011-12-01 00:00:00.000,"NWA","Haider Khel",32.945661,70.317135,"Morning",1,1,1,1,0,0,0,0,0,0,"3","2","2",3,6,0,0,0,0,2,15
"Ob187",2011-01-18 00:00:00.000,"NWA","Dashgah",32.905515,69.74885,"Evening",1,1,1,1,0,0,0,0,0,0,"-","2","3",3,7,0,0,0,0,3,3
"Ob195",2011-09-03 00:00:00.000,"NWA","Ismail Khel",32.967555,69.692245,"",1,1,1,1,0,0,0,0,0,0,"-","2","2",5,5,0,0,0,0,2,3
"Ob200",2011-03-14 00:00:00.000,"NWA","Isha Check Point",32.966934,70.111426,"Morning",1,1,0,0,0,0,0,0,1,1,"-","2","6",3,6,0,0,0,0,0,0
"Ob207",2011-12-05 00:00:00.000,"NWA","Sanzali",32.963091,69.593711,"",1,1,0,0,0,0,0,0,1,1,"-","2","4",5,8,0,0,0,0,1,1
"Ob208",2011-05-13 00:00:00.000,"NWA","Doga Mada Khel",32.909136,69.76078,"",1,1,0,0,0,0,0,0,1,1,"-","2","4",3,5,0,0,0,0,0,0
"Ob209",2011-05-16 00:00:00.000,"NWA","Aimarki",32.971444,70.278168,"",1,2,1,1,0,1,0,0,0,0,"4","2","2",4,10,0,0,0,0,2,4
"Ob210",2011-05-16 00:00:00.000,"NWA","Sandasa Village",32.913063,70.256968,"",1,1,0,0,0,0,0,0,1,1,"-","2","2",3,6,0,0,0,0,0,0
"Ob212",2011-05-23 00:00:00.000,"NWA","Machi Khel",33.030398,70.247011,"Afternoon",1,1,0,0,0,0,0,0,1,1,"-","2","4",4,7,0,0,0,0,2,2
"Ob217",2011-08-06 00:00:00.000,"NWA","Zoynari",32.61581,69.489212,"Morning",1,1,1,1,0,0,0,0,0,0,"4","2","5",18,23,0,0,0,0,6,6
"Ob224",2011-06-27 00:00:00.000,"NWA","Shawal NWA",32.61581,69.489212,"Afternoon or evening",1,2,0,0,0,0,0,0,1,2,"-","2","4",6,12,0,0,0,0,0,0
"Ob232",2011-07-20 00:00:00.000,"NWA","Khushali",32.938927,70.247355,"",1,1,1,1,0,0,0,0,0,0,"4","2","2",4,4,0,0,0,0,2,2
"Ob240",2011-09-23 00:00:00.000,"NWA","Khushali",32.938927,70.247355,"Evening",1,2,1,1,0,0,0,0,0,1,"4","2","5",3,8,0,0,0,0,3,4
"Ob245",2011-10-14 00:00:00.000,"NWA","Darpa Khel",32.987644,70.050845,"Afternoon",1,1,0,0,0,0,0,0,1,1,"-","2","2",3,6,0,0,0,0,0,0
"Ob252",2011-03-11 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Afternoon",1,1,1,1,0,0,0,0,0,0,"4","2","2",2,3,0,0,0,0,3,3
"Ob253",2011-11-15 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","2",3,7,0,0,0,0,2,4
"Ob256",2012-10-01 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","2",1,4,0,0,0,0,2,2
"Ob258",2012-01-23 00:00:00.000,"NWA","Deegan",32.960354,69.867332,"Morning",1,1,0,0,0,0,0,0,1,1,"-","2","2",2,5,0,0,0,0,1,3
"Ob259",2012-01-23 00:00:00.000,"NWA","Datta Khel",32.909136,69.76078,"Morning",1,1,1,1,0,0,0,0,0,0,"-","2","2",0,2,0,0,0,0,0,0
"Ob260",2012-08-02 00:00:00.000,"NWA","Tappi",32.94694,70.147083,"Morning",1,1,1,1,0,0,0,0,0,0,"4","2","2",9,10,0,0,0,0,2,12
"Ob262",2012-02-16 00:00:00.000,"NWA","Spalaga",32.923582,70.126977,"Morning",1,1,1,1,0,0,0,0,0,0,"4","2","2",5,6,0,0,0,0,4,7
"Ob268",2012-03-30 00:00:00.000,"NWA","Miram Shah",33.00053,70.065479,"Night",1,7,1,1,0,0,0,6,0,0,"4","2","2",3,4,0,0,0,0,3,3
"Ob270",2012-05-05 00:00:00.000,"NWA","Darnashtra",32.540735,69.436512,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","4",8,10,0,0,0,0,1,3
"Ob279",2012-06-13 00:00:00.000,"NWA","Isha Check Point",32.966934,70.111426,"Evening",1,2,0,0,0,0,0,0,1,2,"-","2","3",2,4,0,0,0,0,0,0
"Ob281",2012-06-26 00:00:00.000,"NWA","Darnashtra",32.540735,69.436512,"Evening",1,1,1,1,0,0,0,0,0,0,"4","2","2",4,7,0,0,0,0,2,7
"Ob282",2012-01-07 00:00:00.000,"NWA","Darnashtra",32.540735,69.436512,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","2",6,9,0,0,0,0,2,3
"Ob290",2012-08-24 00:00:00.000,"NWA","Shawal NWA",32.61581,69.489212,"Morning",1,1,1,1,0,0,0,0,0,0,"4","2","12",13,22,0,0,0,0,4,14
"Ob294",2012-09-21 00:00:00.000,"NWA","Mohammad Khel",32.957221,69.885192,"Morning",1,2,0,0,0,0,0,0,1,2,"-","2","3",3,4,0,0,0,0,2,3
"Ob295",2012-09-24 00:00:00.000,"NWA","Mosaki",32.965701,70.274498,"Evening",1,2,1,1,0,0,0,1,0,0,"3","2","2",3,8,0,0,0,0,2,2
"Ob304",2012-12-21 00:00:00.000,"NWA","Hisokhel",32.954322,70.266516,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","2",3,6,0,0,0,0,2,2
"Ob305",2012-12-29 00:00:00.000,"NWA","Shawal NWA",32.61581,69.489212,"",1,1,1,1,0,0,0,0,0,0,"-","2","8",4,5,0,0,0,0,2,2
"Ob307",2013-03-01 00:00:00.000,"NWA","Murbarak Shahi",32.957617,70.168476,"Morning",1,1,0,0,0,0,0,0,1,1,"-","2","2",3,6,0,0,0,0,1,1
"Ob310",2013-08-01 00:00:00.000,"NWA","Hisokhel",32.954322,70.266516,"Night",1,1,1,1,0,0,0,0,0,0,"-","2","11",0,9,0,0,0,0,1,4
"Ob311",2013-10-01 00:00:00.000,"NWA","Khushali",32.938927,70.247355,"Morning",1,2,1,1,0,0,0,0,0,1,"4","2","4",3,6,0,0,0,0,0,0
"Ob314",2013-10-03 00:00:00.000,"NWA","Mohammad Khel",32.957221,69.885192,"Morning",1,2,1,1,0,0,0,0,0,1,"4","2","2",1,3,0,0,0,0,1,1
"Ob316",2013-04-14 00:00:00.000,"NWA","Datta Khel",32.909136,69.76078,"Evening",1,2,1,1,0,0,0,0,0,1,"4","2","3",4,6,0,0,0,0,2,2
"Ob318",2013-05-29 00:00:00.000,"NWA","Chashma",32.97573705,70.0818193,"Night",1,1,1,1,0,0,0,0,0,0,"3","2","2",3,7,0,0,0,0,1,4
"Ob319",2013-07-06 00:00:00.000,"NWA","Shawal NWA",32.61581,69.489212,"Night",1,2,1,1,0,0,0,0,0,1,"4","2","2",7,10,0,0,0,0,3,4
"Ob320",2013-03-07 00:00:00.000,"NWA","Danda Darpakhel",33.037625,70.051998,"Night",1,4,1,2,0,0,0,0,0,2,"4","2","4",16,18,0,0,0,0,5,5
"Ob321",2013-07-13 00:00:00.000,"NWA","Mosaki",32.965701,70.274498,"Afternoon or night",1,2,0,1,0,0,0,0,1,1,"2","2","2",2,3,0,0,0,0,0,0
"Ob324",2013-06-09 00:00:00.000,"NWA","Darga Mandi",33.040435,70.047863,"Night",1,1,1,1,0,0,0,0,0,0,"4","2","3",5,7,0,0,0,0,3,7
