Country,Year,Ranking,Rnk
United States,2006,2,-2
China,1998,2,-2
Russian Federation,2005,3,-3
China,2002,2,-2
Russian Federation,2010,4,-4
United States,2002,1,-1
China,2008,1,-1
India,2003,4,-4
Russian Federation,2001,3,-3
China,2010,1,-1
India,2001,4,-4
China,2007,1,-1
Japan,2009,5,-5
China,2003,2,-2
Japan,2004,5,-5
India,2000,5,-5
Japan,2000,4,-4
India,2005,4,-4
Japan,1999,4,-4
Russian Federation,2003,3,-3
United States,2000,1,-1
India,2004,4,-4
Russian Federation,1998,3,-3
India,1998,5,-5
China,2005,2,-2
Russian Federation,2009,4,-4
India,2010,3,-3
Russian Federation,2000,3,-3
Russian Federation,2002,3,-3
United States,2003,1,-1
Japan,1998,4,-4
India,2009,3,-3
United States,2009,2,-2
India,2008,3,-3
China,2011,1,-1
Russian Federation,2006,3,-3
China,2001,2,-2
United States,2001,1,-1
China,2006,1,-1
Russian Federation,2011,4,-4
China,2004,2,-2
India,2006,4,-4
Japan,2006,5,-5
Japan,2011,5,-5
Japan,2010,5,-5
United States,1999,1,-1
United States,2011,2,-2
India,2011,3,-3
United States,2010,2,-2
Russian Federation,2004,3,-3
United States,2008,2,-2
Japan,2001,5,-5
Japan,2005,5,-5
China,2009,1,-1
India,2002,4,-4
Japan,2008,5,-5
Japan,2003,5,-5
India,2007,3,-3
India,1999,5,-5
Russian Federation,1999,3,-3
Japan,2007,5,-5
China,1999,2,-2
Russian Federation,2008,4,-4
United States,2005,1,-1
China,2000,2,-2
United States,2007,2,-2
United States,2004,1,-1
Japan,2002,5,-5
United States,1998,1,-1
Russian Federation,2007,4,-4
