Borough,Incident Zip,Latitude (generated),Longitude (generated),Number of Records
"STATEN ISLAND",10314,40.5844,-74.1599,831
"STATEN ISLAND",10306,40.5668,-74.1173,751
"STATEN ISLAND",10312,40.5403,-74.1686,602
"STATEN ISLAND",10304,40.6195,-74.0797,485
"STATEN ISLAND",10305,40.6113,-74.0696,458
"STATEN ISLAND",10301,40.6406,-74.0817,433
"STATEN ISLAND",10303,40.6301,-74.1582,399
"STATEN ISLAND",10461,40.8474,-73.8309,1
"STATEN ISLAND",10310,40.6342,-74.1193,394
"STATEN ISLAND",10302,40.6314,-74.1382,331
"STATEN ISLAND",10308,40.5472,-74.15,298
"STATEN ISLAND",10309,40.5436,-74.2138,284
"STATEN ISLAND",10307,40.5086,-74.244,134
"QUEENS",11385,40.7037,-73.9065,1770
"QUEENS",11237,40.7024,-73.9198,7
"QUEENS",11208,40.6734,-73.8702,4
"QUEENS",11377,40.7453,-73.9047,934
"QUEENS",11433,40.6989,-73.7889,656
"QUEENS",11101,40.7504,-73.9448,637
"QUEENS",11368,40.7501,-73.8631,581
"QUEENS",11373,40.7424,-73.8789,580
"QUEENS",11435,40.7125,-73.816,549
"QUEENS",11412,40.6939,-73.7586,531
"QUEENS",11372,40.7511,-73.8853,505
"QUEENS",11434,40.6793,-73.774,501
"QUEENS",11432,40.711,-73.7931,487
"QUEENS",11103,40.7624,-73.9143,471
"QUEENS",11378,40.7265,-73.8987,464
"QUEENS",11379,40.7231,-73.8745,414
"QUEENS",11419,40.6881,-73.8241,354
"QUEENS",11420,40.6763,-73.8171,348
"QUEENS",11417,40.6768,-73.8435,328
"QUEENS",11374,40.7291,-73.8606,325
"QUEENS",11106,40.762,-73.9279,311
"QUEENS",11357,40.7922,-73.8125,303
"QUEENS",11418,40.7007,-73.8372,298
"QUEENS",11413,40.6738,-73.7496,278
"QUEENS",11375,40.7258,-73.8457,271
"QUEENS",11355,40.756,-73.8256,259
"QUEENS",11436,40.6732,-73.7955,256
"QUEENS",11691,40.6005,-73.7536,250
"QUEENS",11429,40.7099,-73.7358,224
"QUEENS",11416,40.6835,-73.8493,219
"QUEENS",11104,40.7429,-73.9219,213
"QUEENS",11421,40.6931,-73.8544,209
"QUEENS",11370,40.7656,-73.8925,206
"QUEENS",11105,40.7785,-73.9138,205
"QUEENS",11361,40.7625,-73.7696,189
"QUEENS",11423,40.7164,-73.7659,188
"QUEENS",11354,40.7663,-73.826,185
"QUEENS",11414,40.6632,-73.8493,181
"QUEENS",11369,40.7612,-73.8737,179
"QUEENS",11102,40.7707,-73.925,172
"QUEENS",11367,40.7248,-73.8173,134
"QUEENS",11358,40.7586,-73.8012,126
"QUEENS",11422,40.6668,-73.7339,122
"QUEENS",11411,40.6942,-73.7377,114
"QUEENS",11426,40.7292,-73.7242,109
"QUEENS",11365,40.7405,-73.7842,94
"QUEENS",11356,40.7855,-73.8456,89
"QUEENS",11692,40.5933,-73.7917,84
"QUEENS",11694,40.5802,-73.8322,79
"QUEENS",11427,40.7249,-73.7558,76
"QUEENS",11428,40.7228,-73.7376,71
"QUEENS",11693,40.5876,-73.8124,69
"QUEENS",11415,40.7076,-73.8295,69
"QUEENS",11364,40.7438,-73.7606,67
"QUEENS",11001,40.7335,-73.7061,48
"QUEENS",11366,40.7251,-73.8028,47
"QUEENS",11362,40.7584,-73.7362,44
"QUEENS",11360,40.7814,-73.7784,38
"QUEENS",11004,40.743,-73.7096,26
"QUEENS",11363,40.7714,-73.7453,22
"QUEENS",11430,40.6556,-73.8066,12
"QUEENS",11040,40.7326,-73.6864,9
"QUEENS",11697,40.558,-73.9179,1
"QUEENS",11109,40.7481,-73.9564,1
"MANHATTAN",10025,40.7981,-73.9669,2668
"MANHATTAN",10031,40.8249,-73.9501,1617
"MANHATTAN",11217,40.6827,-73.9784,1
"MANHATTAN",10027,40.8113,-73.949,1540
"MANHATTAN",10002,40.7155,-73.9901,1477
"MANHATTAN",10024,40.786,-73.9759,1428
"MANHATTAN",10026,40.8021,-73.953,1371
"MANHATTAN",10128,40.7802,-73.9504,1326
"MANHATTAN",10009,40.7267,-73.9797,1276
"MANHATTAN",10029,40.7929,-73.9443,1234
"MANHATTAN",10032,40.8385,-73.9422,1145
"MANHATTAN",10033,40.8505,-73.9354,1063
"MANHATTAN",10463,40.8753,-73.9121,16
"MANHATTAN",10030,40.819,-73.9431,857
"MANHATTAN",10023,40.7759,-73.9817,852
"MANHATTAN",10035,40.8013,-73.9378,836
"MANHATTAN",10034,40.8668,-73.9209,831
"MANHATTAN",10013,40.7194,-74.003,719
"MANHATTAN",10003,40.7312,-73.9888,711
"MANHATTAN",10028,40.776,-73.952,701
"MANHATTAN",10040,40.8589,-73.9311,688
"MANHATTAN",10011,40.7393,-73.9989,671
"MANHATTAN",10014,40.7343,-74.006,651
"MANHATTAN",10012,40.7256,-73.9992,582
"MANHATTAN",10036,40.7588,-73.9932,568
"MANHATTAN",10019,40.7645,-73.9842,480
"MANHATTAN",10001,40.7491,-73.9924,459
"MANHATTAN",10016,40.7451,-73.9793,458
"MANHATTAN",10022,40.7584,-73.9687,393
"MANHATTAN",10021,40.7703,-73.9585,381
"MANHATTAN",10010,40.74,-73.9855,376
"MANHATTAN",10038,40.7102,-74.0032,374
"MANHATTAN",10039,40.826,-73.9372,347
"MANHATTAN",10007,40.7133,-74.0084,278
"MANHATTAN",10065,40.7644,-73.964,276
"MANHATTAN",10037,40.8146,-73.9365,275
"MANHATTAN",10075,40.7742,-73.9556,257
"MANHATTAN",10018,40.7534,-73.9905,150
"MANHATTAN",10006,40.7063,-74.0134,108
