Gender,Year,Population
"Female",1950,1111768
"Female",1951,1144840
"Female",1952,1177011
"Female",1953,1210449
"Female",1954,1246508
"Female",1955,1285730
"Female",1956,1327796
"Female",1957,1371574
"Female",1958,1415266
"Female",1959,1456651
"Female",1960,1493818
"Female",1961,1525944
"Female",1962,1553977
"Female",1963,1580928
"Female",1964,1611047
"Female",1965,1647376
"Female",1966,1691137
"Female",1967,1741424
"Female",1968,1796567
"Female",1969,1853934
"Female",1970,1911666
"Female",1971,1969386
"Female",1972,2027945
"Female",1973,2088169
"Female",1974,2151322
"Female",1975,2218357
"Female",1976,2289493
"Female",1977,2364535
"Female",1978,2443538
"Female",1979,2526465
"Female",1980,2613288
"Female",1981,2700588
"Female",1982,2787662
"Female",1983,2880022
"Female",1984,2985340
"Female",1985,3107024
"Female",1986,3255057
"Female",1987,3423018
"Female",1988,3578751
"Female",1989,3678608
"Female",1990,3695132
"Female",1991,3609239
"Female",1992,3440105
"Female",1993,3245065
"Female",1994,3104306
"Female",1995,3073592
"Female",1996,3176147
"Female",1997,3389771
"Female",1998,3669258
"Female",1999,3947112
"Female",2000,4174550
"Female",2001,4337471
"Female",2002,4451751
"Female",2003,4534532
"Female",2004,4614190
"Female",2005,4711322
"Female",2006,4829202
"Female",2007,4959761
"Female",2008,5099117
"Female",2009,5240423
"Female",2010,5378724
"Female",2011,5513509
"Female",2012,5646991
"Female",2013,5780024
"Female",2014,5914059
"Female",2015,6050100
"Male",1950,-1074419
"Male",1951,-1105835
"Male",1952,-1136295
"Male",1953,-1167993
"Male",1954,-1202306
"Male",1955,-1239794
"Male",1956,-1280149
"Male",1957,-1322245
"Male",1958,-1364284
"Male",1959,-1404043
"Male",1960,-1439606
"Male",1961,-1470147
"Male",1962,-1496619
"Male",1963,-1522040
"Male",1964,-1550672
"Male",1965,-1585561
"Male",1966,-1627940
"Male",1967,-1676889
"Male",1968,-1730693
"Male",1969,-1786657
"Male",1970,-1842880
"Male",1971,-1898959
"Male",1972,-1955762
"Male",1973,-2014167
"Male",1974,-2075514
"Male",1975,-2140809
"Male",1976,-2210227
"Male",1977,-2283535
"Male",1978,-2360837
"Male",1979,-2442163
"Male",1980,-2527498
"Male",1981,-2613320
"Male",1982,-2698769
"Male",1983,-2789229
"Male",1984,-2892216
"Male",1985,-3010942
"Male",1986,-3155537
"Male",1987,-3319372
"Male",1988,-3469324
"Male",1989,-3560489
"Male",1990,-3564608
"Male",1991,-3462154
"Male",1992,-3272819
"Male",1993,-3055293
"Male",1994,-2891681
"Male",1995,-2839163
"Male",1996,-2921541
"Male",1997,-3116347
"Male",1998,-3377938
"Male",1999,-3638031
"Male",2000,-3847325
"Male",2001,-3991642
"Male",2002,-4087278
"Male",2003,-4151937
"Male",2004,-4214766
"Male",2005,-4296908
"Male",2006,-4401839
"Male",2007,-4521322
"Male",2008,-4651197
"Male",2009,-4784171
"Male",2010,-4914945
"Male",2011,-5042920
"Male",2012,-5170359
"Male",2013,-5298071
"Male",2014,-5427485
"Male",2015,-5559566
