Variance,Close,Low,Date,High,Open,Volume
2.73,59.52,59.02,2013-11-01 00:00:00.000,61.75,61.25,1294954
1.46,60,58.96,2013-11-04 00:00:00.000,60.42,59.25,1131314
3.59,64,60.85,2013-11-05 00:00:00.000,64.44,61,2189273
1.99,65.13,63.5,2013-11-06 00:00:00.000,65.49,63.92,1955388
3.2,64,63.19,2013-11-07 00:00:00.000,66.39,65.73,5220942
1.58,64.45,63.52,2013-11-08 00:00:00.000,65.1,64.7,1336820
1.4,64.2,63.3,2013-11-11 00:00:00.000,64.7,64.28,793268
1.53,63.8,62.77,2013-11-12 00:00:00.000,64.3,64.21,697651
2.29,65.23,63.65,2013-11-13 00:00:00.000,65.94,64.06,1161450
2.4,65.57,63.59,2013-11-14 00:00:00.000,65.99,65.15,1519628
1.29,65.29,65.21,2013-11-15 00:00:00.000,66.5,65.39,1144405
4.28,61.73,61.4,2013-11-18 00:00:00.000,65.68,65.11,1393517
2.31,60.71,60.05,2013-11-19 00:00:00.000,62.36,61.99,989475
1.38,60.78,60.52,2013-11-20 00:00:00.000,61.9,60.88,349394
1.13,62.02,61.01,2013-11-21 00:00:00.000,62.14,61.24,362902
1.81,63.63,62,2013-11-22 00:00:00.000,63.81,62.59,619779
2.28,62.52,61.93,2013-11-25 00:00:00.000,64.21,63.5,363132
2.82,64.48,61.7,2013-11-26 00:00:00.000,64.52,62.18,866762
3.59,65.89,62.91,2013-11-27 00:00:00.000,66.5,62.91,735862
1.49,65.54,65,2013-11-29 00:00:00.000,66.49,65.8,333132
2.25,64.24,63.62,2013-12-02 00:00:00.000,65.87,64.63,528524
2.5,65.61,63.67,2013-12-03 00:00:00.000,66.17,63.91,451844
2.6,66.52,64.74,2013-12-04 00:00:00.000,67.34,65.15,691233
0.87,66.64,66.03,2013-12-05 00:00:00.000,66.9,66.07,292346
1.44,66.29,65.46,2013-12-06 00:00:00.000,66.9,66.78,663174
1.7,65.71,65.2,2013-12-09 00:00:00.000,66.9,66.25,518515
1.13,66.25,65.69,2013-12-10 00:00:00.000,66.82,65.69,206144
1.81,65.44,64.46,2013-12-11 00:00:00.000,66.27,66.25,269731
1.07,65.58,64.65,2013-12-12 00:00:00.000,65.72,65.32,269590
1.7,65.29,64.6,2013-12-13 00:00:00.000,66.3,65.14,307844
1.29,64.71,64.41,2013-12-16 00:00:00.000,65.7,64.66,326437
2.18,65.52,64.46,2013-12-17 00:00:00.000,66.64,64.81,453041
3.1,65.3,62.85,2013-12-18 00:00:00.000,65.95,65.21,495730
0.99,65.14,65.01,2013-12-19 00:00:00.000,66,66,432724
2.58,66.1,64.42,2013-12-20 00:00:00.000,67,65.65,867525
2.42,67.93,65.8,2013-12-23 00:00:00.000,68.22,66.1,474193
1.46,68.61,67.26,2013-12-24 00:00:00.000,68.72,67.85,80844
1.78,67.7,67.15,2013-12-26 00:00:00.000,68.93,68.66,191573
1.47,67.6,66.63,2013-12-27 00:00:00.000,68.1,67.91,209314
1.17,67.65,67.01,2013-12-30 00:00:00.000,68.18,67.72,254073
2.08,68.93,66.88,2013-12-31 00:00:00.000,68.96,67.22,318106
