Id,College Owner ID,Rating,College Name,Phone,College Site,Fax,Parent College ID,Website,College Number,Ticker Symbol,College Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created by ID,Modified by ID,Created Time,Modified Time,Billing Street,Shipping Street,Billing City,Shipping City,Billing State,Shipping State,Billing Code,Shipping Code,Billing Country,Shipping Country,Description,ERP System,Initial Contact Date,Student (FTE) Headcount,Institution Level,Status,College Mailing Street Name,College Mailing Street Two,College City,College State,College Zip Code,College,ERP Services,SIG Client,ContractStartDate,Contract End Date,Contract Monthly Rate,Current Hourly Rate-Onsite,Institution Type,Contract Loaded Rate (Expenses),Current Hourly Rate-Remote,Next Scheduled Increase Date,Special Group Rate,Next Schedule Rate-Onsite,Associated Institution ID,Project Domain Name,Contract Type,Contract Notes Special Provisions,Initital Date of Busines,Contract Rate Notes,PO Number,Total Contract Amount,NTE Amount,Other ERP Systems,Original Contract Date,Original Contract Rate,Send Invoices To,Maximum Travel Time,Contract2 Start Date,Contract2 End Date,Current2 Hourly Rate-Onsite,Contract2 Monthly Rate,Contract2 Next Increase Date,Contract2 Next Increase Rate,Contract2 Notes,IT Services,Reporting Services,Procurement Services,Vendor Selected,Currency,Exchange Rate,NDA,Background Check,Exclude from Client Lists,Last Activity Time,Meals Included,Test,PM,FICE,Next Schedule Rate-Remote,Next Renewal Date,Previous Renewal Date,New Renewal Status,Current2 Hourly Rate-Remote,Per Diem?,Full Per Diem Rate,Is There Per Diem?,Partial Per Diem Rate,Layout ID,PO Contact,Score,Positive Score,Negative Score,Positive Touch Point Score,Touch Point Score,Negative Touch Point Score,Tag,Survival Clause,Contract Survival Clause,Special Reporting Reqmts,PO Roll Notes,College Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time
"zcrm_210617000003382661","zcrm_210617000002355001","","A. T. Still University of Health Sciences","","","","","www.atsu.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,3141,"Professional","","800 W Jefferson Street","","Kirksville","MO","63501-1497","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","2477",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382662","zcrm_210617000002355001","","Abraham Baldwin Agricultural College","","","","","www.abac.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000000103005",2015-04-02 16:38:00.000,2017-04-06 09:25:00.000,"","","","","","",,"","","","","Banner",,3226,"Four Year","","ABAC 1 - 2802 Moore Highway","","Tifton","GA","31793-2601","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2017-04-06 09:25:00.000,"No","","","1541",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382663","zcrm_210617000002355001","","Academy of Art University","","","","","www.academyart.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,17871,"Four Year","","79 New Montgomery Street","","San Francisco","CA","94105-3410","","","No",,,,,"Proprietary",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","7531",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382665","zcrm_210617000002355001","","Adelphi University","","","","","www.adelphi.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,7645,"Four Year","","1 South Avenue, PO Box 701","","Garden City","NY","11530-0701","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","2666",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382666","zcrm_210617000002355001","","Adventist University of Health Sciences","","","","","www.adu.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2671,"Four Year","","671 Winyah Drive","","Orlando","FL","32803-1204","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","31155",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382667","zcrm_210617000002355001","","Air University","","","","","www.au.af.mil",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,54754,"Four Year","","55 LeMay Plaza South","","Maxwell AFB","AL","36112-6335","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","1001",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382668","zcrm_210617000002355001","","Alabama State University","","","","","www.alasu.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,5816,"Four Year","","915 S Jackson Street","","Montgomery","AL","36101-0271","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","1005",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382669","zcrm_210617000002355001","","Alamance Community College","","","","","www.alamancecc.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,4747,"Two Year","","1247 Jimmie Kerr Road/PO Box 8000","","Graham","NC","27253-8000","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","5463",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382671","zcrm_210617000002355001","","Albany Technical College","","","","","www.albanytech.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000000103005",2015-04-02 16:38:00.000,2017-04-06 10:00:00.000,"","","","","","",,"","","","","Banner",,3935,"Two Year","","1704 S Slappey Boulevard","","Albany","GA","31701-3587","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2017-04-06 10:00:00.000,"No","","","5601",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382672","zcrm_210617000002355001","","Albright College","","","","","www.albright.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,2264,"Four Year","","13th & Bern Streets, PO Box 15234","","Reading","PA","19612-5234","","","No",,,,,"Private",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","3229",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
"zcrm_210617000003382673","zcrm_210617000002355001","","Alcorn State University","","","","","www.alcorn.edu",0,"","","","",0,0,0,"zcrm_210617000002355001","zcrm_210617000002355001",2015-04-02 16:38:00.000,2015-04-02 16:38:00.000,"","","","","","",,"","","","","",,3950,"Four Year","","1000 ASU Drive, #359","","Alcorn State","MS","39096-7500","","","No",,,,,"Public",,,,"",,"","","","",,"","",,,"",,,"","",,,,,"",,"","","","","","","","","","No",2015-04-02 16:38:00.000,"No","","","2396",,,,"Not Due",,"",,"",,"","",0,0,0,0,0,0,"","","","","","",,,,""
