ID,Factory:,Order number,Client name,Order Status,Inspection Status
"e77fe04f","Factory A","Test1","Client A","test","Completed"
"d09c9542","Factory B","AAA0002","Client B","test","Completed"
"ae282d4e","Factory B","AAA0003","Client A","test","Unfinished"
"e29d8ec5","31ex55YX","test2","client 2","test","Unfinished"
"09da63b4","RAXfasfX","RE02","AAAA","2 - Embarcado",""
"2951dbfc","31ex55YX","test4","RRRR","test","Completed"
"55afba23","31ex55YX","test","test client","test","Unfinished"
"58c3c91c","S6HvS69G","X-110","PPPPP","2 - Embarcado",""
"6adebe8f","YyR21SRr","X124","FFFFF","2 - Embarcado","Completed"
"b0e64d2d","RAXfasfX","RE03","AAAA","2 - Embarcado","Completed"
"8015d052","S6HvS69G","X111","PPPPP","2 - Embarcado",""
"9ca5264a","31ex55YX","X114","TTTTT","1 - En proceso","Completed"
"4a1972e1","RAXfasfX","X119","RRRR","1 - En proceso",""
