ProductSubcategoryKey,SubcategoryName,ProductCategoryKey
22,"Cleaning Accessories",1
23,"Cookware",1
24,"Detergents",1
25,"Electricals",1
26,"Festive Decoratives",1
27,"Kitchen & Dining",1
28,"Biscuits and Snacks",2
29,"Bread and Baked Goods",2
30,"Cereals & Grains",2
31,"Dry Fruits",2
32,"Flours$ Atta and Others",2
33,"Health Drinks",2
34,"Exotic Vegetables",3
35,"Fruits",3
36,"Imported Fruits",3
37,"Vegetables",3
38,"Health Drinks",4
39,"Juices and Energy Drinks",4
40,"Mineral Water",4
41,"Soft Drinks",4
42,"Tea & Coffee",4
43,"School Supplies",5
44,"Toys & Games",5
45,"Baby Care",6
46,"Cosmetics",6
47,"Deos & Perfumes",6
48,"Assorted Dairy",7
49,"Bread and Baked Goods",7
50,"Cheese",7
