Product Key,ProductSubcategoryKey,ProductSKU,ProductName,Product Code,ProductDescription,Product Units,Product Style,ProductCost,ProductPrice
236,37,"HB-R720","Beans Cluster Gawar Units Qty","ACXU359","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",115.1,135.1
237,37,"HB-R956","Beans French Flat Selection Units Qty","ACXU360","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",115.44,135.44
238,37,"FR-M63B-38","Brinjal Bharta Units Qty","ACXU361","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",115.78,135.78
239,37,"FW-M423","Brinjal Green Round Units Qty","ACXU362","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",116.12,136.12
240,37,"FW-M762","Carrot Gajar","ACXU363","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",116.46,136.45999999999998
241,38,"SO-B909-L","Horlicks Healthdrink Standard Qty","ACXU364","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",116.8,136.8
242,38,"HL-U509-B","Horlicks Womens Caramel Jar Qty","ACXU365","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",117.14,137.14
243,38,"FR-R92R-62","Horlicks Health Drink Kesar Badam Box Qty","ACXU366","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",117.48,137.48000000000002
244,38,"FR-R92R-44","Horlicks Healthdrink Lite Regular Malt Jar Qty","ACXU367","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",117.82,137.82
245,38,"CH-0234","Mother's Horlicks Healthdrink Dha Refill Qty","ACXU368","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",118.16,138.16
246,38,"BK-T44U-60","Pediasure Complete & Balanced Nutrition Vanilla Box Qty","ACXU369","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",118.5,138.5
247,38,"BK-T79Y-46","Complan Healthdrink Kesar Badam Refill Qty","ACXU370","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",118.84,138.84
248,38,"BK-T79Y-50","Horlicks Junior 4-5-6 Original Box Qty","ACXU371","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",119.18,139.18
249,38,"BK-T79Y-54","Horlicks Junior 1-2-3 Original Jar Qty","ACXU372","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",119.52,139.51999999999998
250,38,"BK-T79Y-60","Complan Healthdrink Natural Rf","ACXU373","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",119.86,139.86
251,39,"BK-T18U-58","Real Juice Active Orange Qty","ACXU374","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",120.54,140.54000000000002
252,39,"BK-T18U-62","Real Juice Active Mix Fruit Tetrapack Qty","ACXU375","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",120.88,140.88
253,39,"BK-T18Y-44","Real Juice Pomegranate Qty","ACXU376","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",121.22,141.22
254,39,"BK-T18Y-50","Real Juice Fruit Power Mosambi Tetrapack Qty","ACXU377","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",121.56,141.56
255,39,"BK-T18Y-54","Paper Boat Juice Aamras Tetrapack Qty","ACXU378","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",121.9,141.9
256,39,"BK-T18Y-58","Ocean Fruit Water Crispy Apple Bottle Qty","ACXU379","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",122.24,142.24
257,39,"BK-T18Y-62","Ocean Fruit Water Peach&Passion Bottle Qty","ACXU380","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",122.58,142.57999999999998
258,39,"BK-T79U-46","Ocean Fruit Water Pink Guava Bottle Qty","ACXU381","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",122.92,142.92000000000002
259,39,"BK-T79U-50","Ocean Fruit Water Mango&Passion Bottle Qty","ACXU382","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",123.26,143.26
260,39,"BK-T79U-54","Rasna Fruit Plus Mango Packet","ACXU383","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",123.6,143.6
261,40,"BK-T79U-60","Aquafina Water Qty","ACXU384","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",123.94,143.94
262,40,"BK-T44U-46","Kinley Water","ACXU385","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",124.28,144.28
263,41,"BK-T44U-54","Mountain Dew Soft Drink Pet Qty","ACXU386","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",124.96,144.95999999999998
264,41,"BK-R79Y-40","Thums Up Soft Drink Pet 1.25l Qty","ACXU387","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",125.3,145.3
265,41,"BK-R79Y-42","Coca Cola Soft Drink Pet Qty","ACXU388","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",125.64,145.64
266,41,"BK-R79Y-44","Sprite Soft Drink Pet Qty","ACXU389","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",125.98,145.98000000000002
267,41,"BK-R79Y-48","Fanta Soft Drink Pet Qty","ACXU390","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",126.32,146.32
268,41,"BK-R19B-58","Mirinda Soft Drink Pet Qty","ACXU391","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",126.66,146.66
269,41,"BK-T18U-44","Sprite Soft Drink Can Qty","ACXU392","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",127,147
270,41,"BK-T18U-50","7 Up Soft Drink Qty","ACXU393","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",127.34,147.34
271,41,"BK-M38S-38","Pepsi Soft Drink Bottle Qty","ACXU394","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",127.68,147.68
272,41,"BK-M38S-40","Sprite Soft Drink","ACXU395","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",128.02,148.02
273,42,"TI-M267","Nestea Ice Tea Lemon Qty","ACXU396","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",128.36,148.36
274,42,"TI-M602","Lipton Ice Tea Lemon Packet Qty","ACXU397","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",128.7,148.7
275,42,"TI-M823","Lipton Tea Clear Green Mint Bags 20 Pieces/25 Pieces Qty","ACXU398","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",129.04,149.04
276,42,"TI-R092","Lipton Tea Bag Green Pure&Light Box 100 Pieces Qty","ACXU399","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","S",129.38,149.38
277,42,"TI-R628","Nescafe Classic Stabilo Qty","ACXU400","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",129.72,149.72
278,42,"TI-R982","Red Label Ctc Tea Packet Qty","ACXU401","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",130.06,150.06
279,42,"TI-T723","Tata Ctc Tea Premium Packet Qty","ACXU402","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","M",130.4,150.4
280,42,"PD-M282","Food Bazaar F&P Ctc Tea Family Packet Qty","ACXU403","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","U",130.74,150.74
281,42,"PD-M340","Tata Ctc Tea Gold Packet Qty","ACXU404","Air Tight, Flexible bottel, Long lasting fragnance","Bottel","0",131.08,151.08
