order_id,payment_sequential,payment_type,payment_installments,payment_value
"0573b5e23cbd798006520e1d5b4c6714",1,"boleto",1,5195
"8cd68144cdb62dc0d60848cf8616d2a4",1,"boleto",1,33066
"b69b9260e79a0da00e15f48de1bd2524",1,"boleto",1,28334
"00d8d65b666158b633f96054d31af43b",1,"boleto",1,13088
"32b1d8f3789a57f1f752e20ac7404b4c",1,"boleto",1,5660
"56c3277583e16009c925fdf116df420f",1,"boleto",1,3138
"1ffb3c1929b16d9c1aec1958e11b3e9b",1,"boleto",1,16604
"95442deb81a5d91c97c0df96b431634a",1,"boleto",1,36898
"10d9871bed9fb8d0887d3b9022edd1ff",1,"boleto",1,8414
"fc662bafa52d2ef16078f6f6141009d6",1,"boleto",1,9005
"55e2d723733c45033e71cb4d44690234",1,"boleto",1,8963
"4cb51127f19f7254b320efe1718477dd",1,"boleto",1,7710
"96de2b7f7f3c401fbee3eef068376da6",1,"boleto",1,3215
"f49cd89d6dad6dd5759ecf15dfe4bb19",1,"boleto",1,4700
"0fba53cb4e9429e38cd2750c32fa24a5",1,"boleto",1,5221
"68d7420c86be23f313c81a554320f986",1,"boleto",1,12188
"49d3db2a02106c24d6ef800bd8ad5546",1,"boleto",1,9017
"55779fa8fe072d9f8c92d672154558f2",1,"boleto",1,23366
"14d9794bbb53614d12cc2df6a045f82b",1,"boleto",1,11670
"31f8013402a0749b3ab433b1aee11754",1,"boleto",1,4219
"3597f6476c27b4e1cc2f58588116f8f5",1,"boleto",1,8514
"3b697a20d9e427646d92567910af6d57",1,"boleto",1,4546
"55c0b6b41ce482c3f77407ef43fc6bad",1,"boleto",1,2608
"aa600269bffea363cca75ad2d1908903",1,"boleto",1,9326
"279cc62fe9c5a9e6a7ad5a7536560944",1,"boleto",1,11656
"67c8c2016ddabf0059783eb44e921f99",1,"boleto",1,6854
"07d13d352c85dfbfa60dc56dea818335",1,"boleto",1,3262
"9d8065ae4c6f5725ee052d02ab00f64e",1,"boleto",1,8206
