Territory_ID,Target_amount,Quarter,Month,Year,RM_Targets_Name_ID,QTR/MTH/YR
53,0,2,4,2020,"International","242020"
53,0,2,5,2020,"International","252020"
53,0,2,6,2020,"International","262020"
53,0,3,7,2020,"International","372020"
53,0,3,8,2020,"International","382020"
53,0,3,9,2020,"International","392020"
53,0,4,10,2020,"International","4102020"
53,0,4,11,2020,"International","4112020"
53,0,4,12,2020,"International","4122020"
56,0,2,4,2020,"Latin America","242020"
56,0,2,5,2020,"Latin America","252020"
56,0,2,6,2020,"Latin America","262020"
56,0,3,7,2020,"Latin America","372020"
56,0,3,8,2020,"Latin America","382020"
56,0,3,9,2020,"Latin America","392020"
56,0,4,10,2020,"Latin America","4102020"
56,0,4,11,2020,"Latin America","4112020"
56,0,4,12,2020,"Latin America","4122020"
60,0,2,4,2020,"New Zealand","242020"
60,0,2,5,2020,"New Zealand","252020"
60,0,2,6,2020,"New Zealand","262020"
60,0,3,7,2020,"New Zealand","372020"
60,0,3,8,2020,"New Zealand","382020"
60,0,3,9,2020,"New Zealand","392020"
60,0,4,10,2020,"New Zealand","4102020"
60,0,4,11,2020,"New Zealand","4112020"
60,0,4,12,2020,"New Zealand","4122020"
13,0,2,4,2020,"New England","242020"
13,0,2,5,2020,"New England","252020"
13,0,2,6,2020,"New England","262020"
13,0,3,7,2020,"New England","372020"
13,0,3,8,2020,"New England","382020"
13,0,3,9,2020,"New England","392020"
13,0,4,10,2020,"New England","4102020"
13,0,4,11,2020,"New England","4112020"
13,0,4,12,2020,"New England","4122020"
16,0,2,4,2020,"Southern Central","242020"
16,0,2,5,2020,"Southern Central","252020"
16,0,2,6,2020,"Southern Central","262020"
16,0,3,7,2020,"Southern Central","372020"
16,0,3,8,2020,"Southern Central","382020"
16,0,3,9,2020,"Southern Central","392020"
16,0,4,10,2020,"Southern Central","4102020"
16,0,4,11,2020,"Southern Central","4112020"
16,0,4,12,2020,"Southern Central","4122020"
21,0,2,4,2020,"Central Region","242020"
21,0,2,5,2020,"Central Region","252020"
21,0,2,6,2020,"Central Region","262020"
21,0,3,7,2020,"Central Region","372020"
21,0,3,8,2020,"Central Region","382020"
21,0,3,9,2020,"Central Region","392020"
21,0,4,10,2020,"Central Region","4102020"
21,0,4,11,2020,"Central Region","4112020"
21,0,4,12,2020,"Central Region","4122020"
26,0,2,4,2020,"West Coast","242020"
26,0,2,5,2020,"West Coast","252020"
26,0,2,6,2020,"West Coast","262020"
26,0,3,7,2020,"West Coast","372020"
26,0,3,8,2020,"West Coast","382020"
26,0,3,9,2020,"West Coast","392020"
26,0,4,10,2020,"West Coast","4102020"
26,0,4,11,2020,"West Coast","4112020"
26,0,4,12,2020,"West Coast","4122020"
27,0,2,4,2020,"North Midwest Region","242020"
27,0,2,5,2020,"North Midwest Region","252020"
27,0,2,6,2020,"North Midwest Region","262020"
27,0,3,7,2020,"North Midwest Region","372020"
27,0,3,8,2020,"North Midwest Region","382020"
27,0,3,9,2020,"North Midwest Region","392020"
27,0,4,10,2020,"North Midwest Region","4102020"
27,0,4,11,2020,"North Midwest Region","4112020"
27,0,4,12,2020,"North Midwest Region","4122020"
56,0,1,1,2016,"Latin America","112016"
56,0,1,2,2016,"Latin America","122016"
56,0,1,3,2016,"Latin America","132016"
56,0,2,4,2016,"Latin America","242016"
56,0,2,5,2016,"Latin America","252016"
56,0,2,6,2016,"Latin America","262016"
60,0,1,1,2016,"New Zealand","112016"
60,0,1,2,2016,"New Zealand","122016"
60,0,1,3,2016,"New Zealand","132016"
13,0,1,1,2016,"New England","112016"
13,0,1,2,2016,"New England","122016"
13,0,1,3,2016,"New England","132016"
16,0,1,1,2016,"Southern Central","112016"
16,0,1,2,2016,"Southern Central","122016"
16,0,1,3,2016,"Southern Central","132016"
21,0,1,1,2016,"Central Region","112016"
21,0,1,2,2016,"Central Region","122016"
21,0,1,3,2016,"Central Region","132016"
26,0,1,1,2016,"West Coast","112016"
26,0,1,2,2016,"West Coast","122016"
26,0,1,3,2016,"West Coast","132016"
27,0,1,1,2016,"North Midwest Region","112016"
27,0,1,2,2016,"North Midwest Region","122016"
27,0,1,3,2016,"North Midwest Region","132016"
53,0,1,1,2016,"International","112016"
53,0,1,2,2016,"International","122016"
53,0,1,3,2016,"International","132016"
53,221030,1,1,2020,"International","112020"
53,442060,1,2,2020,"International","122020"
53,442060,1,3,2020,"International","132020"
56,187815.76,1,1,2020,"Latin America","112020"
56,150252.61,1,2,2020,"Latin America","122020"
56,150252.61,1,3,2020,"Latin America","132020"
60,423861,1,1,2020,"New Zealand","112020"
60,441621,1,2,2020,"New Zealand","122020"
60,461301,1,3,2020,"New Zealand","132020"
13,1209971,1,1,2020,"New England","112020"
13,1282362,1,2,2020,"New England","122020"
13,2010658,1,3,2020,"New England","132020"
16,400762,1,1,2020,"Southern Central","112020"
16,374802,1,2,2020,"Southern Central","122020"
16,265925,1,3,2020,"Southern Central","132020"
21,991294,1,1,2020,"Central Region","112020"
21,524483,1,2,2020,"Central Region","122020"
21,662198,1,3,2020,"Central Region","132020"
26,609886,1,1,2020,"West Coast","112020"
26,202585,1,2,2020,"West Coast","122020"
26,917408,1,3,2020,"West Coast","132020"
27,986876,1,1,2020,"North Midwest Region","112020"
27,892693,1,2,2020,"North Midwest Region","122020"
27,1214264,1,3,2020,"North Midwest Region","132020"
53,722476,2,6,2016,"International","262016"
53,830929,3,7,2016,"International","372016"
53,664790,3,8,2016,"International","382016"
53,664790,3,9,2016,"International","392016"
53,400465,4,10,2016,"International","4102016"
53,320398,4,11,2016,"International","4112016"
53,320398,4,12,2016,"International","4122016"
56,35073.96,3,7,2016,"Latin America","372016"
56,29228.3,3,8,2016,"Latin America","382016"
56,27766.89,3,9,2016,"Latin America","392016"
56,30735.2,4,10,2016,"Latin America","4102016"
56,22129.34,4,11,2016,"Latin America","4112016"
56,27046.97,4,12,2016,"Latin America","4122016"
60,197325,2,4,2016,"New Zealand","242016"
60,157865,2,5,2016,"New Zealand","252016"
60,157865,2,6,2016,"New Zealand","262016"
60,272319,3,7,2016,"New Zealand","372016"
60,217871,3,8,2016,"New Zealand","382016"
60,217871,3,9,2016,"New Zealand","392016"
60,322066,4,10,2016,"New Zealand","4102016"
60,257674,4,11,2016,"New Zealand","4112016"
60,257674,4,12,2016,"New Zealand","4122016"
13,1544906.72,2,4,2016,"New England","242016"
13,1294378.87,2,5,2016,"New England","252016"
