Loai,Year,Month,Segment,Category,Value,Timekey
Forecast,2016,Dec,Convenience,Urban,120710.4406,Dec 2016
Forecast.1,2016,Dec,Extreme,Urban,20868.84072,Dec 2016
Forecast.2,2016,Dec,Moderation,Urban,251155.7122,Dec 2016
Forecast.3,2016,Dec,Regular,Urban,689.7969225,Dec 2016
Forecast.4,2016,Nov,Convenience,Urban,129923.2814,Nov 2016
Forecast.5,2016,Nov,Extreme,Urban,46971.33037,Nov 2016
Forecast.6,2016,Nov,Moderation,Urban,322984.2215,Nov 2016
Forecast.7,2016,Nov,Regular,Urban,427.4372025,Nov 2016
Forecast.8,2016,Oct,Convenience,Urban,169468.7696,Oct 2016
Forecast.9,2016,Oct,Extreme,Urban,70793.02886,Oct 2016
Forecast.10,2016,Oct,Moderation,Urban,362385.6466,Oct 2016
Forecast.11,2016,Oct,Regular,Urban,2989.28376,Oct 2016
Forecast.12,2016,Sep,Convenience,Urban,219703.7363,Sep 2016
Forecast.13,2016,Sep,Extreme,Urban,11957.87523,Sep 2016
Forecast.14,2016,Sep,Moderation,Urban,529188.1249,Sep 2016
Forecast.15,2016,Sep,Regular,Urban,701.48442,Sep 2016
Forecast.16,2016,Aug,Convenience,Urban,333460.8569,Aug 2016
Forecast.17,2016,Aug,Extreme,Urban,10668.924,Aug 2016
Forecast.18,2016,Aug,Moderation,Urban,675144.698,Aug 2016
Forecast.19,2016,Aug,Regular,Urban,731.3103,Aug 2016
Forecast.20,2016,Jul,Convenience,Urban,345230.9632,Jul 2016
Forecast.21,2016,Jul,Extreme,Urban,14286.02201,Jul 2016
Forecast.22,2016,Jul,Moderation,Urban,642300.7198,Jul 2016
Forecast.23,2016,Jul,Regular,Urban,1381.096238,Jul 2016
Forecast.24,2016,Jun,Convenience,Urban,262211.9656,Jun 2016
Forecast.25,2016,Jun,Extreme,Urban,5340.80274,Jun 2016
Forecast.26,2016,Jun,Moderation,Urban,651766.3129,Jun 2016
Forecast.27,2016,Jun,Regular,Urban,151.17039,Jun 2016
Forecast.28,2016,May,Convenience,Urban,276318.0256,May 2016
Forecast.29,2016,May,Extreme,Urban,7842.956888,May 2016
Forecast.30,2016,May,Moderation,Urban,644168.8923,May 2016
Forecast.31,2016,May,Regular,Urban,682.89984,May 2016
Forecast.32,2016,Apr,Convenience,Urban,351049.3899,Apr 2016
Forecast.33,2016,Apr,Extreme,Urban,12343.00573,Apr 2016
Forecast.34,2016,Apr,Moderation,Urban,714907.2475,Apr 2016
Forecast.35,2016,Apr,Regular,Urban,1028.908721,Apr 2016
Forecast.36,2016,Mar,Convenience,Urban,343660.2303,Mar 2016
Forecast.37,2016,Mar,Extreme,Urban,17582.20144,Mar 2016
Forecast.38,2016,Mar,Moderation,Urban,713162.972,Mar 2016
Forecast.39,2016,Mar,Regular,Urban,395.11395,Mar 2016
Forecast.40,2016,Feb,Convenience,Urban,148965.7223,Feb 2016
Forecast.41,2016,Feb,Extreme,Urban,14749.0644,Feb 2016
Forecast.42,2016,Feb,Moderation,Urban,346228.3122,Feb 2016
Forecast.43,2016,Feb,Regular,Urban,451.677761,Feb 2016
Forecast.44,2016,Jan,Convenience,Urban,121859.4459,Jan 2016
Forecast.45,2016,Jan,Extreme,Urban,18247.11252,Jan 2016
Forecast.46,2016,Jan,Moderation,Urban,292661.6849,Jan 2016
Forecast.47,2016,Jan,Regular,Urban,405.25947,Jan 2016
Budget,2016,Dec,Convenience,Urban,125587.6301,Dec 2016
Budget.1,2016,Dec,Extreme,Urban,20868.84072,Dec 2016
Budget.2,2016,Dec,Moderation,Urban,243695.6416,Dec 2016
