Cost Center,Expense Description,Date,BG - USD,Currency
"Finance","Indirect Labor Salaried Overtime",2021-01-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Salaried Overtime",2021-02-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Salaried Overtime",2021-03-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Salaried Overtime",2021-04-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Salaried Overtime",2021-05-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Salaried Overtime",2021-06-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Salaried Overtime",2021-07-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Salaried Overtime",2021-08-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Salaried Overtime",2021-09-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Salaried Overtime",2021-10-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Salaried Overtime",2021-11-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Salaried Overtime",2021-12-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Base",2021-01-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Base",2021-02-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Base",2021-03-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Base",2021-04-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Base",2021-05-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Base",2021-06-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Base",2021-07-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Base",2021-08-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Base",2021-09-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Base",2021-10-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Base",2021-11-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Base",2021-12-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Overtime",2021-01-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Overtime",2021-02-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Overtime",2021-03-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Overtime",2021-04-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Overtime",2021-05-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Overtime",2021-06-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Overtime",2021-07-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Overtime",2021-08-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Overtime",2021-09-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Overtime",2021-10-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Overtime",2021-11-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Sourly Overtime",2021-12-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Hourly Overtime",2021-01-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Hourly Overtime",2021-02-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Hourly Overtime",2021-03-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Hourly Overtime",2021-04-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Hourly Overtime",2021-05-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Hourly Overtime",2021-06-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Hourly Overtime",2021-07-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Hourly Overtime",2021-08-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Hourly Overtime",2021-09-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Hourly Overtime",2021-10-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Hourly Overtime",2021-11-01 00:00:00.000,0,"USD"
"Finance","Indirect Labor Hourly Overtime",2021-12-01 00:00:00.000,0,"USD"
"Finance","Personal contratado Fijo",2021-01-01 00:00:00.000,0,"USD"
"Finance","Personal contratado Fijo",2021-02-01 00:00:00.000,0,"USD"
"Finance","Personal contratado Fijo",2021-03-01 00:00:00.000,0,"USD"
"Finance","Personal contratado Fijo",2021-04-01 00:00:00.000,0,"USD"
"Finance","Personal contratado Fijo",2021-05-01 00:00:00.000,0,"USD"
"Finance","Personal contratado Fijo",2021-06-01 00:00:00.000,0,"USD"
"Finance","Personal contratado Fijo",2021-07-01 00:00:00.000,0,"USD"
"Finance","Personal contratado Fijo",2021-08-01 00:00:00.000,0,"USD"
"Finance","Personal contratado Fijo",2021-09-01 00:00:00.000,0,"USD"
"Finance","Personal contratado Fijo",2021-10-01 00:00:00.000,0,"USD"
"Finance","Personal contratado Fijo",2021-11-01 00:00:00.000,0,"USD"
"Finance","Personal contratado Fijo",2021-12-01 00:00:00.000,0,"USD"
"Finance","TASK",2021-01-01 00:00:00.000,0,"USD"
"Finance","TASK",2021-02-01 00:00:00.000,0,"USD"
"Finance","TASK",2021-03-01 00:00:00.000,0,"USD"
"Finance","TASK",2021-04-01 00:00:00.000,0,"USD"
"Finance","TASK",2021-05-01 00:00:00.000,0,"USD"
"Finance","TASK",2021-06-01 00:00:00.000,0,"USD"
"Finance","TASK",2021-07-01 00:00:00.000,0,"USD"
"Finance","TASK",2021-08-01 00:00:00.000,0,"USD"
"Finance","TASK",2021-09-01 00:00:00.000,0,"USD"
"Finance","TASK",2021-10-01 00:00:00.000,0,"USD"
"Finance","TASK",2021-11-01 00:00:00.000,0,"USD"
"Finance","TASK",2021-12-01 00:00:00.000,0,"USD"
"Finance","Total Non Productive Materials",2021-01-01 00:00:00.000,0,"USD"
"Finance","Total Non Productive Materials",2021-02-01 00:00:00.000,0,"USD"
"Finance","Total Non Productive Materials",2021-03-01 00:00:00.000,0,"USD"
"Finance","Total Non Productive Materials",2021-04-01 00:00:00.000,0,"USD"
"Finance","Total Non Productive Materials",2021-05-01 00:00:00.000,0,"USD"
"Finance","Total Non Productive Materials",2021-06-01 00:00:00.000,0,"USD"
"Finance","Total Non Productive Materials",2021-07-01 00:00:00.000,0,"USD"
"Finance","Total Non Productive Materials",2021-08-01 00:00:00.000,0,"USD"
"Finance","Total Non Productive Materials",2021-09-01 00:00:00.000,0,"USD"
"Finance","Total Non Productive Materials",2021-10-01 00:00:00.000,0,"USD"
"Finance","Total Non Productive Materials",2021-11-01 00:00:00.000,0,"USD"
"Finance","Total Non Productive Materials",2021-12-01 00:00:00.000,0,"USD"
"Finance","Reworks",2021-01-01 00:00:00.000,0,"USD"
"Finance","Reworks",2021-02-01 00:00:00.000,0,"USD"
"Finance","Reworks",2021-03-01 00:00:00.000,0,"USD"
"Finance","Reworks",2021-04-01 00:00:00.000,0,"USD"
"Finance","Reworks",2021-05-01 00:00:00.000,0,"USD"
"Finance","Reworks",2021-06-01 00:00:00.000,0,"USD"
"Finance","Reworks",2021-07-01 00:00:00.000,0,"USD"
"Finance","Reworks",2021-08-01 00:00:00.000,0,"USD"
"Finance","Reworks",2021-09-01 00:00:00.000,0,"USD"
"Finance","Reworks",2021-10-01 00:00:00.000,0,"USD"
"Finance","Reworks",2021-11-01 00:00:00.000,0,"USD"
"Finance","Reworks",2021-12-01 00:00:00.000,0,"USD"
"Finance","Associated Companies",2021-01-01 00:00:00.000,0,"USD"
"Finance","Associated Companies",2021-02-01 00:00:00.000,0,"USD"
"Finance","Associated Companies",2021-03-01 00:00:00.000,0,"USD"
"Finance","Associated Companies",2021-04-01 00:00:00.000,0,"USD"
"Finance","Associated Companies",2021-05-01 00:00:00.000,0,"USD"
"Finance","Associated Companies",2021-06-01 00:00:00.000,0,"USD"
"Finance","Associated Companies",2021-07-01 00:00:00.000,0,"USD"
