Cost Center,Expense Description,Date,AC - USD,Currency
"Supplies","Indirect Labor Salaried Overtime",2021-01-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Salaried Overtime",2021-03-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Salaried Overtime",2021-04-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Salaried Overtime",2021-05-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Salaried Overtime",2021-06-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Salaried Overtime",2021-07-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Salaried Overtime",2021-08-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Salaried Overtime",2021-09-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Salaried Overtime",2021-10-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Salaried Overtime",2021-12-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Base",2021-01-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Base",2021-02-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Base",2021-03-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Base",2021-04-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Base",2021-05-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Base",2021-06-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Base",2021-07-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Base",2021-08-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Base",2021-09-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Base",2021-10-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Base",2021-11-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Base",2021-12-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Overtime",2021-01-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Overtime",2021-02-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Overtime",2021-03-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Overtime",2021-04-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Overtime",2021-05-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Overtime",2021-06-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Overtime",2021-07-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Overtime",2021-08-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Overtime",2021-09-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Overtime",2021-10-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Overtime",2021-11-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Sourly Overtime",2021-12-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Base",2021-01-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Base",2021-02-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Base",2021-03-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Base",2021-04-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Base",2021-05-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Base",2021-06-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Base",2021-07-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Base",2021-08-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Base",2021-09-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Base",2021-10-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Base",2021-11-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Base",2021-12-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Overtime",2021-01-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Overtime",2021-03-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Overtime",2021-04-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Overtime",2021-05-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Overtime",2021-06-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Overtime",2021-07-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Overtime",2021-08-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Overtime",2021-09-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Overtime",2021-10-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Overtime",2021-11-01 00:00:00.000,0,"USD"
"Supplies","Indirect Labor Hourly Overtime",2021-12-01 00:00:00.000,0,"USD"
"Supplies","Personal contratado Fijo",2021-01-01 00:00:00.000,0,"USD"
"Supplies","Personal contratado Fijo",2021-02-01 00:00:00.000,0,"USD"
"Supplies","Personal contratado Fijo",2021-03-01 00:00:00.000,0,"USD"
"Supplies","Personal contratado Fijo",2021-04-01 00:00:00.000,0,"USD"
"Supplies","Personal contratado Fijo",2021-05-01 00:00:00.000,0,"USD"
"Supplies","Personal contratado Fijo",2021-06-01 00:00:00.000,0,"USD"
"Supplies","Personal contratado Fijo",2021-07-01 00:00:00.000,0,"USD"
"Supplies","Personal contratado Fijo",2021-08-01 00:00:00.000,0,"USD"
"Supplies","Personal contratado Fijo",2021-09-01 00:00:00.000,0,"USD"
"Supplies","Personal contratado Fijo",2021-10-01 00:00:00.000,0,"USD"
"Supplies","Personal contratado Fijo",2021-11-01 00:00:00.000,0,"USD"
"Supplies","Personal contratado Fijo",2021-12-01 00:00:00.000,0,"USD"
"Supplies","TASK",2021-01-01 00:00:00.000,0,"USD"
"Supplies","TASK",2021-02-01 00:00:00.000,0,"USD"
"Supplies","TASK",2021-03-01 00:00:00.000,0,"USD"
"Supplies","TASK",2021-04-01 00:00:00.000,0,"USD"
"Supplies","TASK",2021-05-01 00:00:00.000,0,"USD"
"Supplies","TASK",2021-06-01 00:00:00.000,0,"USD"
"Supplies","TASK",2021-07-01 00:00:00.000,0,"USD"
"Supplies","TASK",2021-08-01 00:00:00.000,0,"USD"
"Supplies","TASK",2021-09-01 00:00:00.000,0,"USD"
"Supplies","TASK",2021-10-01 00:00:00.000,0,"USD"
"Supplies","TASK",2021-11-01 00:00:00.000,0,"USD"
"Supplies","TASK",2021-12-01 00:00:00.000,0,"USD"
"Supplies","Total Non Productive Materials",2021-01-01 00:00:00.000,0,"USD"
"Supplies","Total Non Productive Materials",2021-02-01 00:00:00.000,0,"USD"
"Supplies","Total Non Productive Materials",2021-03-01 00:00:00.000,0,"USD"
"Supplies","Total Non Productive Materials",2021-04-01 00:00:00.000,0,"USD"
"Supplies","Total Non Productive Materials",2021-05-01 00:00:00.000,0,"USD"
"Supplies","Total Non Productive Materials",2021-06-01 00:00:00.000,0,"USD"
"Supplies","Total Non Productive Materials",2021-07-01 00:00:00.000,0,"USD"
"Supplies","Total Non Productive Materials",2021-08-01 00:00:00.000,0,"USD"
"Supplies","Total Non Productive Materials",2021-09-01 00:00:00.000,0,"USD"
"Supplies","Total Non Productive Materials",2021-10-01 00:00:00.000,0,"USD"
"Supplies","Total Non Productive Materials",2021-11-01 00:00:00.000,0,"USD"
"Supplies","Total Non Productive Materials",2021-12-01 00:00:00.000,0,"USD"
"Supplies","Reworks",2021-01-01 00:00:00.000,0,"USD"
"Supplies","Reworks",2021-02-01 00:00:00.000,0,"USD"
"Supplies","Reworks",2021-03-01 00:00:00.000,0,"USD"
"Supplies","Reworks",2021-04-01 00:00:00.000,0,"USD"
"Supplies","Reworks",2021-05-01 00:00:00.000,0,"USD"
"Supplies","Reworks",2021-06-01 00:00:00.000,0,"USD"
"Supplies","Reworks",2021-07-01 00:00:00.000,0,"USD"
"Supplies","Reworks",2021-08-01 00:00:00.000,0,"USD"
"Supplies","Reworks",2021-09-01 00:00:00.000,0,"USD"
"Supplies","Reworks",2021-10-01 00:00:00.000,0,"USD"
"Supplies","Reworks",2021-11-01 00:00:00.000,0,"USD"
"Supplies","Reworks",2021-12-01 00:00:00.000,0,"USD"
"Supplies","Associated Companies",2021-01-01 00:00:00.000,0,"USD"
"Supplies","Associated Companies",2021-02-01 00:00:00.000,0,"USD"
"Supplies","Associated Companies",2021-03-01 00:00:00.000,0,"USD"
"Supplies","Associated Companies",2021-04-01 00:00:00.000,0,"USD"
"Supplies","Associated Companies",2021-05-01 00:00:00.000,0,"USD"
"Supplies","Associated Companies",2021-06-01 00:00:00.000,0,"USD"
"Supplies","Associated Companies",2021-07-01 00:00:00.000,0,"USD"
"Supplies","Associated Companies",2021-08-01 00:00:00.000,0,"USD"
"Supplies","Associated Companies",2021-09-01 00:00:00.000,0,"USD"
"Supplies","Associated Companies",2021-10-01 00:00:00.000,0,"USD"
"Supplies","Associated Companies",2021-11-01 00:00:00.000,0,"USD"
