recipe_id,title,koszt produktów
0,"Zapiekany filet z kurczaka z prażoną cebulką",16.700000000000003
1,"Ryż cytrynowo - miętowy na mleku z truskawkami",55.1
2,"Roladki z tortilli z tuńczykiem i Jalapeno",72.5
3,"Pikantna salsa pomidorowa",70.300000000000011
4,"Jajecznica z tofu",66.5
5," Bezglutenowe Muffinki z orzechów nerkowca, migdałów i prażonych jabłek",14.100000000000001
6,"Smażony ryż kleisty z kurczakiem i olejem sezamowym",35.2
7,"Ryż kleisty na mleczku kokosowym z Mango",39.6
8,"Puree z mango z kruszonym ciastem",13.700000000000001
9,"Zielona herbata z dodatkiem napoju Mango",11.8
10,"Zieloną pastę curry z polędwicą wołową",22.2
11,"Zupa z pora z makaronem Udong",43.1
12,"Zupa fasolowa",48.9
13,"Zupa fasolowa z pesto",53.2
14,"Sałatka azjatycka z makaronem",37.5
15,"Wołowina z czosnkiem i pędami bambusa",47.2
16,"Tajwańska herbata z tapioki - Bubble Tea",21.6
17,"Tacos z kaczką, salsą, mango i sosem Hoisin",37.800000000000004
18,"Sałatka z truskawkami, krewetkami i makaronem sojowym",55.7
19,"Makaron z kurczakiem na zimno",33.8
20,"Makaron z kurczakiem i warzywami w sosie Teriyaki",56.4
21,"Żeberka w sosie hoisin",11.3
22,"Kurczak w sosie z czarnej fasoli i czosnku",32
23,"Kurczak w sosie miodowo-sojowym",31.7
24,"Kurczak Kung Pao",30.3
25,"Krewetki w sosie pomidorowo-czosnkowym",17.2
26,"Grillowany leszcz morski z ziołami",29.7
27,"Grillowane tofu chili czosnkowe",53.9
28,"Fasola szparagowa po syczuańsku",33.800000000000004
29,"Nasi Uduk - Ryż gotowany w mleku kokosowym",5
30,"Makaron z krewetkami, szparagami i pomidorkami",41.300000000000004
31,"Makaron smażony z czarnym sezamem",44.9
32,"Makaron chilli z truskawkami",44.8
33,"Czarny makaron z kurkami i pomidorem",44.000000000000007
34,"Czarny makaron z dorszem i rukolą w kremowym sosie cytrynowym",38
35,"Sałatka z kuskusem i grillowanym bakłażanem",57.3
36,"Papryki zapiekane z kuskusem, pomidorkami, orzeszkami pinii i serem feta",65.300000000000011
37,"Kalmary faszerowane Chorizo i fasolą białą",52.800000000000004
38,"Szybki posiłek! Zupa krewetkowa z mleczkiem kokosowym i lychee",5.5
39,"Pizza Ramyun",39.3
40,"Neoguri z suszonymi krewetkami",47.5
41,"Koreańskie czekoladowe Mochi",18
42,"Hoddeok - koreańskie placuszki",15.899999999999999
43,"Chapaguri",
44,"Koreański omlet",21.9
45,"Tatar ze śledzia na ostro",55.8
46,"Smażone ziemniaki w jogurcie z pastą harissa",29.999999999999996
47,"Sałatka jajeczna z soczewicą i Jalapeno",32.2
48,"Pieczony kurczak z pastą harissa",65.1
49,"Łosoś z pastą harissa",11.1
50,"Krem z ciecierzycy z kminem rzymskim",57.6
51,"Hummus - pasta z ciecierzycy",34.300000000000004
52,"Grzanki z pastą Harissa",36.4
53,"Dorsz w sosie pomidorowym z chorizo i ciecierzycą",24.8
54,"Grzanki z krewetkami i białą fasolą",51.5
55,"Falafel - pyszne kotleciki z cieciorki",33.3
56,"Cytrynowy Kuskus z cukinią, fetą i miętą",72.2
57,"Burgery z harissą",44.5
58,"Warzywa w chrupiącej tempurze",33.2
59,"Oryginalne japońskie sushi",12.700000000000001
60,"Makaron ryżowy z łososiem i pastą Miso",56.9
61,"Krewetki w chrupiącej tempurze",7.7
62,"Tom Yum - ostro-kwaśna zupa tajska",20.6
63,"Panna cotta kokosowa",15.3
64,"Pudding czekoladowo - ryżowy",10
65,"Owsianka kokosowa z malinami",14.2
66,"Żółta pasta curry z mięsem drobiowym",27.699999999999996
67,"Kokosowy pudding z tapioki z malinami",25.9
