Date,Year,Month,Day,Zysk dzienny,Dzień tygodnia,nr. dnia tygodnia
2018-06-06 00:00:00.000,2018,6,6,,"środa",4
2018-06-07 00:00:00.000,2018,6,7,,"czwartek",5
2018-06-08 00:00:00.000,2018,6,8,,"piątek",6
2018-06-09 00:00:00.000,2018,6,9,,"sobota",7
2018-06-10 00:00:00.000,2018,6,10,,"niedziela",1
2018-06-11 00:00:00.000,2018,6,11,,"poniedziałek",2
2018-06-12 00:00:00.000,2018,6,12,,"wtorek",3
2018-06-13 00:00:00.000,2018,6,13,,"środa",4
2018-06-14 00:00:00.000,2018,6,14,,"czwartek",5
2018-06-15 00:00:00.000,2018,6,15,,"piątek",6
2018-06-16 00:00:00.000,2018,6,16,,"sobota",7
2018-06-17 00:00:00.000,2018,6,17,,"niedziela",1
2018-06-18 00:00:00.000,2018,6,18,,"poniedziałek",2
2018-06-19 00:00:00.000,2018,6,19,,"wtorek",3
2018-06-20 00:00:00.000,2018,6,20,,"środa",4
2018-06-21 00:00:00.000,2018,6,21,,"czwartek",5
2018-06-22 00:00:00.000,2018,6,22,,"piątek",6
2018-06-23 00:00:00.000,2018,6,23,,"sobota",7
2018-06-24 00:00:00.000,2018,6,24,,"niedziela",1
2018-06-25 00:00:00.000,2018,6,25,,"poniedziałek",2
2018-06-26 00:00:00.000,2018,6,26,,"wtorek",3
2018-06-27 00:00:00.000,2018,6,27,,"środa",4
2018-06-28 00:00:00.000,2018,6,28,,"czwartek",5
2018-06-29 00:00:00.000,2018,6,29,,"piątek",6
2018-06-30 00:00:00.000,2018,6,30,,"sobota",7
2018-07-01 00:00:00.000,2018,7,1,,"niedziela",1
2018-07-02 00:00:00.000,2018,7,2,,"poniedziałek",2
2018-07-03 00:00:00.000,2018,7,3,,"wtorek",3
2018-07-04 00:00:00.000,2018,7,4,,"środa",4
2018-07-05 00:00:00.000,2018,7,5,,"czwartek",5
2018-07-06 00:00:00.000,2018,7,6,,"piątek",6
2018-07-07 00:00:00.000,2018,7,7,,"sobota",7
2018-07-08 00:00:00.000,2018,7,8,,"niedziela",1
2018-07-09 00:00:00.000,2018,7,9,,"poniedziałek",2
2018-07-10 00:00:00.000,2018,7,10,,"wtorek",3
2018-07-11 00:00:00.000,2018,7,11,,"środa",4
2018-07-12 00:00:00.000,2018,7,12,,"czwartek",5
2018-07-13 00:00:00.000,2018,7,13,,"piątek",6
2018-07-14 00:00:00.000,2018,7,14,,"sobota",7
2018-07-15 00:00:00.000,2018,7,15,,"niedziela",1
2018-07-16 00:00:00.000,2018,7,16,,"poniedziałek",2
2018-07-17 00:00:00.000,2018,7,17,,"wtorek",3
2018-07-18 00:00:00.000,2018,7,18,,"środa",4
2018-07-19 00:00:00.000,2018,7,19,,"czwartek",5
2018-07-20 00:00:00.000,2018,7,20,,"piątek",6
2018-07-21 00:00:00.000,2018,7,21,,"sobota",7
2018-07-22 00:00:00.000,2018,7,22,,"niedziela",1
2018-07-23 00:00:00.000,2018,7,23,,"poniedziałek",2
2018-07-24 00:00:00.000,2018,7,24,,"wtorek",3
2018-07-25 00:00:00.000,2018,7,25,,"środa",4
2018-07-26 00:00:00.000,2018,7,26,,"czwartek",5
2018-07-27 00:00:00.000,2018,7,27,,"piątek",6
2018-07-28 00:00:00.000,2018,7,28,,"sobota",7
2018-07-29 00:00:00.000,2018,7,29,,"niedziela",1
2018-07-30 00:00:00.000,2018,7,30,,"poniedziałek",2
2018-07-31 00:00:00.000,2018,7,31,,"wtorek",3
2018-08-01 00:00:00.000,2018,8,1,,"środa",4
2018-08-02 00:00:00.000,2018,8,2,,"czwartek",5
2018-08-03 00:00:00.000,2018,8,3,,"piątek",6
2018-08-04 00:00:00.000,2018,8,4,,"sobota",7
2018-08-05 00:00:00.000,2018,8,5,,"niedziela",1
2018-08-06 00:00:00.000,2018,8,6,,"poniedziałek",2
2018-08-07 00:00:00.000,2018,8,7,,"wtorek",3
2018-08-08 00:00:00.000,2018,8,8,,"środa",4
2018-08-09 00:00:00.000,2018,8,9,,"czwartek",5
2018-08-10 00:00:00.000,2018,8,10,,"piątek",6
2018-08-11 00:00:00.000,2018,8,11,,"sobota",7
