product_id,name,vegetarian,vegan,allergic,gluten,exp_date_days,price,Klasa,Kategoria,Kat
174,"alga",True,True,False,False,10,5,"inne","","inne"
31,"awokado",True,True,False,False,10,5,"owoc","","owoc"
57,"bakłażan",True,True,False,False,10,4,"warzywo","","warzywo"
51,"bita śmietana",True,False,False,False,10,4,"nabiał","","nabiał"
66,"boczek",False,False,False,False,10,5,"mięso","","mięso"
103,"brokuł",True,True,False,False,10,5,"warzywo","","warzywo"
74,"bulion",False,False,False,False,10,5,"inne","","inne"
63,"bulion mięsny",False,False,False,False,10,4,"inne","","inne"
172,"bułka do burgerów",True,False,False,False,10,5,"zbożowe","","zbożowe"
170,"chleb",True,False,False,True,10,4,"zbożowe","","zbożowe"
167,"ciabatta",True,False,False,True,10,4,"zbożowe","","zbożowe"
165,"ciecierzyca",True,True,False,False,10,4,"zboże","","zboże"
171,"cukinia",True,True,False,False,10,4,"warzywo","","warzywo"
104,"czerwona papryka",True,True,False,False,10,5,"warzywo","","warzywo"
131,"dorsz",False,False,False,False,10,5,"owoc morza","","owoc morza"
153,"drożdże",True,False,False,False,10,4,"inne","","inne"
111,"groszek cukrowy",True,True,False,False,10,4,"strączkowe","","strączkowe"
179,"grzyb shiitake",True,True,False,False,10,4,"grzyb","","grzyb"
89,"herbata malinowa",True,True,False,False,10,4,"przyprawa","","przyprawa"
41,"jagoda goji",True,True,False,False,10,5,"przyprawa","","przyprawa"
34,"jajko",True,False,True,False,10,4,"inne","","inne"
154,"jogurt naturalny",True,False,False,False,10,4,"nabiał","","nabiał"
92,"kacze udko",False,False,False,False,10,4,"mięso","","mięso"
151,"kakao",True,True,False,False,10,5,"przyprawa","","przyprawa"
137,"kalmar",False,False,False,False,10,5,"owoc morza","","owoc morza"
102,"kasztan jadalny",True,True,False,False,10,4,"owoc","","owoc"
145,"kiełki",True,True,False,False,10,4,"warzywo","","warzywo"
166,"kmin rzymski",True,True,False,False,10,5,"przyprawa","","przyprawa"
190,"konfitura malinowa",True,True,False,False,10,5,"słodycz","","słodycz"
146,"krem balsamiczny",True,True,False,False,10,4,"przyprawa","","przyprawa"
97,"krewetka",False,False,False,False,10,5,"owoc morza","","owoc morza"
130,"kurka",True,True,False,False,10,5,"grzyb","","grzyb"
114,"leszcz morski",False,False,False,False,10,5,"owoc morza","","owoc morza"
46,"limonka",True,True,False,False,10,5,"warzywo","","warzywo"
55,"lód",True,True,False,False,10,5,"inne","","inne"
164,"łosoś",False,False,False,False,10,5,"owoc morza","","owoc morza"
73,"majeranek",True,True,False,False,10,4,"przyprawa","","przyprawa"
18,"majonez",True,False,True,False,10,4,"przyprawa","","przyprawa"
185,"maliny",True,True,False,False,10,5,"owoc","","owoc"
48,"mango",True,True,False,False,10,4,"owoc","","owoc"
67,"marchewka",True,True,False,False,10,5,"warzywo","","warzywo"
117,"marynata",True,True,False,False,10,5,"marynaty","","marynaty"
157,"marynowana cebula",True,True,False,False,10,4,"marynaty","","marynaty"
16,"marynowana ostra papryczka",True,True,False,False,10,4,"marynaty","","marynaty"
22,"marynowana papryka jalapeño",True,True,False,False,10,4,"marynaty","","marynaty"
156,"marynowany podgrzybek",True,True,False,False,10,5,"marynaty","","marynaty"
33,"masło",True,False,True,False,10,4,"tłuszcz","","tłuszcz"
186,"mięso drobiowe",False,False,False,False,10,4,"mięso","","mięso"
159,"migdał",True,True,False,False,10,4,"orzech","","orzech"
90,"miód",True,False,False,False,10,5,"inne","","inne"
83,"mirin",True,True,False,False,10,5,"inne","","inne"
45,"mleczko kokosowe",True,True,False,False,10,4,"owoc","","owoc"
38,"mus jabłkowy",True,True,False,False,10,4,"owoc","","owoc"
19,"musztarda",True,True,False,False,10,5,"inne","","inne"
53,"napój z mango",True,True,False,False,10,4,"napój","","napój"
161,"nasiono granatu",True,True,False,False,10,4,"owoc","","owoc"
135,"natka pietruszki",True,True,False,False,10,5,"przyprawa","","przyprawa"
163,"ocet winny",True,True,False,False,10,5,"ocet","","ocet"
100,"ogórek",True,True,False,False,10,4,"warzywo","","warzywo"
124,"oregano",True,True,False,False,10,5,"przyprawa","","przyprawa"
112,"orzech nerkowca",True,True,False,False,10,5,"orzech","","orzech"
78,"orzeszek pinii",True,True,True,False,10,4,"orzech","","orzech"
169,"pasata pomidorowa",True,True,False,False,10,4,"warzywo","","warzywo"
56,"pasta curry",True,True,False,False,10,4,"pasta","","pasta"
158,"pasta harissa",True,True,False,False,10,4,"pasta","","pasta"
178,"pasta miso",True,True,False,False,10,4,"pasta","","pasta"
149,"pasta sojowa",True,True,False,False,10,4,"pasta","","pasta"
189,"pasta z wanilii",True,True,False,False,10,4,"pasta","","pasta"
85,"pęd bambusa",True,True,False,False,10,5,"warzywo","","warzywo"
87,"perełka tapioki",True,True,False,False,10,5,"warzywo","","warzywo"
109,"pieczarka",True,True,False,False,10,5,"grzyb","","grzyb"
183,"płatki owsiane",True,True,False,False,10,4,"zbożowe","","zbożowe"
58,"polędwica wołowa",False,False,False,False,10,5,"mięso","","mięso"
