Row ID,variable,value
2580,Product ID,OFF-ST-10004337
9472,Product ID,OFF-BI-10002706
9641,Product ID,OFF-AR-10000390
324,Product ID,OFF-BI-10004593
9619,Product ID,OFF-AR-10004022
667,Product ID,OFF-PA-10000474
9808,Product ID,FUR-CH-10001146
9593,Product ID,FUR-FU-10003806
3310,Product ID,OFF-BI-10001116
7013,Product ID,OFF-AP-10002118
706,Product ID,OFF-AP-10001469
9051,Product ID,OFF-PA-10003724
469,Product ID,FUR-BO-10002824
4730,Product ID,TEC-AC-10000487
4665,Product ID,OFF-BI-10004022
4680,Product ID,OFF-ST-10003221
9900,Product ID,FUR-TA-10000198
2592,Product ID,FUR-TA-10003569
3822,Product ID,OFF-PA-10000069
3645,Product ID,OFF-AR-10004269
2511,Product ID,OFF-ST-10003470
4333,Product ID,OFF-BI-10003476
8076,Product ID,OFF-AP-10004708
1664,Product ID,OFF-ST-10001325
1772,Product ID,OFF-ST-10004337
773,Product ID,OFF-BI-10000301
32,Product ID,OFF-AR-10004042
5253,Product ID,OFF-AP-10000026
8905,Product ID,OFF-LA-10001474
4770,Product ID,OFF-BI-10003355
9139,Product ID,TEC-PH-10002890
6487,Product ID,OFF-AP-10002945
6203,Product ID,FUR-CH-10001708
4025,Product ID,TEC-PH-10003215
3914,Product ID,FUR-FU-10002268
8882,Product ID,TEC-AC-10003038
287,Product ID,OFF-BI-10000778
9487,Product ID,FUR-TA-10001932
2648,Product ID,OFF-PA-10000223
2155,Product ID,FUR-FU-10004973
7773,Product ID,TEC-MA-10000418
5554,Product ID,OFF-PA-10004100
1134,Product ID,OFF-ST-10003479
77,Product ID,FUR-FU-10000260
1598,Product ID,OFF-PA-10000308
8395,Product ID,OFF-AP-10002945
2377,Product ID,OFF-BI-10001718
128,Product ID,OFF-ST-10002974
7222,Product ID,TEC-PH-10000193
5987,Product ID,OFF-ST-10002485
7046,Product ID,OFF-PA-10002160
1079,Product ID,OFF-ST-10001325
7168,Product ID,FUR-CH-10000155
8240,Product ID,OFF-AR-10003251
2304,Product ID,FUR-CH-10000785
8666,Product ID,OFF-SU-10004231
3773,Product ID,TEC-AC-10000023
5197,Product ID,OFF-EN-10001434
4107,Product ID,OFF-BI-10003676
3219,Product ID,TEC-PH-10002200
3223,Product ID,OFF-PA-10001838
9966,Product ID,OFF-PA-10000349
4637,Product ID,OFF-AR-10003373
9406,Product ID,TEC-MA-10003626
3460,Product ID,OFF-BI-10001359
2721,Product ID,OFF-FA-10000585
9676,Product ID,FUR-FU-10001617
8968,Product ID,FUR-CH-10004886
2959,Product ID,OFF-BI-10001097
8467,Product ID,OFF-AP-10000179
9539,Product ID,OFF-PA-10002659
1050,Product ID,TEC-AC-10001606
139,Product ID,OFF-SU-10001218
1734,Product ID,OFF-AR-10002135
3422,Product ID,OFF-PA-10003790
5574,Product ID,OFF-PA-10003036
9953,Product ID,OFF-BI-10001153
5614,Product ID,OFF-ST-10003994
744,Product ID,OFF-PA-10002615
2056,Product ID,TEC-AC-10001114
5173,Product ID,OFF-PA-10000994
1842,Product ID,FUR-CH-10000988
8743,Product ID,FUR-FU-10000629
4370,Product ID,OFF-BI-10001989
7475,Product ID,FUR-CH-10004063
2452,Product ID,TEC-PH-10000149
288,Product ID,OFF-AP-10002684
4580,Product ID,OFF-PA-10002709
4053,Product ID,FUR-TA-10004175
4874,Product ID,OFF-ST-10002301
7616,Product ID,OFF-BI-10000201
3726,Product ID,OFF-AP-10000252
7971,Product ID,TEC-PH-10003580
4908,Product ID,OFF-BI-10001757
2454,Product ID,TEC-AC-10002399
382,Product ID,OFF-PA-10004734
1705,Product ID,OFF-BI-10003676
5907,Product ID,TEC-AC-10003441
7857,Product ID,OFF-BI-10004233
632,Product ID,TEC-AC-10001267
2580,Category,Office Supplies
9472,Category,Office Supplies
9641,Category,Office Supplies
324,Category,Office Supplies
9619,Category,Office Supplies
667,Category,Office Supplies
9808,Category,Furniture
9593,Category,Furniture
3310,Category,Office Supplies
7013,Category,Office Supplies
706,Category,Office Supplies
9051,Category,Office Supplies
469,Category,Furniture
4730,Category,Technology
4665,Category,Office Supplies
4680,Category,Office Supplies
9900,Category,Furniture
2592,Category,Furniture
3822,Category,Office Supplies
3645,Category,Office Supplies
2511,Category,Office Supplies
4333,Category,Office Supplies
8076,Category,Office Supplies
1664,Category,Office Supplies
1772,Category,Office Supplies
773,Category,Office Supplies
32,Category,Office Supplies
5253,Category,Office Supplies
8905,Category,Office Supplies
4770,Category,Office Supplies
9139,Category,Technology
6487,Category,Office Supplies
6203,Category,Furniture
4025,Category,Technology
3914,Category,Furniture
8882,Category,Technology
287,Category,Office Supplies
9487,Category,Furniture
2648,Category,Office Supplies
2155,Category,Furniture
7773,Category,Technology
5554,Category,Office Supplies
1134,Category,Office Supplies
77,Category,Furniture
1598,Category,Office Supplies
8395,Category,Office Supplies
2377,Category,Office Supplies
128,Category,Office Supplies
7222,Category,Technology
5987,Category,Office Supplies
7046,Category,Office Supplies
1079,Category,Office Supplies
7168,Category,Furniture
8240,Category,Office Supplies
2304,Category,Furniture
8666,Category,Office Supplies
3773,Category,Technology
5197,Category,Office Supplies
4107,Category,Office Supplies
3219,Category,Technology
3223,Category,Office Supplies
9966,Category,Office Supplies
4637,Category,Office Supplies
9406,Category,Technology
3460,Category,Office Supplies
2721,Category,Office Supplies
9676,Category,Furniture
8968,Category,Furniture
2959,Category,Office Supplies
8467,Category,Office Supplies
9539,Category,Office Supplies
1050,Category,Technology
139,Category,Office Supplies
1734,Category,Office Supplies
3422,Category,Office Supplies
5574,Category,Office Supplies
9953,Category,Office Supplies
5614,Category,Office Supplies
744,Category,Office Supplies
2056,Category,Technology
5173,Category,Office Supplies
1842,Category,Furniture
8743,Category,Furniture
4370,Category,Office Supplies
7475,Category,Furniture
2452,Category,Technology
288,Category,Office Supplies
4580,Category,Office Supplies
4053,Category,Furniture
4874,Category,Office Supplies
7616,Category,Office Supplies
3726,Category,Office Supplies
7971,Category,Technology
4908,Category,Office Supplies
2454,Category,Technology
382,Category,Office Supplies
1705,Category,Office Supplies
5907,Category,Technology
7857,Category,Office Supplies
632,Category,Technology
2580,Sub-Category,Storage
9472,Sub-Category,Binders
9641,Sub-Category,Art
324,Sub-Category,Binders
9619,Sub-Category,Art
667,Sub-Category,Paper
9808,Sub-Category,Chairs
9593,Sub-Category,Furnishings
3310,Sub-Category,Binders
7013,Sub-Category,Appliances
706,Sub-Category,Appliances
9051,Sub-Category,Paper
469,Sub-Category,Bookcases
4730,Sub-Category,Accessories
4665,Sub-Category,Binders
4680,Sub-Category,Storage
9900,Sub-Category,Tables
2592,Sub-Category,Tables
3822,Sub-Category,Paper
3645,Sub-Category,Art
2511,Sub-Category,Storage
4333,Sub-Category,Binders
8076,Sub-Category,Appliances
1664,Sub-Category,Storage
1772,Sub-Category,Storage
773,Sub-Category,Binders
32,Sub-Category,Art
5253,Sub-Category,Appliances
8905,Sub-Category,Labels
4770,Sub-Category,Binders
9139,Sub-Category,Phones
6487,Sub-Category,Appliances
6203,Sub-Category,Chairs
4025,Sub-Category,Phones
3914,Sub-Category,Furnishings
8882,Sub-Category,Accessories
287,Sub-Category,Binders
9487,Sub-Category,Tables
2648,Sub-Category,Paper
2155,Sub-Category,Furnishings
7773,Sub-Category,Machines
5554,Sub-Category,Paper
1134,Sub-Category,Storage
77,Sub-Category,Furnishings
1598,Sub-Category,Paper
8395,Sub-Category,Appliances
2377,Sub-Category,Binders
