Row ID,Order ID,Customer ID,Product ID,Ship ID,Location ID,Sale ID
1,"CA-2016-152156","CG-12520","FUR-BO-10001798",1,1,1
2,"CA-2016-152156","CG-12520","FUR-CH-10000454",2,2,2
3,"CA-2016-138688","DV-13045","OFF-LA-10000240",3,3,3
4,"US-2015-108966","SO-20335","FUR-TA-10000577",4,4,4
5,"US-2015-108966","SO-20335","OFF-ST-10000760",5,5,5
6,"CA-2014-115812","BH-11710","FUR-FU-10001487",6,6,6
7,"CA-2014-115812","BH-11710","OFF-AR-10002833",7,7,7
8,"CA-2014-115812","BH-11710","TEC-PH-10002275",8,8,8
9,"CA-2014-115812","BH-11710","OFF-BI-10003910",9,9,9
10,"CA-2014-115812","BH-11710","OFF-AP-10002892",10,10,10
11,"CA-2014-115812","BH-11710","FUR-TA-10001539",11,11,11
12,"CA-2014-115812","BH-11710","TEC-PH-10002033",12,12,12
13,"CA-2017-114412","AA-10480","OFF-PA-10002365",13,13,13
14,"CA-2016-161389","IM-15070","OFF-BI-10003656",14,14,14
15,"US-2015-118983","HP-14815","OFF-AP-10002311",15,15,15
16,"US-2015-118983","HP-14815","OFF-BI-10000756",16,16,16
17,"CA-2014-105893","PK-19075","OFF-ST-10004186",17,17,17
18,"CA-2014-167164","AG-10270","OFF-ST-10000107",18,18,18
19,"CA-2014-143336","ZD-21925","OFF-AR-10003056",19,19,19
20,"CA-2014-143336","ZD-21925","TEC-PH-10001949",20,20,20
21,"CA-2014-143336","ZD-21925","OFF-BI-10002215",21,21,21
22,"CA-2016-137330","KB-16585","OFF-AR-10000246",22,22,22
23,"CA-2016-137330","KB-16585","OFF-AP-10001492",23,23,23
24,"US-2017-156909","SF-20065","FUR-CH-10002774",24,24,24
25,"CA-2015-106320","EB-13870","FUR-TA-10000577",25,25,25
26,"CA-2016-121755","EH-13945","OFF-BI-10001634",26,26,26
27,"CA-2016-121755","EH-13945","TEC-AC-10003027",27,27,27
28,"US-2015-150630","TB-21520","FUR-BO-10004834",28,28,28
29,"US-2015-150630","TB-21520","OFF-BI-10000474",29,29,29
30,"US-2015-150630","TB-21520","FUR-FU-10004848",30,30,30
31,"US-2015-150630","TB-21520","OFF-EN-10001509",31,31,31
32,"US-2015-150630","TB-21520","OFF-AR-10004042",32,32,32
33,"US-2015-150630","TB-21520","OFF-BI-10001525",33,33,33
34,"US-2015-150630","TB-21520","OFF-AR-10001683",34,34,34
35,"CA-2017-107727","MA-17560","OFF-PA-10000249",35,35,35
36,"CA-2016-117590","GH-14485","TEC-PH-10004977",36,36,36
37,"CA-2016-117590","GH-14485","FUR-FU-10003664",37,37,37
38,"CA-2015-117415","SN-20710","OFF-EN-10002986",38,38,38
39,"CA-2015-117415","SN-20710","FUR-BO-10002545",39,39,39
40,"CA-2015-117415","SN-20710","FUR-CH-10004218",40,40,40
41,"CA-2015-117415","SN-20710","TEC-PH-10000486",41,41,41
42,"CA-2017-120999","LC-16930","TEC-PH-10004093",42,42,42
43,"CA-2016-101343","RA-19885","OFF-ST-10003479",43,43,43
44,"CA-2017-139619","ES-14080","OFF-ST-10003282",44,44,44
45,"CA-2016-118255","ON-18715","TEC-AC-10000171",45,45,45
46,"CA-2016-118255","ON-18715","OFF-BI-10003291",46,46,46
47,"CA-2014-146703","PO-18865","OFF-ST-10001713",47,47,47
48,"CA-2016-169194","LH-16900","TEC-AC-10002167",48,48,48
49,"CA-2016-169194","LH-16900","TEC-PH-10003988",49,49,49
50,"CA-2015-115742","DP-13000","OFF-BI-10004410",50,50,50
51,"CA-2015-115742","DP-13000","OFF-LA-10002762",51,51,51
52,"CA-2015-115742","DP-13000","FUR-FU-10001706",52,52,52
53,"CA-2015-115742","DP-13000","FUR-CH-10003061",53,53,53
54,"CA-2016-105816","JM-15265","OFF-FA-10000304",54,54,54
55,"CA-2016-105816","JM-15265","TEC-PH-10002447",55,55,55
56,"CA-2016-111682","TB-21055","OFF-ST-10000604",56,56,56
57,"CA-2016-111682","TB-21055","OFF-PA-10001569",57,57,57
58,"CA-2016-111682","TB-21055","FUR-CH-10003968",58,58,58
59,"CA-2016-111682","TB-21055","OFF-PA-10000587",59,59,59
60,"CA-2016-111682","TB-21055","TEC-AC-10002167",60,60,60
61,"CA-2016-111682","TB-21055","OFF-BI-10001460",61,61,61
62,"CA-2016-111682","TB-21055","OFF-AR-10001868",62,62,62
63,"CA-2015-135545","KM-16720","TEC-AC-10004633",63,63,63
64,"CA-2015-135545","KM-16720","OFF-BI-10001078",64,64,64
65,"CA-2015-135545","KM-16720","OFF-PA-10003892",65,65,65
66,"CA-2015-135545","KM-16720","FUR-FU-10000397",66,66,66
67,"US-2015-164175","PS-18970","FUR-CH-10001146",67,67,67
68,"CA-2014-106376","BS-11590","OFF-AR-10002671",68,68,68
69,"CA-2014-106376","BS-11590","TEC-PH-10002726",69,69,69
70,"CA-2016-119823","KD-16270","OFF-PA-10000482",70,70,70
71,"CA-2016-106075","HM-14980","OFF-BI-10004654",71,71,71
72,"CA-2017-114440","TB-21520","OFF-PA-10004675",72,72,72
73,"US-2015-134026","JE-15745","FUR-CH-10000513",73,73,73
74,"US-2015-134026","JE-15745","FUR-FU-10003708",74,74,74
75,"US-2015-134026","JE-15745","OFF-ST-10004123",75,75,75
76,"US-2017-118038","KB-16600","OFF-BI-10004182",76,76,76
77,"US-2017-118038","KB-16600","FUR-FU-10000260",77,77,77
78,"US-2017-118038","KB-16600","OFF-ST-10000615",78,78,78
79,"US-2014-147606","JE-15745","FUR-FU-10003194",79,79,79
80,"CA-2016-127208","SC-20770","OFF-AP-10002118",80,80,80
81,"CA-2016-127208","SC-20770","OFF-BI-10002309",81,81,81
82,"CA-2014-139451","DN-13690","OFF-AR-10002053",82,82,82
83,"CA-2014-139451","DN-13690","OFF-ST-10002370",83,83,83
84,"CA-2015-149734","JC-16105","OFF-EN-10000927",84,84,84
85,"US-2017-119662","CS-12400","OFF-ST-10003656",85,85,85
86,"CA-2017-140088","PO-18865","FUR-CH-10000863",86,86,86
87,"CA-2017-155558","PG-18895","TEC-AC-10001998",87,87,87
88,"CA-2017-155558","PG-18895","OFF-LA-10000134",88,88,88
89,"CA-2016-159695","GM-14455","OFF-ST-10003442",89,89,89
90,"CA-2016-109806","JS-15685","OFF-AR-10004930",90,90,90
91,"CA-2016-109806","JS-15685","TEC-PH-10004093",91,91,91
92,"CA-2016-109806","JS-15685","OFF-PA-10000304",92,92,92
93,"CA-2015-149587","KB-16315","OFF-PA-10003177",93,93,93
94,"CA-2015-149587","KB-16315","FUR-FU-10003799",94,94,94
95,"CA-2015-149587","KB-16315","OFF-BI-10002852",95,95,95
96,"US-2017-109484","RB-19705","OFF-BI-10004738",96,96,96
97,"CA-2017-161018","PN-18775","FUR-FU-10000629",97,97,97
98,"CA-2017-157833","KD-16345","OFF-BI-10001721",98,98,98
99,"CA-2016-149223","ER-13855","OFF-AP-10000358",99,99,99
100,"CA-2016-158568","RB-19465","OFF-PA-10003256",100,100,100
101,"CA-2016-158568","RB-19465","TEC-AC-10001767",101,101,101
102,"CA-2016-158568","RB-19465","OFF-BI-10002609",102,102,102
103,"CA-2016-129903","GZ-14470","OFF-PA-10004040",103,103,103
104,"US-2015-156867","LC-16870","TEC-AC-10001552",104,104,104
105,"US-2015-156867","LC-16870","FUR-FU-10004006",105,105,105
106,"US-2015-156867","LC-16870","OFF-BI-10002794",106,106,106
107,"CA-2017-119004","JM-15250","TEC-AC-10003499",107,107,107
108,"CA-2017-119004","JM-15250","TEC-PH-10002844",108,108,108
109,"CA-2017-119004","JM-15250","OFF-AR-10000390",109,109,109
110,"CA-2015-129476","PA-19060","TEC-AC-10000844",110,110,110
111,"CA-2017-146780","CV-12805","FUR-FU-10001934",111,111,111
112,"CA-2016-128867","CL-12565","OFF-AR-10000380",112,112,112
113,"CA-2016-128867","CL-12565","OFF-BI-10003981",113,113,113
114,"CA-2014-115259","RC-19960","OFF-FA-10000621",114,114,114
115,"CA-2014-115259","RC-19960","OFF-EN-10002600",115,115,115
116,"CA-2014-115259","RC-19960","OFF-PA-10004965",116,116,116
117,"CA-2014-115259","RC-19960","OFF-EN-10002504",117,117,117
118,"CA-2015-110457","DK-13090","FUR-TA-10001768",118,118,118
119,"US-2015-136476","GG-14650","OFF-BI-10003650",119,119,119
120,"CA-2016-103730","SC-20725","FUR-FU-10002157",120,120,120
121,"CA-2016-103730","SC-20725","OFF-BI-10003910",121,121,121
122,"CA-2016-103730","SC-20725","OFF-ST-10000777",122,122,122
123,"CA-2016-103730","SC-20725","OFF-EN-10002500",123,123,123
124,"CA-2016-103730","SC-20725","TEC-PH-10003875",124,124,124
125,"US-2014-152030","AD-10180","FUR-CH-10004063",125,125,125
126,"US-2014-134614","PF-19165","FUR-TA-10004534",126,126,126
127,"US-2017-107272","TS-21610","OFF-BI-10003274",127,127,127
128,"US-2017-107272","TS-21610","OFF-ST-10002974",128,128,128
129,"US-2016-125969","LS-16975","FUR-CH-10001146",129,129,129
130,"US-2016-125969","LS-16975","FUR-FU-10003773",130,130,130
131,"US-2017-164147","DW-13585","TEC-PH-10002293",131,131,131
132,"US-2017-164147","DW-13585","OFF-PA-10002377",132,132,132
133,"US-2017-164147","DW-13585","OFF-FA-10002780",133,133,133
134,"CA-2016-145583","LC-16885","OFF-PA-10001804",134,134,134
135,"CA-2016-145583","LC-16885","OFF-PA-10001736",135,135,135
136,"CA-2016-145583","LC-16885","OFF-AR-10001149",136,136,136
137,"CA-2016-145583","LC-16885","OFF-FA-10002988",137,137,137
138,"CA-2016-145583","LC-16885","OFF-BI-10004781",138,138,138
139,"CA-2016-145583","LC-16885","OFF-SU-10001218",139,139,139
140,"CA-2016-145583","LC-16885","FUR-FU-10001706",140,140,140
141,"CA-2016-110366","JD-15895","FUR-FU-10004848",141,141,141
142,"CA-2017-106180","SH-19975","OFF-AR-10000940",142,142,142
143,"CA-2017-106180","SH-19975","OFF-EN-10004030",143,143,143
144,"CA-2017-106180","SH-19975","OFF-PA-10004327",144,144,144
145,"CA-2017-155376","SG-20080","OFF-AP-10001058",145,145,145
146,"CA-2015-110744","HA-14920","OFF-ST-10003656",146,146,146
147,"CA-2014-110072","MG-17680","FUR-FU-10000521",147,147,147
148,"CA-2016-114489","JE-16165","TEC-PH-10000215",148,148,148
149,"CA-2016-114489","JE-16165","TEC-PH-10001448",149,149,149
150,"CA-2016-114489","JE-16165","FUR-CH-10000454",150,150,150
151,"CA-2016-114489","JE-16165","OFF-BI-10002735",151,151,151
152,"CA-2016-158834","TW-21025","OFF-AP-10000326",152,152,152
153,"CA-2016-158834","TW-21025","TEC-PH-10001254",153,153,153
154,"CA-2015-124919","SP-20650","OFF-PA-10001950",154,154,154
155,"CA-2015-124919","SP-20650","OFF-PA-10002254",155,155,155
156,"CA-2015-124919","SP-20650","OFF-ST-10001590",156,156,156
157,"CA-2015-118948","NK-18490","OFF-AR-10001547",157,157,157
158,"CA-2014-104269","DB-13060","FUR-CH-10004063",158,158,158
159,"CA-2016-114104","NP-18670","OFF-LA-10002475",159,159,159
160,"CA-2016-114104","NP-18670","TEC-PH-10004536",160,160,160
161,"CA-2016-162733","TT-21070","OFF-PA-10002751",161,161,161
162,"CA-2015-119697","EM-13960","TEC-AC-10003657",162,162,162
