País,Mortalidad infantil,Mortalidad infantil (Muertes por cada 1000 niños)
Turkmenistan,73.08,50 o más
Yemen,61.5,50 o más
Liberia,128.87,50 o más
Serbia,12.89,10 a 25
Cyprus,7.18,0 a 10
Gabon,53.64,50 o más
South Africa,61.81,50 o más
Azerbaijan,81.74,50 o más
Ukraine,20.34,10 a 25
Libya,24.6,10 a 25
Niger,121.69,50 o más
Ireland,5.39,0 a 10
Swaziland,69.27,50 o más
Guernsey,4.71,0 a 10
Albania,21.52,10 a 25
Senegal,55.51,50 o más
Rwanda,91.23,50 o más
Estonia,7.87,0 a 10
Mozambique,130.79,50 o más
Afghanistan,163.07,50 o más
Saint Vincent and the Grenadines,14.78,10 a 25
Malawi,103.32,50 o más
Belize,25.69,25 a 50
Greece,5.53,0 a 10
Dominican Republic,32.38,25 a 50
Marshall Islands,29.45,25 a 50
Oman,19.51,10 a 25
Czech Republic,3.93,0 a 10
Nauru,9.95,0 a 10
Tunisia,24.77,10 a 25
Equatorial Guinea,85.13,50 o más
Singapore,2.29,0 a 10
The Gambia,72.02,50 o más
Tajikistan,110.76,50 o más
Indonesia,35.6,25 a 50
Jordan,17.35,10 a 25
Bahrain,17.27,10 a 25
Laos,85.22,50 o más
Guinea,90.37,50 o más
Comoros,74.93,50 o más
China,24.18,10 a 25
Saint Kitts and Nevis,14.49,10 a 25
Guatemala,35.93,25 a 50
Cameroon,68.26,50 o más
Botswana,54.58,50 o más
Chad,93.82,50 o más
Lesotho,84.23,50 o más
Vietnam,25.95,25 a 50
British Virgin Islands,18.05,10 a 25
Palau,14.84,10 a 25
Morocco,41.62,25 a 50
Liechtenstein,4.7,0 a 10
Gibraltar,5.13,0 a 10
Romania,26.43,25 a 50
Guyana,33.26,25 a 50
Iceland,3.31,0 a 10
Faroe Islands,6.24,0 a 10
Angola,191.19,50 o más
Colombia,20.97,10 a 25
Saint Pierre and Miquelon,7.54,0 a 10
Algeria,31.0,25 a 50
Belgium,4.68,0 a 10
Lebanon,24.52,10 a 25
Sint Maarten,8.1,0 a 10
Republic of the Congo,93.86,50 o más
Mongolia,53.79,50 o más
Bolivia,53.11,50 o más
Virgin Islands,8.03,0 a 10
Ethiopia,95.32,50 o más
Sri Lanka,14.35,10 a 25
Isle of Man,5.93,0 a 10
Croatia,6.84,0 a 10
South Korea,7.05,0 a 10
Hungary,8.57,0 a 10
Malta,3.89,0 a 10
Vanuatu,55.16,50 o más
Côte d'Ivoire,90.83,50 o más
Mauritania,70.89,50 o más
Poland,8.51,0 a 10
United Arab Emirates,14.51,10 a 25
Solomon Islands,21.29,10 a 25
Bangladesh,62.6,50 o más
Macau,4.39,0 a 10
North Korea,24.04,10 a 25
Belarus,13.37,10 a 25
Jamaica,12.36,10 a 25
Guam,6.94,0 a 10
Malaysia,17.7,10 a 25
Georgia,18.59,10 a 25
Iran,41.58,25 a 50
Aruba,5.89,0 a 10
Barbados,12.5,10 a 25
Netherlands,5.04,0 a 10
Saudi Arabia,13.24,10 a 25
Greenland,15.82,10 a 25
Burundi,69.29,50 o más
Brazil,29.61,25 a 50
Maldives,56.52,50 o más
Kuwait,9.95,0 a 10
Honduras,29.32,25 a 50
