SalesOrderLineKey,ResellerKey,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,SalesTerritoryKey,Order Quantity,Unit Price,Extended Amount,Product Standard Cost,Total Product Cost,Sales Amount,Unit Price Discount Pct,Profit Amount
45043005,146,-1,223,20180107,20180117,20180114.0,1,1,5.1865,5.1865,5.7052,5.7052,5.1865,0.0,-0.5187
74079002,-1,28288,477,20200529,20200608,20200605.0,4,1,4.99,4.99,1.8663,1.8663,4.99,0.0,3.1237
69432003,677,-1,474,20200509,20200519,20200516.0,6,3,41.994,125.982,26.1763,78.5289,125.982,0.0,47.4531
74084002,-1,19004,529,20200529,20200608,20200605.0,4,1,3.99,3.99,1.4923,1.4923,3.99,0.0,2.4977
67435001,-1,26497,535,20200302,20200312,20200309.0,1,1,24.99,24.99,9.3463,9.3463,24.99,0.0,15.6437
51715007,43,-1,588,20190804,20190814,20190811.0,1,4,461.694,1846.776,419.7784,1679.1136,1846.776,0.0,167.6624
71848007,59,-1,573,20200606,20200616,20200613.0,4,1,1430.442,1430.442,1481.9379,1481.9379,1430.442,0.0,-51.4959
65519002,-1,12969,477,20200202,20200212,20200209.0,6,1,4.99,4.99,1.8663,1.8663,4.99,0.0,3.1237
55268050,196,-1,234,20191012,20191022,20191019.0,10,8,29.994,239.952,38.4923,307.9384,239.952,0.0,-67.9864
64742002,-1,27754,480,20200123,20200202,20200130.0,4,1,2.29,2.29,0.8565,0.8565,2.29,0.0,1.4335
48327005,473,-1,435,20181213,20181223,20181220.0,4,1,324.4527,324.4527,300.1188,300.1188,324.4527,0.0,24.3339
50222031,638,-1,377,20190507,20190517,20190514.0,7,5,1308.9375,6544.6875,1320.6838,6603.419,6544.6875,0.0,-58.7315
56244002,-1,15543,476,20190916,20190926,20190923.0,6,1,69.99,69.99,26.1763,26.1763,69.99,0.0,43.8137
67893001,-1,21886,376,20200308,20200318,20200315.0,9,1,2443.35,2443.35,1554.9479,1554.9479,2443.35,0.0,888.4021
47387023,293,-1,428,20180911,20180921,20180918.0,1,6,209.256,1255.536,185.8193,1114.9158,1255.536,0.0,140.6202
47992027,487,-1,308,20181108,20181118,20181115.0,1,3,744.2727,2232.8181,660.9142,1982.7426,2232.8181,0.0,250.0755
58444001,-1,16195,529,20191023,20191102,20191030.0,7,1,3.99,3.99,1.4923,1.4923,3.99,0.0,2.4977
57587001,-1,11984,574,20191007,20191017,20191014.0,6,1,2384.07,2384.07,1481.9379,1481.9379,2384.07,0.0,902.1321
56797002,-1,12630,537,20190927,20191007,20191004.0,10,1,35.0,35.0,13.09,13.09,35.0,0.0,21.91
47359043,118,-1,462,20180903,20180913,20180910.0,6,4,14.1289,56.5156,9.7136,38.8544,56.5156,0.0,17.6612
54370001,-1,21909,604,20190814,20190824,20190821.0,4,1,539.99,539.99,343.6496,343.6496,539.99,0.0,196.3404
67969002,-1,28305,467,20200310,20200320,20200317.0,9,1,24.49,24.49,9.1593,9.1593,24.49,0.0,15.3307
71904001,308,-1,565,20200612,20200622,,1,1,445.41,445.41,461.4448,461.4448,445.41,0.0,-16.0348
71396003,-1,14547,222,20200425,20200505,20200502.0,10,1,34.99,34.99,13.0863,13.0863,34.99,0.0,21.9037
68616002,-1,21271,539,20200319,20200329,20200326.0,4,1,24.99,24.99,9.3463,9.3463,24.99,0.0,15.6437
51143008,538,-1,240,20190723,20190802,20190730.0,10,1,858.9,858.9,868.6342,868.6342,858.9,0.0,-9.7342
61123001,-1,25006,535,20191130,20191210,20191207.0,1,1,24.99,24.99,9.3463,9.3463,24.99,0.0,15.6437
49100001,12,-1,343,20190212,20190222,20190219.0,6,6,469.794,2818.764,486.7066,2920.2396,2818.764,0.0,-101.4756
53455006,340,-1,542,20190902,20190912,20190909.0,10,3,24.294,72.882,17.9776,53.9328,72.882,0.0,18.9492
58962032,621,-1,552,20191212,20191222,20191219.0,1,3,54.894,164.682,40.6216,121.8648,164.682,0.0,42.8172
74988001,-1,14258,485,20200613,20200623,,4,1,21.98,21.98,8.2205,8.2205,21.98,0.0,13.7595
56729001,-1,23219,477,20190925,20191005,20191002.0,10,1,4.99,4.99,1.8663,1.8663,4.99,0.0,3.1237
61189001,670,-1,374,20200106,20200116,20200113.0,3,4,1466.01,5864.04,1554.9479,6219.7916,5864.04,0.0,-355.7516
68964001,-1,17054,489,20200325,20200404,20200401.0,9,1,53.99,53.99,41.5723,41.5723,53.99,0.0,12.4177
52601002,-1,23989,489,20190715,20190725,20190722.0,10,1,53.99,53.99,41.5723,41.5723,53.99,0.0,12.4177
59681003,-1,11566,222,20191108,20191118,20191115.0,7,1,34.99,34.99,13.0863,13.0863,34.99,0.0,21.9037
62693002,-1,11893,482,20191224,20200103,20191231.0,9,1,8.99,8.99,3.3623,3.3623,8.99,0.0,5.6277
50280043,233,-1,294,20190519,20190529,20190526.0,2,1,744.2727,744.2727,660.9142,660.9142,744.2727,0.0,83.3585
53050001,-1,20199,374,20190724,20190803,20190731.0,4,1,2443.35,2443.35,1554.9479,1554.9479,2443.35,0.0,888.4021
50242037,426,-1,447,20190510,20190520,20190517.0,6,4,15.0,60.0,10.3125,41.25,60.0,0.0,18.75
50745023,61,-1,470,20190626,20190706,20190703.0,4,19,20.8945,396.9955,15.6709,297.7471,377.1457,0.05,79.3986
57083013,430,-1,583,20191113,20191123,20191120.0,10,1,1020.594,1020.594,1082.51,1082.51,1020.594,0.0,-61.916
49435001,-1,17181,377,20190128,20190207,20190204.0,8,1,2181.5625,2181.5625,1320.6838,1320.6838,2181.5625,0.0,860.8787
55242007,220,-1,471,20191004,20191014,20191011.0,3,6,38.1,228.6,23.749,142.494,228.6,0.0,86.106
63194012,381,-1,306,20200213,20200223,20200220.0,3,2,809.76,1619.52,739.041,1478.082,1619.52,0.0,141.438
48056018,257,-1,239,20181121,20181201,20181128.0,4,3,780.8182,2342.4546,722.2568,2166.7704,2342.4546,0.0,175.6842
44498009,102,-1,310,20171106,20171116,20171113.0,6,1,2146.962,2146.962,2171.2942,2171.2942,2146.962,0.0,-24.3322
53546026,624,-1,545,20190918,20190928,20190925.0,4,1,24.294,24.294,17.9776,17.9776,24.294,0.0,6.3164
56010002,-1,11989,485,20190911,20190921,20190918.0,9,1,21.98,21.98,8.2205,8.2205,21.98,0.0,13.7595
44990001,-1,14645,338,20171124,20171204,20171201.0,4,1,699.0982,699.0982,413.1463,413.1463,699.0982,0.0,285.9519
65576001,-1,15413,536,20200203,20200213,20200210.0,6,1,29.99,29.99,11.2163,11.2163,29.99,0.0,18.7737
45062010,423,-1,235,20180119,20180129,20180126.0,5,2,28.8404,57.6808,31.7244,63.4488,57.6808,0.0,-5.768
50266004,77,-1,433,20190515,20190525,20190522.0,4,2,324.4527,648.9054,300.1188,600.2376,648.9054,0.0,48.6678
65862002,-1,23136,222,20200207,20200217,20200214.0,4,1,34.99,34.99,13.0863,13.0863,34.99,0.0,21.9037
67314018,414,-1,306,20200419,20200429,20200426.0,2,1,809.76,809.76,739.041,739.041,809.76,0.0,70.719
71095003,-1,15803,480,20200421,20200501,20200428.0,9,1,2.29,2.29,0.8565,0.8565,2.29,0.0,1.4335
73092002,-1,21910,488,20200516,20200526,20200523.0,8,1,53.99,53.99,41.5723,41.5723,53.99,0.0,12.4177
58921023,306,-1,582,20191206,20191216,20191213.0,3,2,1020.594,2041.188,1082.51,2165.02,2041.188,0.0,-123.832
72753003,-1,13857,477,20200512,20200522,20200519.0,1,1,4.99,4.99,1.8663,1.8663,4.99,0.0,3.1237
