ProductKey,Product Name,Product Description,Manufacturer,Brand Name,Class Name,Color Name,Size,Size Range,Weight,Unit Cost,Unit Price,Product Sub Category,Product Category,WeightUnitMeasureID
116,"Adventure Works 20"" CRT TV E15 Silver","20'' CRT television, built-in ATSC/NTSC tuner, receive digital and analog channels","Adventure Works","Adventure Works","Economy","Silver","","",27.9,86.67,169.99,"Televisions","TV and Video","pounds"
120,"Adventure Works 13"" Color TV E25 Black","13'' Color TV, ATSC/QAM Tuner, 120 minute sleep timer","Adventure Works","Adventure Works","Economy","Black","","",20.1,61.17,119.99,"Televisions","TV and Video","pounds"
124,"Adventure Works 19"" Portable LCD HDTV M110 White","19'' 720p LCD HDTV, 2 HDMI inputs, PC input for computers","Adventure Works","Adventure Works","Regular","White","","",9.6,128.76,279.99,"Televisions","TV and Video","pounds"
128,"Adventure Works 19"" Color Digital TV E35 Brown","19'' color TV, ATSC/QAM Tuner","Adventure Works","Adventure Works","Economy","Brown","","",2,73.11,143.4,"Televisions","TV and Video","pounds"
132,"Adventure Works 20"" Analog CRT TV E45 Brown","20"" Analog CRT TV, digital comb filter removes blurred edges between colors","Adventure Works","Adventure Works","Economy","Brown","","",20.9,101.97,200,"Televisions","TV and Video","pounds"
136,"Adventure Works 20"" LCD HDTV M120 Brown","20'' 720p LCD HDTV, HDMI v 1.3 digital inputs","Adventure Works","Adventure Works","Regular","Brown","","",25.2,160.93,349.95,"Televisions","TV and Video","pounds"
140,"Adventure Works 32"" LCD HDTV M130 Brown","32'' 720p LCD HDTV, Back-Light Control, Built-In ATSC/NTSC/QAM Digital Tuning","Adventure Works","Adventure Works","Regular","Brown","","",49.2,229.93,499.99,"Televisions","TV and Video","pounds"
144,"Adventure Works 15.6"" LCD TV M130W Brown","15.6'' Widescreen LCD TV, built-in DVD Player","Adventure Works","Adventure Works","Regular","Brown","","",24,152.94,299.99,"Televisions","TV and Video","pounds"
148,"Adventure Works 52"" LCD HDTV X590 Brown","52'' 1080p 240Hz LCD HDTV, Four HDMI, two component, one PC, and two composite video inputs","Adventure Works","Adventure Works","Deluxe","Brown","","",32.4,960.82,2899.99,"Televisions","TV and Video","pounds"
152,"Adventure Works 40"" LCD HDTV M690 Brown","40'' 1080p LCD HDTV, 70,000:1 dynamic contrast ratio, 6ms response time, Wide Color Enhancer 2 for more vivid colors","Adventure Works","Adventure Works","Regular","Brown","","",31,392.6,1184.97,"Televisions","TV and Video","pounds"
156,"Adventure Works 26"" 720p LCD HDTV M140 Brown","26'' 720p LCD HDTV, 720p HD LCD Panel, Theater Wide Picture Modes","Adventure Works","Adventure Works","Regular","Brown","","",66.1,216.12,469.97,"Televisions","TV and Video","pounds"
160,"Adventure Works 37"" 1080p LCD HDTV M150W Brown","37'' 1080p Widescreen LCD HDTV, 3 HDMI Inputs, USB 2.0 Connectivity","Adventure Works","Adventure Works","Regular","Brown","","",43.4,505.85,1099.99,"Televisions","TV and Video","pounds"
164,"Adventure Works 52"" LCD HDTV X790W Brown","52'' 1080p 120Hz LCD HDTV, 16:9 Full HD 1080p Resolution (1920x1080p) LCD Panel","Adventure Works","Adventure Works","Deluxe","Brown","","",25.1,527.53,1592.2,"Televisions","TV and Video","pounds"
168,"SV 16xDVD M310 Black","Type:  16xDVD Playback, digital video recorder with 250GB hard drive. Network and Internet remote viewing with optional broadband router","Southridge Video","Southridge Video","Regular","Black","","",5.6,59.32,129,"VCD & DVD","TV and Video","pounds"
