PKProductID,ProductName,Product Type,Serving Amount,ABV,IBU,CFO_CostPrice.PKProductID,CFO_CostPrice.Per Unit Cost to make,CFO_CostPrice.Per Unit Sales price,CFO_CostPrice.BeerAdvocate Score,CFO_CostPrice.Cost Rank,CFO_CostPrice.Sales Rank
"SSBC0001","Bamboo Grove Maibock","Tasting Room Pour",1,0.065,32,"SSBC0001",1.05,5,92,21,19
"SSBC0002","Han Dynasty Spiced Lager","Tasting Room Pour",1,0.048,18,"SSBC0002",0.8,5,86,23,19
"SSBC0003","Imperial Poet Porter","Tasting Room Pour",1,0.095,25,"SSBC0003",1.5,5,85,20,19
"SSBC0004","Scholar's Saison","Tasting Room Pour",1,0.06,28,"SSBC0004",1.69,5,90,19,19
"SSBC0005","Henan Hops Wheat Beer","Tasting Room Pour",1,0.07,68,"SSBC0005",0.65,5,91,24,19
"SSBC0006","Liu Ling's IPA","Tasting Room Pour",1,0.051,20,"SSBC0006",0.92,5,89,22,19
"SSBC1001","Bamboo Grove Maibock","Six-Pack",6,0.065,32,"SSBC1001",8.3,9.99,92,14,14
"SSBC1002","Han Dynasty Spiced Lager","Six-Pack",6,0.048,18,"SSBC1002",6.8,9.99,86,17,14
"SSBC1003","Imperial Poet Porter","Six-Pack",6,0.095,25,"SSBC1003",8,9.99,85,15,14
"SSBC1004","Scholar's Saison","Six-Pack",6,0.06,28,"SSBC1004",12.14,12,90,13,13
"SSBC1005","Henan Hops Wheat Beer","Six-Pack",6,0.07,68,"SSBC1005",5.9,9.99,91,18,14
"SSBC1006","Liu Ling's IPA","Six-Pack",6,0.051,20,"SSBC1006",7.52,9.99,89,16,14
"SSBC2001","Bamboo Grove Maibock","half keg",124,0.065,32,"SSBC2001",150.2,180,92,8,8
"SSBC2002","Han Dynasty Spiced Lager","half keg",124,0.048,18,"SSBC2002",119.2,180,86,11,8
"SSBC2003","Imperial Poet Porter","half keg",124,0.095,25,"SSBC2003",145,180,85,9,8
"SSBC2004","Scholar's Saison","half keg",124,0.06,28,"SSBC2004",229.56,230,90,5,7
"SSBC2005","Henan Hops Wheat Beer","half keg",124,0.07,68,"SSBC2005",100.6,180,91,12,8
"SSBC2006","Liu Ling's IPA","half keg",124,0.051,20,"SSBC2006",134.08,180,89,10,8
"SSBC3001","Bamboo Grove Maibock","Keg",248,0.065,32,"SSBC3001",285.4,300,92,3,2
"SSBC3002","Han Dynasty Spiced Lager","Keg",248,0.048,18,"SSBC3002",223.4,300,86,6,2
"SSBC3003","Imperial Poet Porter","Keg",248,0.095,25,"SSBC3003",290,300,85,2,2
"SSBC3004","Scholar's Saison","Keg",248,0.06,28,"SSBC3004",444.12,450,90,1,1
"SSBC3005","Henan Hops Wheat Beer","Keg",248,0.07,68,"SSBC3005",186.2,300,91,7,2
"SSBC3006","Liu Ling's IPA","Keg",248,0.051,20,"SSBC3006",253.16,300,89,4,2
