Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
"Afghanistan","67.9","68.3","19.6","20.2","0.3","0.3","..","..","5.1","4.9","4.4",".."
"Albania","124.1","119.1","44.4","45.0","0.4","0.4","..","..","-0.5","1.4","1.3","2.0"
"American Samoa","1.0","1.0","..","..","..","..","..","..","2.5","..","..",".."
"Andorra","0.9","0.9","..","..","..","..","..","..","0.7","0.9","..",".."
"Angola","163.7","165.9","84.1","108.3","0.5","0.7","..","..","27.7","31.1","32.4","31.7"
"Argentina","14.8","16.6","9.3","11.5","0.6","0.7","..","..","40.1","25.3","..",".."
"Aruba","1.8","1.8","..","..","..","..","..","..","..","..","-0.9","-0.5"
"Azerbaijan","1.6","1.7","0.4","0.4","0.2","0.2","..","..","14.7","16.0","12.4","12.9"
"Bangladesh","78.3","79.1","29.7","31.0","0.4","0.4","..","..","6.7","6.3","5.4","5.8"
"Barbados","2.0","2.0","1.8","1.8","0.9","0.9","..","..","-3.1","4.2","1.3","4.7"
"Belarus","2.0","1.9","0.6","0.6","0.3","0.3","..","..","8.3","8.2","..",".."
"Benin","593.0","580.9","215.8","212.7","0.4","0.4","..","..","-0.3","0.4","-0.8","0.1"
"Bermuda","1.0","1.0","..","..","..","..","..","..","..","..","..",".."
"Bhutan","67.2","68.0","20.9","22.1","0.3","0.3","..","..","4.2","7.5","4.3","3.9"
"Bosnia and Herzegovina","1.8","1.7","0.7","0.7","0.4","0.4","..","..","1.4","2.3","-1.1","1.2"
"Botswana","10.9","10.3","4.5","4.5","0.4","0.4","..","..","12.0","3.1","2.8","3.3"
"Brunei Darussalam","1.4","1.4","0.5","0.5","0.3","0.4","..","..","-9.2","5.0","-0.7","-0.2"
"Burkina Faso","593.1","582.4","205.6","208.9","0.3","0.4","..","..","4.0","3.4","-0.2","0.4"
"Cabo Verde","99.7","97.9","46.3","46.0","0.5","0.5","..","..","-0.8","1.1","-1.4","0.8"
"Cambodia","4,058.7","4,050.6","1,379.2","1,401.3","0.3","0.3","..","..","3.5","3.4","3.0","2.9"
"Cayman Islands","..","..","..","..","..","..","..","..","..","..","-0.6",".."
"Chad","593.0","582.1","190.6","200.9","0.3","0.3","..","..","-8.4","7.3","..",".."
"Channel Islands","..","..","..","..","..","..","..","..","..","..","..",".."
"Hong Kong SAR, China","7.8","7.8","5.8","5.8","0.7","0.8","..","..","1.7","2.9","2.4",".."
"Macao SAR, China","8.0","8.0","5.6","5.6","0.7","0.7","..","..","0.9","2.3","2.4",".."
"Comoros","444.8","436.6","226.5","224.2","0.5","0.5","..","..","6.9","0.8","..",".."
"Congo, Rep.","593.0","582.1","160.0","180.1","0.3","0.3","..","..","-5.5","14.6","..",".."
"Cuba","1.0","1.0","..","..","..","..","..","..","..","..","..",".."
"Curacao","..","..","..","..","..","..","..","..","..","..","..",".."
"Djibouti","177.7","177.7","..","..","..","..","..","..","-0.7","0.4","2.7","0.6"
"Ecuador","1.0","1.0","0.5","0.5","0.5","0.5","..","..","0.9","1.5","1.7","0.4"
"Egypt, Arab Rep.","8.1","14.7","2.5","3.1","0.3","0.2","..","..","6.2","22.9","13.8","29.5"
"El Salvador","1.0","1.0","0.5","0.5","0.5","0.5","..","..","0.6","1.4","0.6","1.0"
"Eritrea","..","..","..","..","..","..","..","..","..","..","..",".."
"Estonia","0.9","0.9","0.5","0.6","0.6","0.6","..","..","1.6","4.0","0.1","3.4"
"Ethiopia","21.1","22.4","8.7","9.1","0.4","0.4","..","..","10.4","6.3","7.3","9.8"
"Faroe Islands","6.7","6.7","..","..","..","..","..","..","..","..","..",".."
"French Polynesia","89.9","..","..","..","..","..","..","..","..","..","..",".."
"Greenland","6.7","6.7","..","..","..","..","..","..","-0.2","..","..",".."
"Guam","1.0","1.0","..","..","..","..","..","..","1.3","..","..",".."
"Guatemala","7.6","7.3","4.0","4.0","0.5","0.5","..","..","3.7","3.6","4.4","4.4"
"Guinea","8,398.0","9,377.8","3,075.9","3,386.1","0.4","0.4","..","..","7.1","16.7","8.2","8.9"
"Guinea-Bissau","593.0","582.1","238.1","247.8","0.4","0.4","..","..","6.1","5.9","1.6","1.4"
"Haiti","60.4","65.6","24.9","27.7","0.4","0.4","..","..","12.0","13.4","13.8","14.7"
"Honduras","22.8","23.5","11.4","11.7","0.5","0.5","..","..","3.5","4.2","2.7","3.9"
"India","67.1","64.5","17.5","17.7","0.3","0.3","..","..","3.5","3.0","4.9","3.3"
"Indonesia","13,308.3","13,380.9","4,092.2","4,190.5","0.3","0.3","..","..","2.5","4.2","3.5","3.8"
"Iraq","1,182.0","1,182.0","311.1","355.1","0.3","0.3","..","..","-12.9","16.2","0.5","0.2"
"Isle of Man","0.7","0.7","..","..","..","..","..","..","..","..","..",".."
"Jamaica","125.1","128.0","69.2","72.7","0.6","0.6","..","..","4.6","7.0","2.3","4.4"
"Jordan","0.7","0.7","0.3","0.3","0.5","0.5","..","..","1.0","1.7","-0.8","3.3"
"Kazakhstan","342.2","326.0","104.4","109.1","0.3","0.3","..","..","13.6","6.4","14.4","7.4"
"Kenya","101.5","103.4","47.0","47.5","0.5","0.5","..","..","8.1","2.7","6.3","8.0"
"Kiribati","1.3","1.3","1.0","1.0","0.8","0.8","..","..","7.3","1.6","..",".."
"Korea, Dem. People’s Rep.","..","..","..","..","..","..","..","..","..","..","..",".."
