FK_dim_Solicitacoes,Apoio,Notificação,Agendamento,Prazo,Data Criacao,Hora Criacao,Data Conclusao,Hora Conclusao,FK_dim_Entidades,FK_dim_Servicos,FK_dim_Usuarios,FK_dim_GruposUsuarios,FK_dim_Acoes,FK_dim_StatusExt,FK_dim_CategoriasServicos,FK_dim_GrupoResponsavel,FK_dim_MotivosCanc,FK_dim_Encaminhamento,Nota Avaliação,Motivo Avaliação,Data Avaliação,Hora Avaliação,FK_dim_Situacao
"2020.10-54.610",0,0,0,4320,2020-10-06 00:00:00.000,1899-12-30 17:01:10.000,,,,5,,10,,1,4,4,,"",-1,"",,,1
"2020.12-32.687",0,0,0,21600,2020-12-30 00:00:00.000,1899-12-30 15:18:47.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.10-54.611",0,0,0,4320,2020-10-06 00:00:00.000,1899-12-30 22:38:42.000,,,,5,,10,,1,4,4,,"",-1,"",,,1
"2020.12-32.686",0,0,0,21600,2020-12-30 00:00:00.000,1899-12-30 15:17:28.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.7-517.54",0,0,0,4320,2020-07-22 00:00:00.000,1899-12-30 17:54:22.000,,,,5,,10,,1,4,4,,"",-1,"",,,1
"2020.12-32.684",0,0,0,21600,2020-12-28 00:00:00.000,1899-12-30 19:26:40.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.7-520.54",0,0,0,4320,2020-07-22 00:00:00.000,1899-12-30 18:04:47.000,,,,5,,10,,1,4,4,,"",-1,"",,,1
"2020.12-35.685",0,0,0,0,2020-12-28 00:00:00.000,1899-12-30 19:26:38.000,,,,2,,2,,1,2,2,,"",-1,"",,,1
"2020.10-32.612",0,0,0,21600,2020-10-08 00:00:00.000,1899-12-30 19:08:47.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-35.683",0,0,0,0,2020-12-28 00:00:00.000,1899-12-30 19:19:58.000,,,,2,,2,,1,2,2,,"",-1,"",,,1
"2020.10-32.613",0,0,0,21600,2020-10-08 00:00:00.000,1899-12-30 23:06:28.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-32.682",0,0,0,21600,2020-12-28 00:00:00.000,1899-12-30 19:19:32.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-35.681",0,0,0,0,2020-12-28 00:00:00.000,1899-12-30 19:07:41.000,,,,2,,2,,1,2,2,,"",-1,"",,,1
"2020.12-32.680",0,0,0,21600,2020-12-28 00:00:00.000,1899-12-30 19:07:18.000,,,,1,,1,,1,1,1,,"",-1,"",,,1
"2020.12-35.679",0,0,0,0,2020-12-28 00:00:00.000,1899-12-30 18:37:42.000,,,,2,,2,,1,2,2,,"",-1,"",,,1
