Index,Encaminhado Para
1,"Ouvidoria"
2,"Postos de Atendimento ao Cidadão - PAC"
3,"BACS - DAE - Seção de Análise de Demanda"
4,"<sem encaminhamento>"
5,"Gerencia de Recursos Naturais"
6,"BACS - DAE - Seção de Processamento de Despesas"
7,"BACS - Div de Licitações"
8,"CJU"
9,"Gerência de Parque e Jardim"
10,"Livia Oliveira"
11,"Compras"
12,"Cargo Comissão"
13,"Juliana"
14,"Secretaria do Verde e Meio Ambiente"
15,"João"
16,"Equipe da Gestão"
17,"Município São José de Ribamar"
18,"Comitê"
19,"Livia ACME"
20,"SALC (Compras)"
21,"Inventário"
22,"Batista"
23,"Pagamento"
24,"Fiscal"
25,"Recebimento"
26,"Gestor Fiscalização"
27,"Tavares"
